njEV,t9ZCGgAIaUI,"[159, 626, 1740, 2437]",
6gDI,u56-O3MuBxg,"[613, 2915, 2939]","[{'text': 'I make it awesome yes yeah yes yeah', 'start': 6.89, 'duration': 8.43}, {'text': ""CBS she Oh what Mario week you're like"", 'start': 46.91, 'duration': 10.06}, {'text': 'in real life did you ever wonder that', 'start': 55.32, 'duration': 10.83}, {'text': 'yourself no I know what Mario would you', 'start': 56.97, 'duration': 11.99}, {'text': ""be like they'd be like"", 'start': 66.15, 'duration': 2.81}, {'text': 'I', 'start': 99.54, 'duration': 2.03}, {'text': 'something strange maybe no no no no', 'start': 118.07, 'duration': 21.19}, {'text': ""Mario and we'd you were more like st"", 'start': 133.85, 'duration': 8.08}, {'text': 'what I represent and why hold it down', 'start': 139.26, 'duration': 4.979}, {'text': 'for my feet in the veil and do a job or', 'start': 141.93, 'duration': 4.29}, {'text': 'the record let it be known chrome', 'start': 144.239, 'duration': 4.081}, {'text': 'concealing any one of these niggas get', 'start': 146.22, 'duration': 4.05}, {'text': 'throw your grill show your skill you', 'start': 148.32, 'duration': 4.169}, {'text': 'want more hold your still you want more', 'start': 150.27, 'duration': 5.25}, {'text': 'unload text you all feel more', 'start': 152.489, 'duration': 5.521}, {'text': 'all pale run for the hills rough Jail', 'start': 155.52, 'duration': 4.2}, {'text': 'the battlefields wrapped in there wed', 'start': 158.01, 'duration': 4.14}, {'text': ""smoke dope you know my name I'll be the"", 'start': 159.72, 'duration': 4.32}, {'text': ""same toughest day that I'm laid down"", 'start': 162.15, 'duration': 3.9}, {'text': 'niggas push me to the point Scott a', 'start': 164.04, 'duration': 3.75}, {'text': 'great round take your street like', 'start': 166.05, 'duration': 7.56}, {'text': 'Wolfgang Mac the light please I got', 'start': 167.79, 'duration': 9.18}, {'text': 'whatever oven I think it would happen', 'start': 173.61, 'duration': 25.35}, {'text': 'like this yeah get out there outside the', 'start': 176.97, 'duration': 25.83}, {'text': 'door Utah nama taco bell for you hey XYZ', 'start': 198.96, 'duration': 6.06}, {'text': 'come on man get out of here we need to', 'start': 202.8, 'duration': 5.13}, {'text': 'fix it to it sorry but be careful you', 'start': 205.02, 'duration': 7.7}, {'text': ""can't know my rat promises in there oh"", 'start': 207.93, 'duration': 4.79}, {'text': ""that's my rat that's my rat wat be 0"", 'start': 220.67, 'duration': 12.16}, {'text': 'blema do the mario swing your arms from', 'start': 226.83, 'duration': 14.31}, {'text': 'side to side hey post a comment in the', 'start': 232.83, 'duration': 13.77}, {'text': 'section below about what you think my', 'start': 241.14, 'duration': 8.22}, {'text': 'own Luigi are like in real life like a', 'start': 246.6, 'duration': 7.04}, {'text': ""like me let's do the Mario"", 'start': 249.36, 'duration': 4.28}]"
S6DI,YTeiejBxICk,"[0, 1, 180, 828]",
pwDI,,[342],
j1DI,4RN7gSmElm8,[3],
tUDI,4VTTE_oWs58,[2562],"[{'text': 'in this video you will learn how to use', 'start': 3.55, 'duration': 5.52}, {'text': 'a serological pipet in a variety of', 'start': 6.64, 'duration': 5.33}, {'text': 'pipette pumps', 'start': 9.07, 'duration': 2.9}, {'text': 'serological by', 'start': 12.23, 'duration': 3.369}, {'text': 'pets are a type of graduated by pet', 'start': 13.74, 'duration': 4.11}, {'text': 'commonly used to measure volumes over 1', 'start': 15.599, 'duration': 5.311}, {'text': 'milliliter serological pipettes have two', 'start': 17.85, 'duration': 6.179}, {'text': 'scales one for filling and on the other', 'start': 20.91, 'duration': 6.27}, {'text': 'side one for dispensing they often have', 'start': 24.029, 'duration': 4.951}, {'text': 'a cotton plug in one end to prevent', 'start': 27.18, 'duration': 3.839}, {'text': 'contaminants from being drawn into the', 'start': 28.98, 'duration': 4.7}, {'text': 'vacuum source', 'start': 31.019, 'duration': 2.661}, {'text': 'serological pipettes are used with three', 'start': 35.68, 'duration': 6.059}, {'text': 'main types of my pet pups', 'start': 38.3, 'duration': 3.439}, {'text': 'the Tri valve the syringe and the', 'start': 41.89, 'duration': 11.23}, {'text': 'electronic pump a tri valve pump has', 'start': 48.95, 'duration': 7.14}, {'text': 'three valves an a or air valve which', 'start': 53.12, 'duration': 5.55}, {'text': 'releases air from the bulb an S or', 'start': 56.09, 'duration': 4.89}, {'text': 'suction valve used to fill the pipette', 'start': 58.67, 'duration': 5.639}, {'text': 'and an e or exhaust valve to empty any', 'start': 60.98, 'duration': 7.05}, {'text': 'liquid remaining in the pipette tip to', 'start': 64.309, 'duration': 6.121}, {'text': 'use a tri valve pump attach the pump to', 'start': 68.03, 'duration': 4.83}, {'text': 'a serological pipet by twisting the top', 'start': 70.43, 'duration': 4.35}, {'text': 'of the pipette into the bottom of the', 'start': 72.86, 'duration': 5.13}, {'text': 'bulb to fill the pipette gently squeeze', 'start': 74.78, 'duration': 4.74}, {'text': 'the bulb to release air through the', 'start': 77.99, 'duration': 4.65}, {'text': 'one-way air valve next place the tip of', 'start': 79.52, 'duration': 4.92}, {'text': 'the pipette into the solution you wish', 'start': 82.64, 'duration': 6.3}, {'text': 'to transfer now gently press on the S or', 'start': 84.44, 'duration': 6.63}, {'text': 'suction valve located directly below the', 'start': 88.94, 'duration': 4.14}, {'text': 'bulb until the pipette is filled just', 'start': 91.07, 'duration': 7.17}, {'text': 'above the desired volume then gently', 'start': 93.08, 'duration': 8.19}, {'text': 'squeeze on the E or exhaust valve until', 'start': 98.24, 'duration': 5.28}, {'text': 'the bottom of the meniscus touches the', 'start': 101.27, 'duration': 8.28}, {'text': 'desired graduated line move to the', 'start': 103.52, 'duration': 7.59}, {'text': 'target container you wish to transfer', 'start': 109.55, 'duration': 7.379}, {'text': 'the sample into squeeze the e or exhaust', 'start': 111.11, 'duration': 9.77}, {'text': 'valve to dispense the solution', 'start': 116.929, 'duration': 3.951}, {'text': 'any remaining solution can be blown out', 'start': 130.7, 'duration': 4.71}, {'text': 'by holding the S valve and squeezing the', 'start': 132.92, 'duration': 5.599}, {'text': 'bulb at the same time', 'start': 135.41, 'duration': 3.109}, {'text': 'this is a syringe style pipette pump the', 'start': 140.06, 'duration': 7.27}, {'text': 'parts of this pump include a gasket that', 'start': 143.58, 'duration': 7.5}, {'text': 'attaches to the pipette an exhaust valve', 'start': 147.33, 'duration': 6.62}, {'text': 'which is used to expel the solution a', 'start': 151.08, 'duration': 5.16}, {'text': 'dial which is used to adjust the amount', 'start': 153.95, 'duration': 6.58}, {'text': 'of solution transferred and the plunger', 'start': 156.24, 'duration': 6.21}, {'text': 'which is used to blow out any remaining', 'start': 160.53, 'duration': 4.61}, {'text': 'solution', 'start': 162.45, 'duration': 2.69}, {'text': 'insert the pipette into the gasket by', 'start': 167.28, 'duration': 6.06}, {'text': 'pressing and twisting firmly then insert', 'start': 169.65, 'duration': 5.49}, {'text': 'the pipette into the solution to be', 'start': 173.34, 'duration': 5.34}, {'text': 'transferred using your thumb roll the', 'start': 175.14, 'duration': 9.06}, {'text': 'dial downward to suck up solution the', 'start': 178.68, 'duration': 7.44}, {'text': 'dowel can be moved up and down to get', 'start': 184.2, 'duration': 6.18}, {'text': 'the exact amount of solution needed next', 'start': 186.12, 'duration': 8.06}, {'text': 'move the pipette to the target container', 'start': 190.38, 'duration': 3.8}, {'text': 'press on the exhaust valve to transfer', 'start': 197.03, 'duration': 5.97}, {'text': 'the contents of the pipette', 'start': 199.8, 'duration': 3.2}, {'text': 'when finished any remaining solution can', 'start': 207.42, 'duration': 4.78}, {'text': 'be blown out by pressing down on the', 'start': 210.25, 'duration': 5.09}, {'text': 'plunger with her thumb', 'start': 212.2, 'duration': 3.14}, {'text': 'the parts of an electronic pipette pump', 'start': 217.19, 'duration': 5.8}, {'text': 'include the gasket that connects to the', 'start': 219.78, 'duration': 5.52}, {'text': 'pipette a filter that prevents any', 'start': 222.99, 'duration': 3.9}, {'text': 'contaminants from getting into the pump', 'start': 225.3, 'duration': 7.34}, {'text': 'a suction button and an exhaust button', 'start': 226.89, 'duration': 5.75}, {'text': 'attach a pipette to the pump by firmly', 'start': 234.43, 'duration': 7.59}, {'text': 'pushing and twisting it into the gasket', 'start': 237.53, 'duration': 4.49}, {'text': 'next place the tip of the pipette into', 'start': 242.95, 'duration': 5.5}, {'text': 'the solution you wish to transfer slowly', 'start': 245.78, 'duration': 5.04}, {'text': 'press on the suction button and fill to', 'start': 248.45, 'duration': 4.68}, {'text': 'the level you wish to transfer the', 'start': 250.82, 'duration': 4.23}, {'text': 'suction and exhaust buttons can be used', 'start': 253.13, 'duration': 4.02}, {'text': 'to obtain the exact volume you wish to', 'start': 255.05, 'duration': 4.58}, {'text': 'transfer', 'start': 257.15, 'duration': 2.48}, {'text': 'next place the pipette tip into the', 'start': 263.58, 'duration': 5.65}, {'text': 'target container slowly pressed on the', 'start': 266.17, 'duration': 5.19}, {'text': 'exhaust button until all of the solution', 'start': 269.23, 'duration': 4.97}, {'text': 'has been transferred', 'start': 271.36, 'duration': 2.84}]"
wCDI,t9PoEDoPOgQ,"[71, 152, 671]","[{'text': 'are they from Desmond narrating your', 'start': 24.72, 'duration': 5.44}, {'text': 'coffee this fantastic way to keep every', 'start': 27.46, 'duration': 5.46}, {'text': 'console to the question is constant and', 'start': 30.16, 'duration': 5.49}, {'text': 'white by traffic appease Hawaii the', 'start': 32.92, 'duration': 5.52}, {'text': 'decorative for me to have the colors are', 'start': 35.65, 'duration': 7.37}, {'text': 'threaded the to be consistent company', 'start': 38.44, 'duration': 4.58}, {'text': 'for my on to your leg when she write my', 'start': 50.76, 'duration': 16.77}, {'text': 'essay happen at the irony in frontier to', 'start': 60.13, 'duration': 7.4}, {'text': 'make endangering a metrology and they', 'start': 76.71, 'duration': 5.13}, {'text': ""rashad and difficult in today's"", 'start': 90.14, 'duration': 6.509}, {'text': 'particles of the dignity vintage', 'start': 92.67, 'duration': 3.979}, {'text': 'engagement once again i th', 'start': 128.06, 'duration': 4.649}, {'text': 'anyway', 'start': 162.85, 'duration': 3.0}]"
OpDI,QQtq_znvNPU,[146],
zHDI,--EaMqPpbk0,[9],
jtDI,tMEdZkbP1pI,"[2, 30]",
81DI,tO0egDDTtGE,[433],
