GkEU,6N-HW4nwHM4,[0],
XZrl,-ittYYd_eUE,"[15, 18, 67, 99, 140, 1831]",
durl,8GmDa6MeBqk,[12],
f2rl,CvVyF7Ime8o,[1838],
EZrl,Dn21UqQTfoo,"[2, 45, 51, 56, 77, 803]",
K4rl,Dvb0Ce_xd2w,[3],
GRrl,OU9-8emfdMc,"[2, 7, 197, 198, 316]",
Xrrl,fUcetivH3zY,[14],"[{'text': 'men like is some speck', 'start': 4.31, 'duration': 3.98}, {'text': 'Mogi google ah Paris or the tear junkie', 'start': 11.65, 'duration': 6.61}, {'text': 'to take it miss Lingala shinola collagen', 'start': 14.75, 'duration': 5.64}, {'text': 'yes them you said a hundred thoughts on', 'start': 18.26, 'duration': 4.74}, {'text': 'maybe Jackie cousin charm I like a fish', 'start': 20.39, 'duration': 5.07}, {'text': 'on things like a pasta nice Martinez', 'start': 23.0, 'duration': 4.17}, {'text': 'here together a bikini', 'start': 25.46, 'duration': 4.559}, {'text': 'Sevan I profess to a little pen Ongina', 'start': 27.17, 'duration': 6.599}, {'text': ""but Jack Elliot got it's a karcher fr"", 'start': 30.019, 'duration': 6.271}, {'text': 'Vesta but come to mass Talman Parcher', 'start': 33.769, 'duration': 5.161}, {'text': 'man give me more up cm and forwards on', 'start': 36.29, 'duration': 4.949}, {'text': 'chopped shallot volatile get a van a', 'start': 38.93, 'duration': 4.74}, {'text': 'collie Dora but to God I must be damned', 'start': 41.239, 'duration': 4.861}, {'text': 'a coroner skillet cook get on a scale of', 'start': 43.67, 'duration': 5.069}, {'text': ""enzyme rumia's key table and get it yeah"", 'start': 46.1, 'duration': 4.65}, {'text': 'puppet Campbellsville Bertram Yankee', 'start': 48.739, 'duration': 4.771}, {'text': 'kena Naidu Casa de Alli skee-ball or I', 'start': 50.75, 'duration': 4.86}, {'text': 'can even and I eschew pani set your game', 'start': 53.51, 'duration': 4.53}, {'text': ""for never see me let me knock I'm energy"", 'start': 55.61, 'duration': 3.299}, {'text': 'out your watch', 'start': 58.04, 'duration': 3.0}, {'text': ""Mitch take a flag let's get sporty"", 'start': 58.909, 'duration': 4.921}, {'text': 'Montebello star ambush like yes arm up', 'start': 61.04, 'duration': 4.65}, {'text': 'in a mask and wash down on me', 'start': 63.83, 'duration': 5.52}, {'text': ""it's like a change but with my agrees in"", 'start': 65.69, 'duration': 5.94}, {'text': ""sheshank god I can't come Champa galley"", 'start': 69.35, 'duration': 4.86}, {'text': 'please says miss Magnum yes process', 'start': 71.63, 'duration': 5.13}, {'text': 'disconnect mes Toronto entered our', 'start': 74.21, 'duration': 6.24}, {'text': ""foster semester my Espada's Tassajara"", 'start': 76.76, 'duration': 4.44}, {'text': 'Dean', 'start': 80.45, 'duration': 3.15}, {'text': 'Manasa gloves elbow no can either cover', 'start': 81.2, 'duration': 5.64}, {'text': 'in multi Google office the TF Jenkins', 'start': 83.6, 'duration': 5.1}, {'text': 'own nakedness named gala', 'start': 86.84, 'duration': 4.62}, {'text': 'you know like Alex him yes them no sir', 'start': 88.7, 'duration': 4.95}, {'text': ""I'm just also maybe Jack and Patty"", 'start': 91.46, 'duration': 4.32}, {'text': 'cousin charmer I got be Sean Daly be', 'start': 93.65, 'duration': 4.35}, {'text': 'jacket money Google offensive the', 'start': 95.78, 'duration': 6.3}, {'text': 'tiramisu thickness Inga she like Ellison', 'start': 98.0, 'duration': 7.74}, {'text': 'yes them the salon stop to check because', 'start': 102.08, 'duration': 8.36}, {'text': 'enjoy my efficiently Jagan', 'start': 105.74, 'duration': 4.7}, {'text': 'Jeffers Parliament Siva holistic', 'start': 119.89, 'duration': 4.41}, {'text': 'conscience in Vallecito mare Comics', 'start': 122.41, 'duration': 4.17}, {'text': 'Marvel jerkily most by Melville the', 'start': 124.3, 'duration': 5.25}, {'text': 'proximal part Oh Norma Chava marsh', 'start': 126.58, 'duration': 6.72}, {'text': 'Nicosia poutine ski a 5/5 high-heeled', 'start': 129.55, 'duration': 6.27}, {'text': 'acoustic ooh Hollis up the pros party as', 'start': 133.3, 'duration': 4.89}, {'text': 'foggy Chanel Iman Rhodes', 'start': 135.82, 'duration': 5.22}, {'text': 'Hisham Karim Gilliam an Asian as veteran', 'start': 138.19, 'duration': 6.3}, {'text': 'Karen Graham for sample your pet bites', 'start': 141.04, 'duration': 6.81}, {'text': 'you have an inspector heart after', 'start': 144.49, 'duration': 6.18}, {'text': 'biography sent an e stock I found a', 'start': 147.85, 'duration': 4.98}, {'text': 'cassette player he fuck motherfucker', 'start': 150.67, 'duration': 5.37}, {'text': 'soon as you choose the seek an attacker', 'start': 152.83, 'duration': 5.97}, {'text': 'is testin - testin especially efficient', 'start': 156.04, 'duration': 5.61}, {'text': 'of pistols comforta watch online park', 'start': 158.8, 'duration': 6.4}, {'text': 'demco yes the me hana-chan retina me', 'start': 161.65, 'duration': 6.86}, {'text': 'who can tell me old address it off but', 'start': 165.2, 'duration': 5.23}, {'text': 'gets it up again shit out for that in', 'start': 168.51, 'duration': 4.47}, {'text': 'college she is counted two tattoos he', 'start': 170.43, 'duration': 4.74}, {'text': 'bombed on see up chick and cannot East', 'start': 172.98, 'duration': 5.039}, {'text': 'it cannot each the stay you killing me', 'start': 175.17, 'duration': 5.519}, {'text': 'since how farm in Czech Muhammad are', 'start': 178.019, 'duration': 5.28}, {'text': 'Google Affairs battalion bertin chilling', 'start': 180.689, 'duration': 6.261}, {'text': 'gets it snow like allergen yes them', 'start': 183.299, 'duration': 6.631}, {'text': 'miscellaneous a fluffy magic eschaton', 'start': 186.95, 'duration': 6.159}, {'text': 'shamanic efficient affairs Matar Google', 'start': 189.93, 'duration': 6.44}, {'text': 'Affairs battalion Watson shalinka teeth', 'start': 193.109, 'duration': 6.72}, {'text': 'snorlock illusion yes them the salami', 'start': 196.37, 'duration': 6.19}, {'text': 'and self-image eschaton shamanic', 'start': 199.829, 'duration': 6.231}, {'text': 'official affair', 'start': 202.56, 'duration': 3.5}, {'text': 'you', 'start': 208.93, 'duration': 2.059}, {'text': 'you', 'start': 217.81, 'duration': 2.06}]"
HOrl,Tn7QZcBod0Y,[8],
Iprl,TWRpkimpLqM,"[39, 207]","[{'text': ""I literally have no idea why I'm doing"", 'start': 0.0, 'duration': 9.66}, {'text': 'this challenge like I am such a slow', 'start': 7.44, 'duration': 4.11}, {'text': 'person it takes me like three minutes to', 'start': 9.66, 'duration': 3.99}, {'text': 'brush my teeth and three minutes to do', 'start': 11.55, 'duration': 3.629}, {'text': ""my mascara like I'm just setting myself"", 'start': 13.65, 'duration': 3.719}, {'text': ""up for failure no idea why I'm doing"", 'start': 15.179, 'duration': 4.921}, {'text': 'this here is my shot at the three minute', 'start': 17.369, 'duration': 4.621}, {'text': 'makeup challenge all right it want to', 'start': 20.1, 'duration': 3.66}, {'text': ""get started so there's three minutes on"", 'start': 21.99, 'duration': 7.74}, {'text': 'the timer as you can see and go shit', 'start': 23.76, 'duration': 8.389}, {'text': ""already soaked up i'm doing okay um"", 'start': 29.73, 'duration': 4.86}, {'text': ""maybelline dream fresh a BB cream i'm"", 'start': 32.149, 'duration': 7.031}, {'text': 'shaking right now okay what way too much', 'start': 34.59, 'duration': 11.73}, {'text': 'on the brush whatever oh my god mmm 20', 'start': 39.18, 'duration': 17.46}, {'text': ""seconds already holy shit I'm gonna burn"", 'start': 46.32, 'duration': 11.82}, {'text': 'us out with my hands without cutting', 'start': 56.64, 'duration': 5.3}, {'text': 'through on all right', 'start': 58.14, 'duration': 3.8}, {'text': ""shut up find that wasn't the alarm that"", 'start': 63.239, 'duration': 4.091}, {'text': 'was just a message oh my god alrighty', 'start': 65.38, 'duration': 5.19}, {'text': 'face done okay powder to load my hands', 'start': 67.33, 'duration': 5.43}, {'text': 'now I hate doing that already australis', 'start': 70.57, 'duration': 6.99}, {'text': ""fresh and flawless it's not going to be"", 'start': 72.76, 'duration': 6.27}, {'text': ""fresh and flawless the way I'm bloody"", 'start': 77.56, 'duration': 6.05}, {'text': 'doing it woman cough okay sup brush', 'start': 79.03, 'duration': 11.07}, {'text': 'sleep flush in coral one we go two', 'start': 83.61, 'duration': 19.72}, {'text': ""minutes left so do I do now um let's"", 'start': 90.1, 'duration': 15.84}, {'text': ""have to I don't I can't read what color"", 'start': 103.33, 'duration': 4.86}, {'text': 'it is on that color go sit on really', 'start': 105.94, 'duration': 10.14}, {'text': ""quickly well way too much then let's"", 'start': 108.19, 'duration': 11.569}, {'text': 'fuckin Tomic update one minute baby oh', 'start': 116.08, 'duration': 3.679}, {'text': 'ok brow bone highlight hmm right at that', 'start': 119.88, 'duration': 8.17}, {'text': ""took way too long I'm going to use my"", 'start': 125.979, 'duration': 4.231}, {'text': 'blush as an eyeshadow as well just', 'start': 128.05, 'duration': 4.74}, {'text': ""because I don't even know how this is"", 'start': 130.21, 'duration': 4.11}, {'text': ""going to turn out well that's really"", 'start': 132.79, 'duration': 4.65}, {'text': ""orange that's okay alrighty one minute"", 'start': 134.32, 'duration': 6.24}, {'text': ""ten left oh right yeah i'll come back to"", 'start': 137.44, 'duration': 6.93}, {'text': 'life in a minute um what are your', 'start': 140.56, 'duration': 7.67}, {'text': 'lipstick is that over time with', 'start': 144.37, 'duration': 3.86}, {'text': 'okay now I want off this may take ages', 'start': 152.21, 'duration': 8.4}, {'text': 'okay die die die die die die die die oh', 'start': 156.12, 'duration': 11.37}, {'text': 'boy i said is like okay i just totally', 'start': 160.61, 'duration': 12.76}, {'text': 'stuck myself in the eye okay well how', 'start': 167.49, 'duration': 7.8}, {'text': ""much 30 seconds to truck that's not not"", 'start': 173.37, 'duration': 4.41}, {'text': 'for the star oh my god okay come on Saul', 'start': 175.29, 'duration': 5.12}, {'text': 'cat eyes mascara there you go I', 'start': 177.78, 'duration': 4.71}, {'text': ""seriously thought I'd do a little bit"", 'start': 180.41, 'duration': 6.55}, {'text': 'better than this for my god Oh 20', 'start': 182.49, 'duration': 6.48}, {'text': 'seconds 20 seconds that not enough time', 'start': 186.96, 'duration': 13.14}, {'text': 'for blood scar what am I sure is a', 'start': 188.97, 'duration': 15.15}, {'text': ""second no I'm swing that bat I show a"", 'start': 200.1, 'duration': 15.78}, {'text': 'little bit come on Dan oh ok so I found', 'start': 204.12, 'duration': 14.25}, {'text': 'not my foundation but the BB cream I did', 'start': 215.88, 'duration': 4.32}, {'text': ""okay at least but it's all over my hands"", 'start': 218.37, 'duration': 3.51}, {'text': 'I hate putting products on with my hands', 'start': 220.2, 'duration': 6.81}, {'text': ""um my blush is a little bit like I don't"", 'start': 221.88, 'duration': 6.93}, {'text': 'know I could probably blend that out a', 'start': 227.01, 'duration': 6.54}, {'text': ""little bit better um my lips um they're"", 'start': 228.81, 'duration': 6.09}, {'text': 'fine like I just chucked that on that', 'start': 233.55, 'duration': 2.91}, {'text': ""was I don't think I said that was"", 'start': 234.9, 'duration': 4.32}, {'text': 'Maybelline make me pink eye shadow looks', 'start': 236.46, 'duration': 5.79}, {'text': 'like crap snotty with my shadow um yeah', 'start': 239.22, 'duration': 4.71}, {'text': ""that didn't go too well you can't even"", 'start': 242.25, 'duration': 3.51}, {'text': 'see like the color tattoo I totally like', 'start': 243.93, 'duration': 3.3}, {'text': ""rotted in too much that it's come off"", 'start': 245.76, 'duration': 3.36}, {'text': ""the scar is ok actually like I didn't"", 'start': 247.23, 'duration': 3.15}, {'text': 'really go all over my face or anything', 'start': 249.12, 'duration': 4.41}, {'text': ""so that's all right and eyeliner I mean"", 'start': 250.38, 'duration': 5.49}, {'text': ""I line was all I so that's all right"", 'start': 253.53, 'duration': 4.41}, {'text': ""actually I'm pretty happy with how I did"", 'start': 255.87, 'duration': 3.42}, {'text': ""I think the only thing that I'm not"", 'start': 257.94, 'duration': 2.79}, {'text': ""happy about is that I didn't get to do"", 'start': 259.29, 'duration': 4.08}, {'text': 'liquid eyeliner which I had ready but', 'start': 260.73, 'duration': 4.68}, {'text': 'you know that takes me three minutes', 'start': 263.37, 'duration': 3.78}, {'text': ""alone so that's okay whatever I'm pretty"", 'start': 265.41, 'duration': 3.12}, {'text': 'happy with this challenge actually no I', 'start': 267.15, 'duration': 3.12}, {'text': ""think about I didn't completely fail"", 'start': 268.53, 'duration': 3.78}, {'text': ""like I did all right overall I'd call"", 'start': 270.27, 'duration': 4.29}, {'text': 'this a pretty good success um that was', 'start': 272.31, 'duration': 4.23}, {'text': 'my attempt at the three minute makeup', 'start': 274.56, 'duration': 3.45}, {'text': ""challenge if you're watching this and"", 'start': 276.54, 'duration': 3.06}, {'text': 'you want to give it a shot please post', 'start': 278.01, 'duration': 2.66}, {'text': 'it as a video', 'start': 279.6, 'duration': 2.81}, {'text': ""response every video I've watched of"", 'start': 280.67, 'duration': 3.93}, {'text': 'this is so hilarious so I want to laugh', 'start': 282.41, 'duration': 3.57}, {'text': ""but you guys doing this because it's"", 'start': 284.6, 'duration': 3.57}, {'text': 'just so funny um but yeah if you want to', 'start': 285.98, 'duration': 4.28}, {'text': 'do it post it as a video response and', 'start': 288.17, 'duration': 4.71}, {'text': ""yeah so thank you for watching and I'll"", 'start': 290.26, 'duration': 6.6}, {'text': 'see you in my next video bye guys', 'start': 292.88, 'duration': 3.98}]"
oYrl,chEN_aK7Qb8,"[0, 705]",
4mrl,vpNas3buze8,"[3, 31, 47]",
sTrl,vtvgPJuT_9Q,"[15, 18, 170, 314]",
Y8rl,uzrA39Nyq8U,"[3, 1109]",
Nxrl,v1aCG8Vod0M,"[5, 16, 84, 405]",
iIrl,2WBymsQdlyM,[487],
gnrl,2_vsJi5Jppw,[1630],
jtrl,2aPFbJNnxsc,"[11, 20, 22, 29, 32, 120, 426, 680, 752, 767]",
C2rl,zoGjwirCfsI,[14],
CJrl,,"[0, 12]",
g5rl,7--a70JDKos,"[5, 16, 144, 190]",
Mgrl,743MxTJp5k4,"[0, 52, 70]","[{'text': 'this is the accdigitalnetwork brought to', 'start': 2.51, 'duration': 5.95}, {'text': 'you by Ruby Tuesday our scores 76-73', 'start': 5.549, 'duration': 5.251}, {'text': 'from Notre Dame as they beat Boston', 'start': 8.46, 'duration': 3.9}, {'text': 'College along with Mike Jim its Keaton', 'start': 10.8, 'duration': 4.289}, {'text': 'Brando some game it was one of those in', 'start': 12.36, 'duration': 5.4}, {'text': 'the first half neither team really was', 'start': 15.089, 'duration': 4.231}, {'text': 'able to get what they wanted to get done', 'start': 17.76, 'duration': 4.71}, {'text': ""offensively but I don't think there was"", 'start': 19.32, 'duration': 5.19}, {'text': 'a deficit greater than 64 either club', 'start': 22.47, 'duration': 4.02}, {'text': 'now and both teams needed a mental', 'start': 24.51, 'duration': 3.509}, {'text': 'health victory and they were in', 'start': 26.49, 'duration': 3.359}, {'text': 'desperate so they were very much in the', 'start': 28.019, 'duration': 4.411}, {'text': 'same situation it was it was a fairly', 'start': 29.849, 'duration': 5.521}, {'text': 'lower scoring game early in the first', 'start': 32.43, 'duration': 6.03}, {'text': 'half Ryan Anderson to a nice hook inside', 'start': 35.37, 'duration': 5.79}, {'text': 'and pulling out shooting the jump shot', 'start': 38.46, 'duration': 5.96}, {'text': 'as well the Lonnie Jackson from deep', 'start': 41.16, 'duration': 6.0}, {'text': 'good feeds inside Anderson with that', 'start': 44.42, 'duration': 4.54}, {'text': 'strong finish and then the highlight of', 'start': 47.16, 'duration': 4.469}, {'text': 'the first half at Eddie odio dumped out', 'start': 48.96, 'duration': 5.4}, {'text': 'in the open floor them in the second', 'start': 51.629, 'duration': 5.101}, {'text': 'half well the Fighting Irish got a few', 'start': 54.36, 'duration': 4.56}, {'text': 'things done offensively with the help of', 'start': 56.73, 'duration': 5.37}, {'text': 'Connaughton early investor you too', 'start': 58.92, 'duration': 5.339}, {'text': ""he's pretty big basket got off to a good"", 'start': 62.1, 'duration': 4.62}, {'text': 'start gave them some confidence adkins', 'start': 64.259, 'duration': 4.5}, {'text': 'slowly working into this game and I', 'start': 66.72, 'duration': 3.99}, {'text': 'thought Sherman did a nice job they were', 'start': 68.759, 'duration': 3.601}, {'text': 'double teaming him and they got some', 'start': 70.71, 'duration': 4.23}, {'text': 'plays out of that August giving them a', 'start': 72.36, 'duration': 4.77}, {'text': 'big lift as well yeah not to forget that', 'start': 74.94, 'duration': 4.89}, {'text': 'bucket right before half because in the', 'start': 77.13, 'duration': 5.79}, {'text': 'second half it heated up and I do mean', 'start': 79.83, 'duration': 5.67}, {'text': 'big time no question about it rehan with', 'start': 82.92, 'duration': 5.16}, {'text': 'that nice three they really space the', 'start': 85.5, 'duration': 4.32}, {'text': 'floor well they gave you Anderson a lot', 'start': 88.08, 'duration': 3.87}, {'text': 'of room to work with inside Lonnie', 'start': 89.82, 'duration': 4.73}, {'text': 'Jackson hitting the three as well and', 'start': 91.95, 'duration': 5.82}, {'text': 'for the Irish tom night coming in going', 'start': 94.55, 'duration': 6.069}, {'text': 'back door and then Jackson got involved', 'start': 97.77, 'duration': 4.32}, {'text': 'there was just a lot more ball movement', 'start': 100.619, 'duration': 4.29}, {'text': ""down that's the big foul at the end of"", 'start': 102.09, 'duration': 6.389}, {'text': 'the game that enabled this opportunity', 'start': 104.909, 'duration': 6.091}, {'text': 'to win the game in overtime which would', 'start': 108.479, 'duration': 4.831}, {'text': 'happen later on well Eric Atkins there', 'start': 111.0, 'duration': 3.72}, {'text': 'were some other guys who helped but', 'start': 113.31, 'duration': 3.419}, {'text': 'Atkins basically took this game over at', 'start': 114.72, 'duration': 3.75}, {'text': 'the 10-minute mark and use outstanding', 'start': 116.729, 'duration': 5.011}, {'text': '24 points for him 9 of 17 from the floor', 'start': 118.47, 'duration': 5.97}, {'text': 'you look at the final numbers in Boston', 'start': 121.74, 'duration': 4.35}, {'text': 'College as good as they worried the free', 'start': 124.44, 'duration': 3.389}, {'text': 'throw line that one missed by handling', 'start': 126.09, 'duration': 4.559}, {'text': 'enabled Notre Dame that one little crack', 'start': 127.829, 'duration': 4.711}, {'text': 'that they could take advantage and also', 'start': 130.649, 'duration': 4.171}, {'text': 'Notre Dame dominant on the glass and a', 'start': 132.54, 'duration': 3.75}, {'text': 'lot of second chance opportunities', 'start': 134.82, 'duration': 3.419}, {'text': ""they're terrific basketball game with"", 'start': 136.29, 'duration': 3.75}, {'text': 'him it really was and a much needed win', 'start': 138.239, 'duration': 4.081}, {'text': 'for the Irish for Mike Jim its Keaton', 'start': 140.04, 'duration': 3.93}, {'text': 'Brando so long this is the', 'start': 142.32, 'duration': 4.11}, {'text': 'accdigitalnetwork brought to you by ruby', 'start': 143.97, 'duration': 4.68}, {'text': 'tuesday as notre dame beats Boston', 'start': 146.43, 'duration': 5.899}, {'text': 'College 76-73', 'start': 148.65, 'duration': 3.679}, {'text': 'you', 'start': 153.84, 'duration': 2.06}]"
3drl,7A_p-lJZWW4,"[0, 1]",
zBrl,KPbYXftnT3s,"[0, 139]",
07rl,qS-VWQs1Os4,"[0, 27, 227]","[{'text': 'hey all although right here and today I', 'start': 0.17, 'duration': 5.68}, {'text': 'want to show off on my first builds on', 'start': 3.09, 'duration': 5.4}, {'text': 'the jl server that is the Joker leech', 'start': 5.85, 'duration': 7.74}, {'text': ""mitten server I'm used to building more"", 'start': 8.49, 'duration': 9.18}, {'text': 'functional than good looking things so', 'start': 13.59, 'duration': 6.3}, {'text': 'this is a definitely a new journey for', 'start': 17.67, 'duration': 5.49}, {'text': 'me and every new journey should start', 'start': 19.89, 'duration': 7.2}, {'text': 'off with a vessel so I built a ship I am', 'start': 23.16, 'duration': 7.699}, {'text': 'very happy with the way it turned out', 'start': 27.09, 'duration': 7.29}, {'text': ""I'm also just to let everyone know using"", 'start': 30.859, 'duration': 7.991}, {'text': 'the onyx tiger compilation texture pack', 'start': 34.38, 'duration': 6.749}, {'text': 'and this one is a customized one the', 'start': 38.85, 'duration': 6.389}, {'text': 'cobblestone and netherrack is slightly', 'start': 41.129, 'duration': 6.601}, {'text': 'different than what Joker had I like it', 'start': 45.239, 'duration': 8.46}, {'text': 'a lot anyways I shall give a quick tour', 'start': 47.73, 'duration': 8.78}, {'text': 'of my ship', 'start': 53.699, 'duration': 2.811}, {'text': ""the center here we have the captain's"", 'start': 59.33, 'duration': 5.59}, {'text': ""quarters she's got a very nice place to"", 'start': 62.25, 'duration': 4.17}, {'text': 'lounge around and sleep you can listen', 'start': 64.92, 'duration': 4.74}, {'text': 'to the jukebox read a book lots of', 'start': 66.42, 'duration': 4.65}, {'text': 'luxury for the captain while the crew', 'start': 69.66, 'duration': 6.72}, {'text': 'toils away I do have a lower decks or', 'start': 71.07, 'duration': 8.79}, {'text': 'the crew berthing very cramped not much', 'start': 76.38, 'duration': 7.08}, {'text': 'a room for the poor crew cargo hold in', 'start': 79.86, 'duration': 11.9}, {'text': 'the front and a cargo hold in the back', 'start': 83.46, 'duration': 8.3}, {'text': 'and I started building the ship and I', 'start': 97.07, 'duration': 4.5}, {'text': 'slowly built out and I shall make more', 'start': 99.229, 'duration': 5.311}, {'text': 'videos Tori more of the area i have', 'start': 101.57, 'duration': 8.159}, {'text': 'created on the server addison hair', 'start': 104.54, 'duration': 7.26}, {'text': 'thinking on it got all that built that', 'start': 109.729, 'duration': 5.371}, {'text': 'this ship really needs a name so i', 'start': 111.8, 'duration': 5.31}, {'text': 'decided to not only name it but also to', 'start': 115.1, 'duration': 5.7}, {'text': 'dedicate it to the person who videos in', 'start': 117.11, 'duration': 6.63}, {'text': 'have inspired me the most in this game', 'start': 120.8, 'duration': 6.33}, {'text': 'to build bigger and better things this', 'start': 123.74, 'duration': 5.999}, {'text': 'is a small project in its shell and i', 'start': 127.13, 'duration': 5.1}, {'text': 'shall go up from here and build bigger', 'start': 129.739, 'duration': 6.601}, {'text': ""and better anyways i'd like to name and"", 'start': 132.23, 'duration': 9.87}, {'text': 'dedicate this ship to dock m77 so doc', 'start': 136.34, 'duration': 7.649}, {'text': 'even named after her chicken and now a', 'start': 142.1, 'duration': 6.33}, {'text': 'ship now I name all the ship to JLS doc', 'start': 143.989, 'duration': 7.171}, {'text': 'm77 the GLS stands for Joker Leachman', 'start': 148.43, 'duration': 8.64}, {'text': 'server say lettering format used by', 'start': 151.16, 'duration': 9.21}, {'text': 'other world navies for example United', 'start': 157.07, 'duration': 6.9}, {'text': 'States uses at USS to Stanford United', 'start': 160.37, 'duration': 7.7}, {'text': 'States ship British uses Navy uses the', 'start': 163.97, 'duration': 7.86}, {'text': 'HMS designation as Her Majesty ship so I', 'start': 168.07, 'duration': 9.34}, {'text': 'decided to go with the JLS now this is a', 'start': 171.83, 'duration': 8.28}, {'text': 'small project and behind the red curtain', 'start': 177.41, 'duration': 5.43}, {'text': 'actually is a much much larger project', 'start': 180.11, 'duration': 5.58}, {'text': ""I've been working on with HD 88"", 'start': 182.84, 'duration': 5.16}, {'text': 'primarily though it has turned into the', 'start': 185.69, 'duration': 4.5}, {'text': 'a community project with contributions', 'start': 188.0, 'duration': 6.15}, {'text': 'from all that will be unveiled later in', 'start': 190.19, 'duration': 8.31}, {'text': 'a special video with East e88 check out', 'start': 194.15, 'duration': 7.82}, {'text': ""his channel he's a very good builder and"", 'start': 198.5, 'duration': 6.51}, {'text': 'I hope everyone likes seeing my little', 'start': 201.97, 'duration': 5.17}, {'text': 'ship and I shall show more off of the', 'start': 205.01, 'duration': 5.49}, {'text': 'town and as I build more and more in', 'start': 207.14, 'duration': 6.08}, {'text': 'future videos', 'start': 210.5, 'duration': 2.72}, {'text': 'and Doc keep up building the impressive', 'start': 213.88, 'duration': 5.82}, {'text': 'builds that you do and keep in spire', 'start': 216.94, 'duration': 5.73}, {'text': 'meet to bigger and better thanks for', 'start': 219.7, 'duration': 5.33}, {'text': 'watching', 'start': 222.67, 'duration': 2.36}]"
Nnrl,IsblobNVvbc,"[3, 4]",
xqrl,ItmxViX6j9E,"[191, 522]",
Sbrl,IvC7cqjdnAU,"[15, 18, 59, 126, 178, 2215]",
3Zrl,1RopjyQoYeQ,"[5, 744]",
iUrl,1YLDM2KVUKo,"[31, 40, 2695]",
LTrl,HSPHRvKl_UM,"[52, 125]",
Ivrl,HUbAkw4qNeI,"[1, 81, 108, 2112]",
7Hrl,,[16],
mSrl,bndBpsk7APc,"[92, 110, 369]",
3Krl,YQrQk0tXvoU,"[11, 20, 22, 29, 32, 426, 2054]",
27rl,,"[0, 1, 159, 1686]",
xTrl,OqIyB_eVpME,"[4, 9, 10, 34]",
nYrl,,[14],
8Lrl,mxqj8eP08lw,[3],
78rl,YrYiPTSICFo,"[953, 3720]",
oyrl,d3301ul4pLI,[14],
LYrl,_CQt5N-PUj0,"[0, 1, 5, 108, 3526]",
FIrl,_DL_yh9mhM8,"[3, 4, 10, 47]",
2Hrl,_IZnVm5a-D8,"[141, 247]",
O6rl,kwM3PpnbeGM,"[4, 10, 31, 47, 54, 97, 243, 278]",
marl,L4Ls6xArsRk,"[53, 58, 163, 232, 1894]",
Mdrl,,"[2, 7, 411]",
LRrl,LKpiVZvu-a8,"[2, 76, 473, 547]","[{'text': '[Music]', 'start': 4.3, 'duration': 3.15}, {'text': '[Music]', 'start': 14.02, 'duration': 7.3}, {'text': '[Music]', 'start': 23.56, 'duration': 10.16}, {'text': '[Music]', 'start': 41.49, 'duration': 3.689}, {'text': 'so this is the winner', 'start': 58.289, 'duration': 3.971}, {'text': 'that was the correction of my father and', 'start': 60.129, 'duration': 4.68}, {'text': 'myself New Zealand it set off as a', 'start': 62.26, 'duration': 7.31}, {'text': 'garage project in 2001', 'start': 64.809, 'duration': 4.761}, {'text': 'all right the boats four and a half', 'start': 71.71, 'duration': 5.73}, {'text': 'meters long way is about 125 kilograms', 'start': 73.15, 'duration': 6.81}, {'text': ""all rigged up that's got a tarp square"", 'start': 77.44, 'duration': 4.95}, {'text': 'meter main three and a half square meter', 'start': 79.96, 'duration': 6.12}, {'text': 'jib and eight square meter Jenica not a', 'start': 82.39, 'duration': 5.28}, {'text': 'huge salary for the width of the boat', 'start': 86.08, 'duration': 4.8}, {'text': ""but it's pretty powder the construction"", 'start': 87.67, 'duration': 7.46}, {'text': 'is 5 glass with the foam core all being', 'start': 90.88, 'duration': 8.989}, {'text': 'mass Friday are all carbon', 'start': 95.13, 'duration': 4.739}, {'text': '[Music]', 'start': 99.93, 'duration': 5.269}, {'text': 'here we are at Treasure Island doing the', 'start': 111.63, 'duration': 5.489}, {'text': 'first Wetty national championships', 'start': 114.03, 'duration': 4.65}, {'text': 'hosted by the st. Francis the nude', 'start': 117.119, 'duration': 5.091}, {'text': ""regatta got a few days of racing it's"", 'start': 118.68, 'duration': 7.29}, {'text': 'mid end of June should get good breezes', 'start': 122.21, 'duration': 7.029}, {'text': 'today we got 10 boats guys from all over', 'start': 125.97, 'duration': 5.099}, {'text': 'the west coast Chris kitchen from New', 'start': 129.239, 'duration': 4.791}, {'text': 'Zealand joined us', 'start': 131.069, 'duration': 2.961}, {'text': '[Music]', 'start': 139.84, 'duration': 16.219}, {'text': '[Music]', 'start': 160.48, 'duration': 9.309}, {'text': '[Music]', 'start': 174.3, 'duration': 21.899}, {'text': '[Music]', 'start': 200.95, 'duration': 6.05}, {'text': '[Music]', 'start': 214.77, 'duration': 29.0}, {'text': '[Applause]', 'start': 272.87, 'duration': 3.079}, {'text': '[Music]', 'start': 293.05, 'duration': 3.24}, {'text': 'you', 'start': 299.1, 'duration': 6.149}, {'text': '[Music]', 'start': 299.8, 'duration': 5.449}]"
Q8rl,WWHmkOrDIaI,"[21, 23]",
