ZlB7,HIBOaMyt6Ec,[8],
Awuu,dOtCRTzeodI,"[15, 499, 723, 946]",
opuu,YNza9wO6uz4,"[11, 20, 22, 29, 32, 120, 122, 173, 426, 2223]",
1Kuu,2gkhwlPEeKM,[41],
ARuu,Q-64IYmRG8k,"[3, 4]",
cVuu,Q5OEwM3im-c,[89],
zfuu,mpkBilitl7g,[1203],"[{'text': ""hey guys I'm getting ready to cut the"", 'start': 5.42, 'duration': 6.94}, {'text': 'apple berry picnic elemental swirl soap', 'start': 8.16, 'duration': 7.74}, {'text': 'I think it turned out really pretty the', 'start': 12.36, 'duration': 5.49}, {'text': ""only thing is you probably can't see it"", 'start': 15.9, 'duration': 4.62}, {'text': 'from there but there are a few beads of', 'start': 17.85, 'duration': 5.28}, {'text': ""oil on the top here I think it's the"", 'start': 20.52, 'duration': 4.589}, {'text': 'fragrance oil that kind of came out a', 'start': 23.13, 'duration': 4.02}, {'text': ""little bit and then I've got a couple"", 'start': 25.109, 'duration': 4.141}, {'text': 'spots that are a little bit dark like', 'start': 27.15, 'duration': 5.039}, {'text': ""drip spots so I don't know if that's"", 'start': 29.25, 'duration': 6.87}, {'text': 'from the plastic wrap getting', 'start': 32.189, 'duration': 5.701}, {'text': 'condensation on it and then dripping', 'start': 36.12, 'duration': 4.89}, {'text': 'down on top of the soap while it was', 'start': 37.89, 'duration': 7.349}, {'text': 'still in the gel stage or whatever but', 'start': 41.01, 'duration': 7.049}, {'text': ""anyway it doesn't look bad obviously you"", 'start': 45.239, 'duration': 4.05}, {'text': ""probably can't tell from your"", 'start': 48.059, 'duration': 4.711}, {'text': ""perspective anyway so I'm going to turn"", 'start': 49.289, 'duration': 7.141}, {'text': ""this over onto its side so I don't drag"", 'start': 52.77, 'duration': 9.14}, {'text': 'that micah line through the soap', 'start': 56.43, 'duration': 5.48}, {'text': ""and this is such an odd shape log it's"", 'start': 64.35, 'duration': 7.62}, {'text': 'almost exactly long enough to do 12 bars', 'start': 68.07, 'duration': 7.74}, {'text': 'but two of the bars then end up just', 'start': 71.97, 'duration': 6.57}, {'text': 'slightly smaller so I usually off center', 'start': 75.81, 'duration': 6.0}, {'text': 'it and end up with 11 full-sized and', 'start': 78.54, 'duration': 7.91}, {'text': 'then a couple of smaller ones so', 'start': 81.81, 'duration': 4.64}, {'text': ""okay let's see what we got"", 'start': 92.56, 'duration': 6.269}, {'text': 'oh wow', 'start': 95.99, 'duration': 2.839}, {'text': 'there it is least one of the end pieces', 'start': 99.45, 'duration': 7.89}, {'text': ""there's not as much green here and I"", 'start': 103.909, 'duration': 4.78}, {'text': ""don't know if that's because that's the"", 'start': 107.34, 'duration': 3.809}, {'text': 'end that kind of splashed and dispersed', 'start': 108.689, 'duration': 4.951}, {'text': ""that green Micah we'll find out as we"", 'start': 111.149, 'duration': 5.311}, {'text': 'get farther into the soap blog here', 'start': 113.64, 'duration': 6.57}, {'text': 'because I think this is the end that did', 'start': 116.46, 'duration': 7.85}, {'text': 'have a little trouble with splashing', 'start': 120.21, 'duration': 4.1}, {'text': ""that's very interesting pattern going on"", 'start': 124.759, 'duration': 7.51}, {'text': 'there it almost looks orange in the', 'start': 127.86, 'duration': 7.29}, {'text': ""middle here and I'm not exactly sure why"", 'start': 132.269, 'duration': 4.891}, {'text': ""it's a little different tone there than"", 'start': 135.15, 'duration': 5.369}, {'text': ""it is around the outside I don't know if"", 'start': 137.16, 'duration': 8.27}, {'text': ""that's going to change as the soap cures"", 'start': 140.519, 'duration': 12.291}, {'text': ""but it's different purple ended up being"", 'start': 145.43, 'duration': 10.779}, {'text': ""who that one's pretty it's got a little"", 'start': 152.81, 'duration': 6.13}, {'text': 'more of the uncolored soap base in there', 'start': 156.209, 'duration': 5.971}, {'text': 'so you can see a little more interesting', 'start': 158.94, 'duration': 8.28}, {'text': 'pattern but once again the green is not', 'start': 162.18, 'duration': 8.22}, {'text': ""real defined here obviously that's the"", 'start': 167.22, 'duration': 8.48}, {'text': 'part that kind of splashed a little bit', 'start': 170.4, 'duration': 7.53}, {'text': 'makes it fun and interesting though', 'start': 175.7, 'duration': 4.47}, {'text': 'right', 'start': 177.93, 'duration': 2.24}, {'text': 'see what else we got', 'start': 184.96, 'duration': 3.2}, {'text': 'here you can see a little bit more of', 'start': 188.46, 'duration': 7.27}, {'text': 'the green in that one not a lot but a', 'start': 190.66, 'duration': 7.16}, {'text': 'little', 'start': 195.73, 'duration': 2.09}, {'text': 'I do think that the bottom layer ended', 'start': 222.78, 'duration': 5.97}, {'text': 'up more defined because it was a little', 'start': 225.209, 'duration': 6.36}, {'text': 'bit thicker trace when I stirred that', 'start': 228.75, 'duration': 7.38}, {'text': 'swirled together and that really gives', 'start': 231.569, 'duration': 6.871}, {'text': 'it a little more interest compared to', 'start': 236.13, 'duration': 5.55}, {'text': ""the purple on the top it's almost just"", 'start': 238.44, 'duration': 5.78}, {'text': 'one color', 'start': 241.68, 'duration': 2.54}, {'text': ""see that's what i was going for is a"", 'start': 247.13, 'duration': 5.87}, {'text': 'little bit more of that', 'start': 249.38, 'duration': 3.62}, {'text': 'type of pattern', 'start': 254.31, 'duration': 3.259}, {'text': 'pretty one', 'start': 262.139, 'duration': 5.921}, {'text': 'okay just a couple more here', 'start': 264.68, 'duration': 3.38}, {'text': 'yeah see that one ended up really flat', 'start': 274.72, 'duration': 7.02}, {'text': ""and it's almost boring in comparison to"", 'start': 276.91, 'duration': 7.89}, {'text': 'the ones that kind of splashed a little', 'start': 281.74, 'duration': 9.09}, {'text': 'bit made that line a little bit wavy so', 'start': 284.8, 'duration': 9.23}, {'text': 'maybe you want to go for that effect', 'start': 290.83, 'duration': 8.88}, {'text': ""it's pretty cool so anyway I hope you"", 'start': 294.03, 'duration': 8.86}, {'text': ""guys had fun with this project and can't"", 'start': 299.71, 'duration': 6.62}, {'text': 'wait to see your soaps', 'start': 302.89, 'duration': 3.44}]"
6Iuu,myN8y_sBSWc,[41],
qtuu,n0UVgaJAu2s,"[28, 33, 38, 78, 2515]","[{'text': 'well over the years I have been very', 'start': 0.03, 'duration': 4.499}, {'text': 'fortunate a lot of gifts have been given', 'start': 3.06, 'duration': 3.529}, {'text': 'to me different hand drums and toys and', 'start': 4.529, 'duration': 4.65}, {'text': 'trinkets so that I have throughout the', 'start': 6.589, 'duration': 3.821}, {'text': ""house and then I'll have my eye in"", 'start': 9.179, 'duration': 2.491}, {'text': 'something where I need to have that I', 'start': 10.41, 'duration': 3.87}, {'text': ""need to play it and you know I'll save"", 'start': 11.67, 'duration': 4.379}, {'text': 'up some money and actually go buy it', 'start': 14.28, 'duration': 3.9}, {'text': 'like a xylophone or steel drum or a', 'start': 16.049, 'duration': 4.621}, {'text': ""timpani but to me it's really about"", 'start': 18.18, 'duration': 4.92}, {'text': 'collecting different drums like here', 'start': 20.67, 'duration': 4.109}, {'text': 'where we see condos and bongos and', 'start': 23.1, 'duration': 4.23}, {'text': 'talking drums and taking traditional', 'start': 24.779, 'duration': 4.65}, {'text': 'rhythms which are important but really', 'start': 27.33, 'duration': 3.449}, {'text': 'kind of throwing those out the window as', 'start': 29.429, 'duration': 4.441}, {'text': ""well and taking my homegrown rhythms I'm"", 'start': 30.779, 'duration': 5.251}, {'text': 'not a real traditional conga player but', 'start': 33.87, 'duration': 3.57}, {'text': ""I've got congas at my house and I play"", 'start': 36.03, 'duration': 3.689}, {'text': 'conga and I make people dance so you', 'start': 37.44, 'duration': 3.689}, {'text': 'know what the hell I thought my conga', 'start': 39.719, 'duration': 3.571}, {'text': 'player but I think of a guy who who knew', 'start': 41.129, 'duration': 4.41}, {'text': ""real conga rhythm saw me play oh you're"", 'start': 43.29, 'duration': 3.78}, {'text': 'not actually slapping it correctly and', 'start': 45.539, 'duration': 3.301}, {'text': ""there's a different rhythm to this or"", 'start': 47.07, 'duration': 3.86}, {'text': 'that what I think is completely', 'start': 48.84, 'duration': 4.05}, {'text': 'important to keep that tradition alive', 'start': 50.93, 'duration': 3.969}, {'text': ""and it's also important for someone like"", 'start': 52.89, 'duration': 4.29}, {'text': 'me to break it and have the parallel', 'start': 54.899, 'duration': 3.84}, {'text': ""I'll have them both going you know you"", 'start': 57.18, 'duration': 2.789}, {'text': ""don't want that you want those rhythms"", 'start': 58.739, 'duration': 4.381}, {'text': 'to stay sound but you also want people', 'start': 59.969, 'duration': 4.44}, {'text': ""to take everything they've learned from"", 'start': 63.12, 'duration': 3.81}, {'text': ""today's music drum and bass and techno"", 'start': 64.409, 'duration': 4.831}, {'text': ""and all the stuff that's happening and"", 'start': 66.93, 'duration': 4.439}, {'text': 'put that new rhythm so you know at the', 'start': 69.24, 'duration': 3.39}, {'text': ""house I've got congas"", 'start': 71.369, 'duration': 4.86}, {'text': ""I've got steel drum got a xylophone I've"", 'start': 72.63, 'duration': 6.3}, {'text': ""got myself two different timpani x' I've"", 'start': 76.229, 'duration': 6.661}, {'text': 'got different sizes of bongos and you', 'start': 78.93, 'duration': 7.049}, {'text': ""know bodhrán heads and I've got a few of"", 'start': 82.89, 'duration': 6.119}, {'text': ""these clay drums you know it's just it's"", 'start': 85.979, 'duration': 5.191}, {'text': ""it goes forever I've got the rain sticks"", 'start': 89.009, 'duration': 5.491}, {'text': 'and rain drums ocean yeah I mean you', 'start': 91.17, 'duration': 4.5}, {'text': ""know the name of the thing it's like you"", 'start': 94.5, 'duration': 2.4}, {'text': 'hold it over your head it sounds like', 'start': 95.67, 'duration': 3.48}, {'text': ""you're underneath the water and you know"", 'start': 96.9, 'duration': 4.32}, {'text': ""it's really just about having a"", 'start': 99.15, 'duration': 4.89}, {'text': ""collection of stuff and then when I'm"", 'start': 101.22, 'duration': 4.98}, {'text': ""alone or with somebody's go and kind of"", 'start': 104.04, 'duration': 2.73}, {'text': 'jam', 'start': 106.2, 'duration': 3.33}, {'text': 'make some noise do a drum circle and', 'start': 106.77, 'duration': 6.18}, {'text': 'very fortunate you know I am very', 'start': 109.53, 'duration': 5.4}, {'text': ""fortunate to know that I've got sessions"", 'start': 112.95, 'duration': 3.72}, {'text': 'here in there that I enjoy and I bring a', 'start': 114.93, 'duration': 3.63}, {'text': 'bag of percussion so after laying the', 'start': 116.67, 'duration': 3.479}, {'text': 'drum track I can go in and do smaller', 'start': 118.56, 'duration': 4.379}, {'text': 'rhythms little shaking rhythms you know', 'start': 120.149, 'duration': 4.561}, {'text': 'little finger rhythms that kind of', 'start': 122.939, 'duration': 3.871}, {'text': 'percolates my drum sound and all of a', 'start': 124.71, 'duration': 4.019}, {'text': 'sudden the verse comes and you hear some', 'start': 126.81, 'duration': 3.809}, {'text': 'other rhythms coming in I actually had', 'start': 128.729, 'duration': 3.811}, {'text': 'that in mind while I was playing on my', 'start': 130.619, 'duration': 2.411}, {'text': 'overdub', 'start': 132.54, 'duration': 6.31}, {'text': 'something else you know I might put that', 'start': 133.03, 'duration': 8.85}, {'text': 'over my hi-hat track oh you know why not', 'start': 138.85, 'duration': 10.94}, {'text': ""I mean I think it's really the open"", 'start': 141.88, 'duration': 10.35}, {'text': 'canvas that do anything with all these', 'start': 149.79, 'duration': 3.91}, {'text': 'drums you know especially in a rock', 'start': 152.23, 'duration': 3.15}, {'text': ""situation you don't have to do it"", 'start': 153.7, 'duration': 3.27}, {'text': 'traditionally you can do your own thing', 'start': 155.38, 'duration': 2.85}, {'text': ""and that's what I like to do with my"", 'start': 156.97, 'duration': 3.45}, {'text': 'stuff when I look around here you know', 'start': 158.23, 'duration': 6.42}, {'text': ""it's such beautiful stuff and it's you"", 'start': 160.42, 'duration': 5.819}, {'text': 'know dying to be played I feel bad for', 'start': 164.65, 'duration': 4.559}, {'text': ""drums they're sitting there in peace and"", 'start': 166.239, 'duration': 5.061}, {'text': 'quiet no they want to be noisy', 'start': 169.209, 'duration': 3.961}, {'text': ""now there's something great about Jim"", 'start': 171.3, 'duration': 3.7}, {'text': 'bass obviously the low-end you can get', 'start': 173.17, 'duration': 4.83}, {'text': ""out of it and then the high slap it's"", 'start': 175.0, 'duration': 4.56}, {'text': 'almost a perfect drum when you only have', 'start': 178.0, 'duration': 5.36}, {'text': 'one drum at a drum circle Jeff', 'start': 179.56, 'duration': 3.8}]"
9suu,Czu-2l19Mas,"[5, 597]",
XIuu,kVJNqWjjT1c,"[2, 30]","[{'text': 'now this here is a very exciting thing', 'start': 1.19, 'duration': 9.329}, {'text': ""which I'm eager to share it is a 1982"", 'start': 3.78, 'duration': 12.39}, {'text': ""Kawasaki CSR or KZ 305 the reason I'm so"", 'start': 10.519, 'duration': 8.231}, {'text': 'excited about this is because ten years', 'start': 16.17, 'duration': 6.63}, {'text': 'ago I needed some money to travel to', 'start': 18.75, 'duration': 7.26}, {'text': 'Europe and tour the European continent', 'start': 22.8, 'duration': 6.299}, {'text': 'and so I sold my very first bike which', 'start': 26.01, 'duration': 8.79}, {'text': 'was in 1982 csr 305 in this sort of', 'start': 29.099, 'duration': 12.421}, {'text': 'purplish burgundy color see was exactly', 'start': 34.8, 'duration': 8.61}, {'text': ""the same it's just a stock bike you know"", 'start': 41.52, 'duration': 5.609}, {'text': ""it didn't have this Universal windshield"", 'start': 43.41, 'duration': 7.559}, {'text': 'thing on it but I always missed that', 'start': 47.129, 'duration': 5.52}, {'text': 'bike and you notice my first bike always', 'start': 50.969, 'duration': 3.27}, {'text': 'had emotional attachment to it you know', 'start': 52.649, 'duration': 2.91}, {'text': 'I think it was pretty hot and it was', 'start': 54.239, 'duration': 4.771}, {'text': 'cool at the time so I really missed it', 'start': 55.559, 'duration': 5.91}, {'text': 'fast forward 10 years Here I am', 'start': 59.01, 'duration': 5.28}, {'text': 'returning to the place that I was living', 'start': 61.469, 'duration': 4.321}, {'text': 'more or less the city I was living at', 'start': 64.29, 'duration': 4.68}, {'text': 'that time and here we have a 1982', 'start': 65.79, 'duration': 8.719}, {'text': 'Kawasaki 3 305 in this purplish color', 'start': 68.97, 'duration': 7.98}, {'text': 'you know I bought it as a project bike', 'start': 74.509, 'duration': 5.381}, {'text': ""and I'm just all fucking tickled pink"", 'start': 76.95, 'duration': 4.86}, {'text': 'about it you know the guy who sold it to', 'start': 79.89, 'duration': 3.57}, {'text': ""me didn't know anything about the bikes"", 'start': 81.81, 'duration': 6.51}, {'text': ""history from back that far so I don't"", 'start': 83.46, 'duration': 6.81}, {'text': 'know if any way of checking whether or', 'start': 88.32, 'duration': 5.339}, {'text': ""not it's mine or not but on the off"", 'start': 90.27, 'duration': 8.489}, {'text': ""chance that it is I'm super stoked still"", 'start': 93.659, 'duration': 9.561}, {'text': 'looks to be in pretty decent condition a', 'start': 98.759, 'duration': 4.461}, {'text': 'little bit of rust here and there but', 'start': 103.579, 'duration': 5.101}, {'text': 'nothing that bad', 'start': 105.96, 'duration': 2.72}, {'text': 'one of these big-ass u locks down there', 'start': 110.9, 'duration': 4.3}, {'text': 'and I have the key for it', 'start': 113.7, 'duration': 3.54}, {'text': ""very nice it's definitely gonna need a"", 'start': 115.2, 'duration': 5.49}, {'text': ""new front tire but yeah I'm just it's"", 'start': 117.24, 'duration': 5.7}, {'text': ""gonna dive right into it so let's see"", 'start': 120.69, 'duration': 5.52}, {'text': ""what kind of condition it's nice I got"", 'start': 122.94, 'duration': 7.92}, {'text': 'giggly when I find these things Q sit up', 'start': 126.21, 'duration': 15.9}, {'text': 'some bad starter Oh hot hot while we', 'start': 130.86, 'duration': 12.9}, {'text': 'wait for a new starter the carbs get', 'start': 142.11, 'duration': 4.77}, {'text': 'cleaned this starter motor is much', 'start': 143.76, 'duration': 6.95}, {'text': ""better I'm sure it will work great"", 'start': 146.88, 'duration': 3.83}, {'text': 'good fill er up', 'start': 154.58, 'duration': 5.31}, {'text': 'so it literally is just as easy as that', 'start': 203.87, 'duration': 6.22}, {'text': 'one not even in afternoons worth of work', 'start': 206.629, 'duration': 6.94}, {'text': ""and we're all done I think this is"", 'start': 210.09, 'duration': 5.28}, {'text': ""really cool you know I've owned hundreds"", 'start': 213.569, 'duration': 5.221}, {'text': 'of bikes since I owned this one where', 'start': 215.37, 'duration': 4.92}, {'text': ""it's you know same year make model color"", 'start': 218.79, 'duration': 5.369}, {'text': 'or whatever and this is you know the', 'start': 220.29, 'duration': 5.4}, {'text': ""first one like it that I've seen since"", 'start': 224.159, 'duration': 3.511}, {'text': 'and you know I will admit that I sold', 'start': 225.69, 'duration': 4.71}, {'text': 'that bike and not as great condition as', 'start': 227.67, 'duration': 5.76}, {'text': 'I bought it and I kind of let it down in', 'start': 230.4, 'duration': 5.399}, {'text': 'that way I always felt and so this is', 'start': 233.43, 'duration': 4.919}, {'text': ""sort of like my Redemption no no it's"", 'start': 235.799, 'duration': 4.47}, {'text': ""just cool I've been thinking about this"", 'start': 238.349, 'duration': 4.11}, {'text': 'bike for ten years you know a lot of', 'start': 240.269, 'duration': 7.62}, {'text': ""good times on this bike so it's a neat"", 'start': 242.459, 'duration': 7.821}, {'text': 'little thing', 'start': 247.889, 'duration': 2.391}, {'text': 'Oh', 'start': 259.34, 'duration': 2.06}, {'text': 'stalled out', 'start': 268.669, 'duration': 2.481}]"
J6uu,_UZHvkC6N3c,"[0, 1, 153, 719]",
lNuu,km2lLbGJAqc,[769],
9puu,ksWtA_vKTxU,"[2, 76]",
FHuu,kv_iQfBJ5_A,[14],
l4uu,l0uNfNxGt-8,"[4, 9, 10, 34]",
Kiuu,LF7hDPAefJw,[3],
DEuu,LLZn5qLkUhY,"[50, 65, 66, 781]",
Mjuu,XI2_zcyL3YU,"[760, 948]","[{'text': ""and what's up storm pens this is my big"", 'start': 1.31, 'duration': 5.4}, {'text': ""we're here live at bull Expo here at the"", 'start': 3.74, 'duration': 3.94}, {'text': 'storm', 'start': 6.71, 'duration': 4.559}, {'text': 'I want to talk to you today', 'start': 7.68, 'duration': 3.589}, {'text': 'hitting pro shops 30', 'start': 12.719, 'duration': 3.681}, {'text': ""so I'm always trying to look"", 'start': 32.259, 'duration': 3.481}, {'text': 'go towards the strongest wall that I can', 'start': 34.06, 'duration': 2.92}, {'text': 'find', 'start': 35.74, 'duration': 2.8}, {'text': 'you know a solid really kind of puts', 'start': 36.98, 'duration': 4.74}, {'text': 'that that ball in my hands', 'start': 38.54, 'duration': 5.95}, {'text': 'a solid', 'start': 41.72, 'duration': 6.02}, {'text': ""it's not exactly as strong as"", 'start': 44.49, 'duration': 8.38}, {'text': 'a crux for a hyper cell but at the same', 'start': 47.74, 'duration': 9.06}, {'text': ""time this is a symmetric or so you're"", 'start': 52.87, 'duration': 6.57}, {'text': 'gonna see a lot smoother reaction out of', 'start': 56.8, 'duration': 3.68}, {'text': 'this ball that you', 'start': 59.44, 'duration': 3.4}, {'text': 'brats', 'start': 60.48, 'duration': 2.36}, {'text': 'I can take this Optima solid out and', 'start': 67.39, 'duration': 9.11}, {'text': 'really smooth out that freshman batter', 'start': 72.01, 'duration': 4.49}, {'text': ""starts to carry down that's when I"", 'start': 76.84, 'duration': 3.769}, {'text': ""so when I'm thinking about this ball"", 'start': 82.75, 'duration': 5.09}, {'text': 'filling a gap', 'start': 84.82, 'duration': 3.02}, {'text': ""I think they're actually really"", 'start': 88.69, 'duration': 2.55}, {'text': 'versatile piece when it comes out of the', 'start': 89.65, 'duration': 3.42}, {'text': 'box', 'start': 91.24, 'duration': 3.489}, {'text': ""it's pretty aggressive it's got"", 'start': 93.07, 'duration': 3.79}, {'text': 'have a rough finish on it probably 2,000', 'start': 94.729, 'duration': 5.511}, {'text': ""or so but it's got some"", 'start': 96.86, 'duration': 3.38}, {'text': 'a little bit softer but you still like', 'start': 105.81, 'duration': 3.099}, {'text': 'to see them off the cup in the midlane', 'start': 107.13, 'duration': 3.16}, {'text': 'and see a lot of smoothness down the', 'start': 108.909, 'duration': 3.661}, {'text': 'backend feel free to bring up the', 'start': 110.29, 'duration': 3.57}, {'text': ""surface I've had a lot of success with"", 'start': 112.57, 'duration': 3.74}, {'text': 'this ball', 'start': 113.86, 'duration': 2.45}, {'text': ""it almost looks polish but it's not"", 'start': 116.62, 'duration': 3.53}, {'text': 'and I still got a really great reaction', 'start': 120.24, 'duration': 3.57}, {'text': 'out of it so I would definitely try to', 'start': 122.04, 'duration': 3.78}, {'text': 'pick this', 'start': 123.81, 'duration': 4.169}, {'text': 'Matchmaker this summer and make sure you', 'start': 125.82, 'duration': 4.59}, {'text': ""test out the Optima solid it's gonna hit"", 'start': 127.979, 'duration': 4.771}, {'text': 'pro shops to 30th', 'start': 130.41, 'duration': 6.05}, {'text': ""I'm seeing on TV very soon"", 'start': 132.75, 'duration': 3.71}]"
nzuu,1-nsWr7jDLI,[14],
aDuu,12zyVzedaa4,"[11, 29, 32, 221]","[{'text': ""suitable Yoko's parakalo - yes sir - yes"", 'start': 4.37, 'duration': 6.37}, {'text': 'sir', 'start': 10.349, 'duration': 2.611}, {'text': 'sit upon you like a nest of volume given', 'start': 10.74, 'duration': 4.559}, {'text': 'IT geek our name is levitical a', 'start': 12.96, 'duration': 5.34}, {'text': 'dedicated I like a lot or research', 'start': 15.299, 'duration': 5.851}, {'text': 'can I call come Ashley dedicated no loss', 'start': 18.3, 'duration': 6.27}, {'text': 'Levitical logistical question total', 'start': 21.15, 'duration': 13.2}, {'text': 'mobility car or closer related suitable', 'start': 24.57, 'duration': 12.69}, {'text': 'your emotional of nature at yourself in', 'start': 34.35, 'duration': 6.66}, {'text': 'the dedicate a nice little ecological on', 'start': 37.26, 'duration': 6.66}, {'text': 'the moon Nathan echo collectibility DKK', 'start': 41.01, 'duration': 6.119}, {'text': 'carry ominous reciprocal now just', 'start': 43.92, 'duration': 6.869}, {'text': 'illogical or rimmel harmonica crystal', 'start': 47.129, 'duration': 7.471}, {'text': 'meth and a California ERISA title act', 'start': 50.789, 'duration': 8.311}, {'text': ""like a ghost I'd like a turn after I"", 'start': 54.6, 'duration': 8.07}, {'text': 'took like that so so these are under par', 'start': 59.1, 'duration': 7.5}, {'text': 'so soon I do not die ribbons are', 'start': 62.67, 'duration': 6.84}, {'text': 'supposed to buy little scimitar edge of', 'start': 66.6, 'duration': 3.75}, {'text': 'ladder', 'start': 69.51, 'duration': 4.399}, {'text': 'do you try to like yeah I was like ah', 'start': 70.35, 'duration': 6.449}, {'text': 'extra like a mad person pose of', 'start': 73.909, 'duration': 3.581}, {'text': 'elephants', 'start': 76.799, 'duration': 3.93}, {'text': 'rakaat materia hola', 'start': 77.49, 'duration': 9.89}, {'text': 'seola Allah o Allah Mahiro Allah', 'start': 80.729, 'duration': 10.741}, {'text': 'Muhammad Ali unison all the time of the', 'start': 87.38, 'duration': 7.77}, {'text': 'dojo vehement assume Allah says Allah', 'start': 91.47, 'duration': 6.329}, {'text': 'kyriakos America go Sami Yen a pen', 'start': 95.15, 'duration': 5.14}, {'text': 'acrezoológico metal Oh Daria polio yah', 'start': 97.799, 'duration': 4.411}, {'text': 'Allah is Allah', 'start': 100.29, 'duration': 4.02}, {'text': 'I love girl I love girl I love again', 'start': 102.21, 'duration': 4.92}, {'text': ""Tyler we get up and I'ma get a nice very"", 'start': 104.31, 'duration': 5.04}, {'text': 'simple da da Dada', 'start': 107.13, 'duration': 6.36}, {'text': 'may I pour la mesa i go there hello I', 'start': 109.35, 'duration': 6.69}, {'text': 'love it Anna', 'start': 113.49, 'duration': 7.129}, {'text': ""doble to Li Na to the children y'all go"", 'start': 116.04, 'duration': 7.289}, {'text': ""see the spaghetti I'm like an Autobody"", 'start': 120.619, 'duration': 7.48}, {'text': 'toddler then elementally I a dog Li for', 'start': 123.329, 'duration': 8.601}, {'text': 'will I survive I Yulia I relax to me', 'start': 128.099, 'duration': 5.25}, {'text': 'personally', 'start': 131.93, 'duration': 6.27}, {'text': 'and falsi meet odometer towelette Roble', 'start': 133.349, 'duration': 8.25}, {'text': 'every kind of Parsa Innokin topper after', 'start': 138.2, 'duration': 6.459}, {'text': 'Putin pool melodic see me who could be', 'start': 141.599, 'duration': 7.021}, {'text': 'Smith Moses Kanazawa crystal shoe Glee', 'start': 144.659, 'duration': 7.44}, {'text': 'for the Soviet ah my ticket to Allah -', 'start': 148.62, 'duration': 5.569}, {'text': 'over Utah -', 'start': 152.099, 'duration': 5.31}, {'text': 'single X column column gelatin', 'start': 154.189, 'duration': 10.78}, {'text': ""I'll bet Steve I bet Venus no other x SI"", 'start': 157.409, 'duration': 11.631}, {'text': 'no te maka vodka - vodka vodka vodka', 'start': 164.969, 'duration': 6.41}, {'text': 'vodka', 'start': 169.04, 'duration': 5.259}, {'text': 'Lucilla give you our moose fertilizers', 'start': 171.379, 'duration': 4.871}, {'text': 'sensual ado go get the battery soda', 'start': 174.299, 'duration': 4.47}, {'text': 'possibly are sticking it on ya allah to', 'start': 176.25, 'duration': 6.81}, {'text': 'the liberalism particular debt photo', 'start': 178.769, 'duration': 7.261}, {'text': 'collages are there poses I can XE yeah', 'start': 183.06, 'duration': 5.299}, {'text': ""that's right you and Holly my colleague"", 'start': 186.03, 'duration': 4.919}, {'text': 'no protocol you and Hadji call Corey Jay', 'start': 188.359, 'duration': 7.451}, {'text': 'Carney Misaki coffee yeah oh yeah yeah I', 'start': 190.949, 'duration': 5.731}, {'text': 'like that', 'start': 195.81, 'duration': 5.459}, {'text': 'if Maori article X you come Oh perfect', 'start': 196.68, 'duration': 7.86}, {'text': 'risk oh yeah extra Kuna career Sally can', 'start': 201.269, 'duration': 4.65}, {'text': 'attach yeah huh', 'start': 204.54, 'duration': 6.839}, {'text': ""my man right you know I don't fish ha ha"", 'start': 205.919, 'duration': 8.85}, {'text': 'yeah yeah please a venomous vegetable', 'start': 211.379, 'duration': 6.801}, {'text': 'told us pitch sense hello put hey ba', 'start': 214.769, 'duration': 6.021}, {'text': 'Widow ha ha', 'start': 218.18, 'duration': 6.04}, {'text': ""perché Tiamo I don't worry today you"", 'start': 220.79, 'duration': 5.979}, {'text': 'know put in the spritzes hey da say idea', 'start': 224.22, 'duration': 3.739}, {'text': 'to see Dada', 'start': 226.769, 'duration': 8.19}, {'text': 'whoosh ah ah ah ah ah yeah I do know my', 'start': 227.959, 'duration': 10.09}, {'text': 'listen let me get Ziggler yes your penis', 'start': 234.959, 'duration': 4.8}, {'text': 'little here ah', 'start': 238.049, 'duration': 3.66}, {'text': 'or else if your nose momentous I know', 'start': 239.759, 'duration': 3.741}, {'text': ""I'm sure I do"", 'start': 241.709, 'duration': 5.25}, {'text': ""motherf King I don't know one about the"", 'start': 243.5, 'duration': 13.299}, {'text': 'GI na na na no ooki na ah onl XE hey', 'start': 246.959, 'duration': 12.81}, {'text': 'unify simply so we went enough on us', 'start': 256.799, 'duration': 5.971}, {'text': 'buddy got a tab researched yourself', 'start': 259.769, 'duration': 6.101}, {'text': 'man you got there are fun America', 'start': 262.77, 'duration': 5.29}, {'text': 'ah alright skinny face almost a', 'start': 265.87, 'duration': 5.549}, {'text': 'Spartacus crecelius Latoya hey soo shall', 'start': 268.06, 'duration': 5.24}, {'text': 'we yeah the biology Mecca', 'start': 271.419, 'duration': 7.22}, {'text': 'Kalavati Jalla said army shall expire', 'start': 273.3, 'duration': 10.41}, {'text': 'video ID yes yes haha yeah', 'start': 278.639, 'duration': 5.071}]"
