siBe,4rn0t6RvCa8,"[730, 2415]",
y2Be,7FMyPM-4mic,"[3, 6]",
9kBe,7QN55le0YJI,"[2, 30, 905]",
vPBe,kCvE-MdByXU,"[5, 847]",
pSBe,kHgVAhZC4_Q,[3],
DhBe,JwZ05wRzPFU,"[3, 4]",
mKBe,BSugvB5-F38,"[68, 72, 98, 151]","[{'text': 'Wow', 'start': 76.93, 'duration': 3.0}]"
FtBe,h3JGwI9p6_c,"[15, 18, 67, 140, 580]","[{'text': ""I'm Mikkel Becker I'm going to help you"", 'start': 5.72, 'duration': 4.27}, {'text': 'train your dog to stop barking at the', 'start': 8.16, 'duration': 3.87}, {'text': ""doorbell or when someone's knocking at"", 'start': 9.99, 'duration': 8.369}, {'text': 'the door dogs bark at the doorbell or at', 'start': 12.03, 'duration': 7.68}, {'text': 'the door knocking for a number of', 'start': 18.359, 'duration': 3.451}, {'text': 'reasons a lot of times dogs bark at the', 'start': 19.71, 'duration': 4.53}, {'text': 'doorbell and then the door gets open so', 'start': 21.81, 'duration': 3.9}, {'text': ""they think they're training the person"", 'start': 24.24, 'duration': 3.299}, {'text': 'to open the door whenever they bark', 'start': 25.71, 'duration': 4.05}, {'text': 'other dogs like to bark at the doorbell', 'start': 27.539, 'duration': 4.201}, {'text': 'or at the door knocking in a way that', 'start': 29.76, 'duration': 3.69}, {'text': ""they're doing watch dog barking so"", 'start': 31.74, 'duration': 3.18}, {'text': ""they're alerting the owner to someone"", 'start': 33.45, 'duration': 2.789}, {'text': 'being out there other dogs are just', 'start': 34.92, 'duration': 3.42}, {'text': ""incredibly excited that someone's there"", 'start': 36.239, 'duration': 3.871}, {'text': ""and they're doing a type of greeting"", 'start': 38.34, 'duration': 4.62}, {'text': 'barking behavior and so other dogs have', 'start': 40.11, 'duration': 4.62}, {'text': 'some anxiety when there is someone at', 'start': 42.96, 'duration': 4.2}, {'text': 'the door and so for these dogs with the', 'start': 44.73, 'duration': 5.07}, {'text': ""anxiety and fear it's really important"", 'start': 47.16, 'duration': 5.039}, {'text': 'to employ a veterinary behaviorist or', 'start': 49.8, 'duration': 4.14}, {'text': 'certified professional dog trainer to', 'start': 52.199, 'duration': 3.54}, {'text': 'help change that route emotion of fear', 'start': 53.94, 'duration': 3.84}, {'text': ""into a positive emotion when there's"", 'start': 55.739, 'duration': 3.23}, {'text': 'somebody at the door', 'start': 57.78, 'duration': 3.57}, {'text': 'the best thing that you can do to stop', 'start': 58.969, 'duration': 3.941}, {'text': 'your dog from barking at the doorbell or', 'start': 61.35, 'duration': 3.089}, {'text': 'at the door knocking is to train an', 'start': 62.91, 'duration': 4.139}, {'text': 'alternative behavior one of my favorite', 'start': 64.439, 'duration': 4.651}, {'text': 'alternative behaviors to train is Matt', 'start': 67.049, 'duration': 3.841}, {'text': 'training for your dog to go to their mat', 'start': 69.09, 'duration': 3.87}, {'text': 'whenever they hear the doorbell or the', 'start': 70.89, 'duration': 2.85}, {'text': 'door knock', 'start': 72.96, 'duration': 3.36}, {'text': 'so Bruce already knows how to go on is', 'start': 73.74, 'duration': 4.919}, {'text': 'Matt on the cue mat whenever I say this', 'start': 76.32, 'duration': 4.14}, {'text': 'word he runs over and lies down on his', 'start': 78.659, 'duration': 4.471}, {'text': 'mat so the next step is either teaching', 'start': 80.46, 'duration': 4.14}, {'text': 'the knock on the door or the doorbell', 'start': 83.13, 'duration': 3.72}, {'text': 'being the cue for the dog to run and to', 'start': 84.6, 'duration': 3.659}, {'text': ""lie down on their mat I'm going to go"", 'start': 86.85, 'duration': 3.3}, {'text': 'ahead and use the door knocking to start', 'start': 88.259, 'duration': 4.201}, {'text': 'out with what I like to do is start with', 'start': 90.15, 'duration': 3.929}, {'text': 'a really quiet knock rather than the', 'start': 92.46, 'duration': 3.21}, {'text': 'full-blown knocking which is probably', 'start': 94.079, 'duration': 3.391}, {'text': 'going to create a response in him to', 'start': 95.67, 'duration': 3.36}, {'text': ""bark so I'm going to start with just a"", 'start': 97.47, 'duration': 3.57}, {'text': ""really quiet knock so what I'm going to"", 'start': 99.03, 'duration': 4.65}, {'text': 'do is quietly knock on the door say his', 'start': 101.04, 'duration': 4.77}, {'text': 'word Matt and then click and treat him', 'start': 103.68, 'duration': 3.329}, {'text': 'for going to his mat as he normally', 'start': 105.81, 'duration': 8.91}, {'text': 'would Lucy Matt good go ahead and treat', 'start': 107.009, 'duration': 8.82}, {'text': ""him and then I'm going to go ahead and"", 'start': 114.72, 'duration': 2.91}, {'text': 'reset him again by tossing the treat off', 'start': 115.829, 'duration': 8.131}, {'text': ""the mat Matt good next I'm going to try"", 'start': 117.63, 'duration': 8.46}, {'text': 'and withhold the word Matt for a little', 'start': 123.96, 'duration': 3.689}, {'text': ""bit longer if he doesn't do it right"", 'start': 126.09, 'duration': 3.809}, {'text': ""away nothing bad happens I'll just go"", 'start': 127.649, 'duration': 3.961}, {'text': 'ahead and say the word Matt in a couple', 'start': 129.899, 'duration': 2.481}, {'text': 'of seconds', 'start': 131.61, 'duration': 2.42}, {'text': ""but what I'm going to try and get from"", 'start': 132.38, 'duration': 3.36}, {'text': 'him has a response to just go ahead and', 'start': 134.03, 'duration': 3.36}, {'text': 'go to his mat just on the knocking at', 'start': 135.74, 'duration': 8.28}, {'text': ""the door Matt and I'm going to go ahead"", 'start': 137.39, 'duration': 8.01}, {'text': 'and click that because he backed up', 'start': 144.02, 'duration': 2.88}, {'text': ""towards his mat although he didn't go"", 'start': 145.4, 'duration': 3.36}, {'text': 'all the way the next time I want to see', 'start': 146.9, 'duration': 4.29}, {'text': ""him go fully to his mat so it's always"", 'start': 148.76, 'duration': 3.75}, {'text': 'important to remember that you may not', 'start': 151.19, 'duration': 2.97}, {'text': 'get the full behavior perfectly the', 'start': 152.51, 'duration': 2.76}, {'text': ""first time but as long as you're"", 'start': 154.16, 'duration': 2.55}, {'text': 'starting to get little steps towards', 'start': 155.27, 'duration': 2.88}, {'text': ""getting the final behavior that's"", 'start': 156.71, 'duration': 9.8}, {'text': 'exactly what you would like Matt Matt', 'start': 158.15, 'duration': 12.45}, {'text': 'good boy and it also helps if your dog', 'start': 166.51, 'duration': 5.53}, {'text': 'is trying to say towards the front of', 'start': 170.6, 'duration': 3.3}, {'text': 'the mat if you click and then toss', 'start': 172.04, 'duration': 3.81}, {'text': 'retreat towards the back of the mat the', 'start': 173.9, 'duration': 3.63}, {'text': 'dogs would be more likely to go towards', 'start': 175.85, 'duration': 8.34}, {'text': 'the back the next time good boy', 'start': 177.53, 'duration': 8.37}, {'text': 'and that time I went ahead and withheld', 'start': 184.19, 'duration': 3.42}, {'text': 'the word Mac so I want him to start', 'start': 185.9, 'duration': 3.51}, {'text': 'doing this completely on just the', 'start': 187.61, 'duration': 13.53}, {'text': 'knocking at the door good so did you see', 'start': 189.41, 'duration': 13.02}, {'text': ""that he was waiting he's trying to"", 'start': 201.14, 'duration': 2.61}, {'text': ""forget why it wasn't clicking and"", 'start': 202.43, 'duration': 2.97}, {'text': 'finally he backed up enough to where was', 'start': 203.75, 'duration': 17.04}, {'text': 'a clickable moment good there we go and', 'start': 205.4, 'duration': 16.95}, {'text': 'any type of barking or anything like', 'start': 220.79, 'duration': 2.82}, {'text': ""that it was just I'm not going to do"", 'start': 222.35, 'duration': 3.06}, {'text': ""anything bad about it and just I'm going"", 'start': 223.61, 'duration': 7.14}, {'text': ""to wait there we go nice and I'm going"", 'start': 225.41, 'duration': 6.45}, {'text': 'to try and click towards the back of the', 'start': 230.75, 'duration': 3.26}, {'text': 'mat', 'start': 231.86, 'duration': 2.15}, {'text': 'there we go and I got all of his feet on', 'start': 247.97, 'duration': 4.06}, {'text': 'the back of the mat which is exactly', 'start': 250.56, 'duration': 4.23}, {'text': ""what I want so I'm going to start"", 'start': 252.03, 'duration': 4.679}, {'text': ""varying my own position as well so I'm"", 'start': 254.79, 'duration': 3.36}, {'text': 'going to start knocking towards the', 'start': 256.709, 'duration': 5.491}, {'text': 'front of the door a little bit more boy', 'start': 258.15, 'duration': 6.17}, {'text': 'there we go perfect', 'start': 262.2, 'duration': 4.469}, {'text': 'the next behavior that you want to teach', 'start': 264.32, 'duration': 4.06}, {'text': 'is for your dog to wait on their mat', 'start': 266.669, 'duration': 4.021}, {'text': 'lying down while you start to open the', 'start': 268.38, 'duration': 4.2}, {'text': 'door without anybody yet on the other', 'start': 270.69, 'duration': 3.63}, {'text': ""side I'm going to show this with Bruce"", 'start': 272.58, 'duration': 2.88}, {'text': ""right now so I'm going to go ahead and"", 'start': 274.32, 'duration': 7.95}, {'text': 'do my normal Q mat weight starting to', 'start': 275.46, 'duration': 10.77}, {'text': 'open the door and since he said he gets', 'start': 282.27, 'duration': 6.649}, {'text': 'a click and then a treat right after', 'start': 286.23, 'duration': 6.3}, {'text': ""good boy I'm going to do the Q to knock"", 'start': 288.919, 'duration': 4.961}, {'text': ""on the door and then I'm going to start"", 'start': 292.53, 'duration': 9.389}, {'text': 'to open the door for him wait this time', 'start': 293.88, 'duration': 11.0}, {'text': ""I'm going to step around"", 'start': 301.919, 'duration': 2.961}, {'text': ""good jobs we're trying to make this look"", 'start': 307.48, 'duration': 4.69}, {'text': 'more and more like the actual situation', 'start': 310.49, 'duration': 4.86}, {'text': 'when a person comes to the door so the', 'start': 312.17, 'duration': 5.31}, {'text': 'way to bridge this from you knocking on', 'start': 315.35, 'duration': 3.93}, {'text': 'the door yourself to having someone else', 'start': 317.48, 'duration': 3.15}, {'text': 'knock on the door be the cue for your', 'start': 319.28, 'duration': 2.97}, {'text': 'dog to go to the mat is to employ family', 'start': 320.63, 'duration': 3.78}, {'text': 'or friends have them start by first', 'start': 322.25, 'duration': 3.63}, {'text': 'being in the house your dog has already', 'start': 324.41, 'duration': 3.12}, {'text': ""seen them isn't too excited about them"", 'start': 325.88, 'duration': 3.57}, {'text': 'have them walk right outside knock on', 'start': 327.53, 'duration': 3.75}, {'text': 'the door have that be the cue for your', 'start': 329.45, 'duration': 4.05}, {'text': 'dog to go to their mat just remember to', 'start': 331.28, 'duration': 3.63}, {'text': 'not punish your dog if they start', 'start': 333.5, 'duration': 3.03}, {'text': 'barking but just go ahead and wait for', 'start': 334.91, 'duration': 3.36}, {'text': ""the behavior to happen it doesn't happen"", 'start': 336.53, 'duration': 3.81}, {'text': ""right away it's okay to take a couple"", 'start': 338.27, 'duration': 4.23}, {'text': 'steps back cue them to go to the mat and', 'start': 340.34, 'duration': 5.22}, {'text': 'then start clicking and treating soon', 'start': 342.5, 'duration': 4.41}, {'text': 'you want to be able to graduate to', 'start': 345.56, 'duration': 3.18}, {'text': 'having a stranger come to the door and', 'start': 346.91, 'duration': 3.9}, {'text': 'start knocking and have that be your', 'start': 348.74, 'duration': 4.26}, {'text': ""dog's cue to go to their mat the way to"", 'start': 350.81, 'duration': 4.14}, {'text': 'train the doorbell being the cue for the', 'start': 353.0, 'duration': 3.78}, {'text': 'dog to go to their mat is the same exact', 'start': 354.95, 'duration': 3.24}, {'text': 'way that you train the knocking at the', 'start': 356.78, 'duration': 4.05}, {'text': 'door what you would do is first ring the', 'start': 358.19, 'duration': 5.4}, {'text': 'doorbell then do whatever cue it is for', 'start': 360.83, 'duration': 4.05}, {'text': 'your dog to go to their mat right', 'start': 363.59, 'duration': 3.24}, {'text': ""afterwards so it's the same exact"", 'start': 364.88, 'duration': 3.33}, {'text': ""training you're just doing it with the"", 'start': 366.83, 'duration': 3.45}, {'text': 'doorbell this time if you have a', 'start': 368.21, 'duration': 3.99}, {'text': ""multiple dog household it's important to"", 'start': 370.28, 'duration': 3.78}, {'text': 'try practicing this behavior first with', 'start': 372.2, 'duration': 4.02}, {'text': 'each dog individually and then start', 'start': 374.06, 'duration': 3.54}, {'text': 'bringing them all together to try the', 'start': 376.22, 'duration': 3.84}, {'text': 'training together remember every dog', 'start': 377.6, 'duration': 4.92}, {'text': 'learns his or her own pace for more', 'start': 380.06, 'duration': 4.02}, {'text': 'information on how you can train your', 'start': 382.52, 'duration': 5.75}, {'text': 'dog go to vet Street comm', 'start': 384.08, 'duration': 4.19}]"
WYBe,i_EJXTlDk6Y,"[2, 7, 305]",
NJBe,ieY-ucEPhP0,[3],
LHBe,,"[0, 215, 611]",
m3Be,rrPbfPFXcgM,[41],
zBBe,x3GkAvsldx8,"[0, 1, 35, 85]",
aoBe,xFZt2mRLDCQ,[8],
SGBe,J5hMbblenJ4,"[126, 220, 276, 3243]",
dUBe,J7jm0V-73Ko,"[21, 23, 2783]",
H6Be,J7Uq61renDM,[12],
11Be,JApiyO-Q4Ks,"[0, 52, 70, 91, 578]",
6ZBe,JEqgqCVfcLs,"[0, 1, 1114]",
sUBe,JM0mEWYiIpE,"[2, 7, 90, 399, 415, 458, 566, 1420, 2006]","[{'text': 'just one look at this 1970 CUDA', 'start': 9.85, 'duration': 4.27}, {'text': ""convertible and you know it's special"", 'start': 12.71, 'duration': 3.9}, {'text': 'not rare special although it is', 'start': 14.12, 'duration': 5.1}, {'text': 'one-of-a-kind but cubic dollars special', 'start': 16.61, 'duration': 4.83}, {'text': 'looking through the receipts it appears', 'start': 19.22, 'duration': 3.3}, {'text': 'that it would take a three hundred', 'start': 21.44, 'duration': 3.06}, {'text': 'thousand dollar check to duplicate this', 'start': 22.52, 'duration': 4.349}, {'text': ""machine it's really no surprise that"", 'start': 24.5, 'duration': 4.11}, {'text': 'Sony chose this vehicle to be the', 'start': 26.869, 'duration': 3.451}, {'text': 'centerpiece of their corporate booth at', 'start': 28.61, 'duration': 4.469}, {'text': 'the SEMA Show yeah Sony they could have', 'start': 30.32, 'duration': 4.83}, {'text': 'any car in the world and they chose this', 'start': 33.079, 'duration': 4.711}, {'text': 'one it all started out innocently enough', 'start': 35.15, 'duration': 4.62}, {'text': 'but every panel was massaged and', 'start': 37.79, 'duration': 3.78}, {'text': ""customized to create a shape that's"", 'start': 39.77, 'duration': 3.81}, {'text': 'definitely CUDA but ever so slightly', 'start': 41.57, 'duration': 4.59}, {'text': 'different at the same time of course all', 'start': 43.58, 'duration': 4.32}, {'text': 'the trim was shaved including door', 'start': 46.16, 'duration': 3.93}, {'text': 'handles mirrors side marker lights and', 'start': 47.9, 'duration': 3.75}, {'text': 'anything else that would detract from', 'start': 50.09, 'duration': 4.38}, {'text': 'the clean glowing profile the pane is', 'start': 51.65, 'duration': 4.41}, {'text': 'straight out of the Ferrari catalog', 'start': 54.47, 'duration': 4.47}, {'text': 'finished in two-stage PPG urethane with', 'start': 56.06, 'duration': 4.8}, {'text': 'a lot of extra metallics and pearls', 'start': 58.94, 'duration': 3.21}, {'text': 'mixed in for good measure', 'start': 60.86, 'duration': 3.839}, {'text': 'to look good under the lights at SEMA it', 'start': 62.15, 'duration': 4.74}, {'text': 'has to be more than simply shiny this', 'start': 64.699, 'duration': 4.891}, {'text': 'one glows power for a machine like this', 'start': 66.89, 'duration': 4.979}, {'text': 'had to be amazing but just throwing in a', 'start': 69.59, 'duration': 4.199}, {'text': ""Hemi crate motor wasn't enough it"", 'start': 71.869, 'duration': 4.5}, {'text': 'started out as a 6.1 liter Hemi out of', 'start': 73.789, 'duration': 5.4}, {'text': 'the 2006 Chrysler but was torn down and', 'start': 76.369, 'duration': 5.13}, {'text': 'rebuilt with forged internals a few', 'start': 79.189, 'duration': 4.11}, {'text': 'different induction systems were tested', 'start': 81.499, 'duration': 3.991}, {'text': 'but ultimately they settled on a', 'start': 83.299, 'duration': 4.56}, {'text': 'polished Kenny Bell supercharger all', 'start': 85.49, 'duration': 4.049}, {'text': 'together and makes somewhere north of', 'start': 87.859, 'duration': 4.561}, {'text': '700 horsepower to the rear wheels custom', 'start': 89.539, 'duration': 4.951}, {'text': 'sheet metal panels were fabricated for', 'start': 92.42, 'duration': 3.649}, {'text': 'the inner fenders and radiator shroud', 'start': 94.49, 'duration': 3.93}, {'text': 'framing the engine like a piece of art', 'start': 96.069, 'duration': 4.991}, {'text': 'the installation is incredibly sanitary', 'start': 98.42, 'duration': 4.559}, {'text': ""and you'll definitely want to display"", 'start': 101.06, 'duration': 3.78}, {'text': 'this car with the hood open every chance', 'start': 102.979, 'duration': 4.28}, {'text': 'we get', 'start': 104.84, 'duration': 2.419}, {'text': 'if you think the body is art take a look', 'start': 152.93, 'duration': 4.3}, {'text': 'at the interior', 'start': 156.12, 'duration': 4.32}, {'text': ""inspired by the Aston Martin DBS it's a"", 'start': 157.23, 'duration': 5.16}, {'text': 'wash and sumptuous burnt orange leather', 'start': 160.44, 'duration': 3.93}, {'text': 'that sizzles against the Ferrari blue', 'start': 162.39, 'duration': 2.67}, {'text': 'paint', 'start': 164.37, 'duration': 2.61}, {'text': ""there isn't a stock component left in"", 'start': 165.06, 'duration': 4.08}, {'text': 'there from the grippy bucket seats to', 'start': 166.98, 'duration': 4.41}, {'text': 'the custom fabricated console to the', 'start': 169.14, 'duration': 4.5}, {'text': 'dash full of new Stewart Warner gauges', 'start': 171.39, 'duration': 5.34}, {'text': 'the entertainment system is of course by', 'start': 173.64, 'duration': 5.76}, {'text': 'Sony and features built-in navigation in', 'start': 176.73, 'duration': 4.77}, {'text': 'a back seat and trunk full of amplifiers', 'start': 179.4, 'duration': 5.21}, {'text': 'and subwoofers stunning in every regard', 'start': 181.5, 'duration': 5.67}, {'text': 'masterfully built and ready to compete', 'start': 184.61, 'duration': 5.59}, {'text': 'show drive and race this car takes no', 'start': 187.17, 'duration': 5.37}, {'text': ""prisoners is definitely the finest we've"", 'start': 190.2, 'duration': 4.32}, {'text': ""seen but that's only until the next guy"", 'start': 192.54, 'duration': 3.6}, {'text': 'steps up and spends hundreds of', 'start': 194.52, 'duration': 4.05}, {'text': 'thousands of dollars to build his for', 'start': 196.14, 'duration': 4.2}, {'text': 'more information on this incredible car', 'start': 198.57, 'duration': 5.01}, {'text': 'call click or visit arcade motor', 'start': 200.34, 'duration': 5.84}, {'text': 'Charlotte', 'start': 203.58, 'duration': 2.6}]"
bxBe,QlYycKmP_-Y,"[26, 62, 130, 259]",
LgBe,QnLXSIWWLrI,[12],
k1Be,PBeiq1nRuzU,[3],
DeBe,I6cCi3r_2eo,[310],
u0Be,SYZPBZ4NFl4,[15],
gPBe,0t_-O_VhIXM,"[0, 12]",
JkBe,-_J8RCrWfMA,[422],
NBBe,hmD90EmadiU,[511],"[{'text': 'hi this segment is about maintenance on', 'start': 4.1, 'duration': 5.53}, {'text': ""your water heater now there's a couple"", 'start': 7.679, 'duration': 3.75}, {'text': 'of valves that you need to be aware of', 'start': 9.63, 'duration': 3.36}, {'text': 'on water heater the first is the', 'start': 11.429, 'duration': 3.811}, {'text': ""pressure we do relief valve that's this"", 'start': 12.99, 'duration': 5.67}, {'text': 'one up here located either on the top of', 'start': 15.24, 'duration': 5.58}, {'text': ""the water heater sometimes they'll be on"", 'start': 18.66, 'duration': 6.24}, {'text': 'the side the purpose of these is to is', 'start': 20.82, 'duration': 5.519}, {'text': 'to prevent the water heater from', 'start': 24.9, 'duration': 3.509}, {'text': 'becoming a rocket so it needs to be able', 'start': 26.339, 'duration': 3.84}, {'text': 'to open up if you have an over', 'start': 28.409, 'duration': 4.021}, {'text': 'pressurization situation inside the', 'start': 30.179, 'duration': 4.981}, {'text': 'water heater these need to be exercised', 'start': 32.43, 'duration': 5.28}, {'text': 'the way you do that is you just go ahead', 'start': 35.16, 'duration': 4.92}, {'text': 'and grab this and this is kind of like', 'start': 37.71, 'duration': 4.47}, {'text': ""the manual shut off valves if it hasn't"", 'start': 40.08, 'duration': 4.23}, {'text': 'been turned in quite some time good', 'start': 42.18, 'duration': 4.32}, {'text': 'chance it may week so you need to do', 'start': 44.31, 'duration': 4.86}, {'text': 'this regularly but you go ahead you grab', 'start': 46.5, 'duration': 5.13}, {'text': 'this lever and you put that up you can', 'start': 49.17, 'duration': 3.75}, {'text': ""see you're going to have some drainage"", 'start': 51.63, 'duration': 4.44}, {'text': ""down below that's the way it should then"", 'start': 52.92, 'duration': 4.8}, {'text': 'you go ahead and release this now this', 'start': 56.07, 'duration': 4.08}, {'text': ""continues to leak you've been too long"", 'start': 57.72, 'duration': 4.71}, {'text': 'and you need to call a plumber to go', 'start': 60.15, 'duration': 6.03}, {'text': 'ahead and address the leak now this is', 'start': 62.43, 'duration': 6.859}, {'text': 'your tank drain valve right down here', 'start': 66.18, 'duration': 6.03}, {'text': 'you see this one over here now this tank', 'start': 69.289, 'duration': 5.771}, {'text': 'drain valve is going to allow you to', 'start': 72.21, 'duration': 4.949}, {'text': 'drink out the sludge and the dirt and', 'start': 75.06, 'duration': 5.129}, {'text': 'and the those sorts of material is', 'start': 77.159, 'duration': 6.38}, {'text': 'located in in your water heater again', 'start': 80.189, 'duration': 6.24}, {'text': 'these these valves need to be exercised', 'start': 83.539, 'duration': 5.801}, {'text': 'regularly go ahead and turn this on you', 'start': 86.429, 'duration': 5.881}, {'text': 'low few guards of water to drain and', 'start': 89.34, 'duration': 4.409}, {'text': 'upped and then you go ahead and reseal', 'start': 92.31, 'duration': 2.61}, {'text': ""that again you're going to want to watch"", 'start': 93.749, 'duration': 2.76}, {'text': 'that and make sure that it seals up', 'start': 94.92, 'duration': 3.96}, {'text': 'again both of these valves need to be', 'start': 96.509, 'duration': 5.6}, {'text': 'exercised regularly', 'start': 98.88, 'duration': 3.229}, {'text': 'you', 'start': 108.26, 'duration': 2.06}]"
MsBe,i-oP4csZptA,"[18, 59, 238, 668]",
BQBe,IeVheNyEbB4,[2289],
a8Be,JSM43pbQH4k,"[0, 1, 81]",
NdBe,,[8],
SuBe,JZl5dom67Os,"[0, 21, 23, 24, 3188]",
0kBe,JegZMbnjyMw,"[2, 83]",
yyBe,JfSgwyzY_ag,"[11, 20, 22, 29, 32, 112, 122, 370]",
ZLBe,0bSkujWaRVI,[451],
CnBe,0cJPIduV7To,[14],
uIBe,cBPrMW3CeV8,"[2, 7, 17, 128, 174, 361, 1549]",
YvBe,cOvywpWHDB8,[3],
BHBe,qEv8Bu2a17E,"[0, 523]","[{'text': 'all the tourists and suspended still', 'start': 0.55, 'duration': 4.59}, {'text': 'help urgent issue is resolved', 'start': 3.129, 'duration': 5.641}, {'text': 'BCCI describing the banner of Harbhajan', 'start': 5.14, 'duration': 6.33}, {'text': 'Singh as unfair and unacceptable the', 'start': 8.77, 'duration': 5.34}, {'text': 'BCCI on Monday confirmed that it will', 'start': 11.47, 'duration': 4.829}, {'text': 'appeal against the order and fie the 4th', 'start': 14.11, 'duration': 5.219}, {'text': 'star cast on its a spit out after a', 'start': 16.299, 'duration': 5.37}, {'text': 'meeting of its top office bearers the', 'start': 19.329, 'duration': 6.17}, {'text': 'BCCI says it will also request the ICC', 'start': 21.669, 'duration': 32.721}, {'text': 'order again this is', 'start': 25.499, 'duration': 28.891}, {'text': 'in a statement issued by the BCCI', 'start': 60.42, 'duration': 4.979}, {'text': 'a spinor Harbhajan Singh was suspended', 'start': 82.68, 'duration': 5.95}, {'text': 'on the 6th of January by the', 'start': 86.89, 'duration': 3.75}, {'text': 'International Cricket Council for three', 'start': 88.63, 'duration': 3.96}, {'text': 'tests after being found guilty of', 'start': 90.64, 'duration': 4.62}, {'text': 'racially abusing Australian all-rounder', 'start': 92.59, 'duration': 5.52}, {'text': 'Andrew Symonds during the second test in', 'start': 95.26, 'duration': 5.37}, {'text': 'Sydney the Indian team was due to travel', 'start': 98.11, 'duration': 4.77}, {'text': 'in Canberra on the seventh to prepare', 'start': 100.63, 'duration': 4.32}, {'text': 'for the next tour match but returned to', 'start': 102.88, 'duration': 3.87}, {'text': 'their hotel rooms after boarding their', 'start': 104.95, 'duration': 4.77}, {'text': 'bus Australia read the format series by', 'start': 106.75, 'duration': 8.15}, {'text': '2 0 Poornima with Raj Shah for Eni', 'start': 109.72, 'duration': 5.18}]"
drBe,8k_wYTWpTFg,[9],
gIBe,9k3-AWg0O-U,"[0, 1, 25, 124, 287]",
FZBe,B_OP4dhsDls,"[15, 18, 67, 2586]",
TeBe,,"[5, 16]",
T0Be,LfmRNv6NsXE,"[0, 1, 219, 968]",
