eEhu,tZ-IrAHKPw4,[25],
yAeq,YF3z9ft7ORI,"[0, 1, 36, 142]","[{'text': 'hey', 'start': 5.04, 'duration': 2.319}, {'text': 'when we get in the lobby we get in the', 'start': 5.44, 'duration': 4.079}, {'text': 'lobby with the mexican next time just', 'start': 7.359, 'duration': 10.561}, {'text': 'say that just play that', 'start': 9.519, 'duration': 8.401}, {'text': 'scanning for mexico', 'start': 19.84, 'duration': 26.0}, {'text': 'oh my god', 'start': 31.76, 'duration': 14.08}, {'text': 'i heard him say go catarando', 'start': 51.6, 'duration': 8.24}, {'text': 'i gotta put that on youtube', 'start': 61.039, 'duration': 15.76}, {'text': ""yo what's up um youtube well this is"", 'start': 73.84, 'duration': 5.04}, {'text': 'probably the killer approximate 105', 'start': 76.799, 'duration': 5.521}, {'text': 'and daddy dj and corey here', 'start': 78.88, 'duration': 6.8}, {'text': 'this is mostly well awh', 'start': 82.32, 'duration': 4.96}, {'text': ""and we're going to go into a search and"", 'start': 85.68, 'duration': 3.52}, {'text': 'destroy and see', 'start': 87.28, 'duration': 3.44}, {'text': 'well court here is going to be our', 'start': 89.2, 'duration': 3.12}, {'text': 'little test subject', 'start': 90.72, 'duration': 6.16}, {'text': ""say hi to the people cory no it's me"", 'start': 92.32, 'duration': 4.56}, {'text': ""all right well anyway we're going to go"", 'start': 97.84, 'duration': 3.52}, {'text': ""in and we're going to see what people"", 'start': 99.84, 'duration': 3.84}, {'text': 'reacting to when we say', 'start': 101.36, 'duration': 6.56}, {'text': 'um who here is good at suv', 'start': 103.68, 'duration': 4.24}, {'text': ""and we're all going to say before you're"", 'start': 108.159, 'duration': 3.681}, {'text': 'all good at fucking dick', 'start': 109.52, 'duration': 7.04}, {'text': ""so yeah let's see how to switch out dude"", 'start': 111.84, 'duration': 4.72}, {'text': ""i am i'm good yeah not really"", 'start': 117.84, 'duration': 6.48}, {'text': 'okay so you are good at fucking dick sir', 'start': 121.2, 'duration': 5.36}, {'text': 'yes', 'start': 124.32, 'duration': 2.24}, {'text': 'so good', 'start': 138.72, 'duration': 5.12}, {'text': 'hey ellsman', 'start': 145.04, 'duration': 2.88}, {'text': 'alex', 'start': 148.879, 'duration': 2.481}, {'text': 'hey rambo i remember', 'start': 152.64, 'duration': 5.2}, {'text': 'at sucking big', 'start': 169.04, 'duration': 2.8}, {'text': ""you're so funny"", 'start': 172.56, 'duration': 2.88}, {'text': 'money man', 'start': 181.12, 'duration': 4.72}, {'text': 'infections infection', 'start': 186.0, 'duration': 3.599}, {'text': 'infection', 'start': 192.8, 'duration': 2.56}, {'text': 'are you good at smd am i good at what', 'start': 196.159, 'duration': 8.401}, {'text': 's and smd yes i am', 'start': 200.319, 'duration': 6.56}, {'text': ""you're good"", 'start': 204.56, 'duration': 2.319}, {'text': 'yeah whoa that sounds like a personal', 'start': 207.76, 'duration': 7.36}, {'text': 'problem', 'start': 212.12, 'duration': 3.0}]"
kVeq,Q6ad2o0DmxQ,"[3, 675]",
SYeq,hfBJSG_yFAk,"[4, 9, 10, 2541]",
z3eq,hhkq_ohLHgw,"[11, 302, 625]",
g9eq,mjnsjZ1u1UY,"[66, 689, 1062]","[{'text': ""yeah Mario com I'm going to bring you a"", 'start': 7.66, 'duration': 5.55}, {'text': 'video preview today on the predator pro', 'start': 10.82, 'duration': 4.77}, {'text': 'Champions League this is a special', 'start': 13.21, 'duration': 5.08}, {'text': ""limited edition release it's not long"", 'start': 15.59, 'duration': 5.46}, {'text': 'been installed and first time today that', 'start': 18.29, 'duration': 6.0}, {'text': ""I've tried it on obviously we've been"", 'start': 21.05, 'duration': 5.729}, {'text': 'doing love video previews throughout the', 'start': 24.29, 'duration': 3.809}, {'text': ""day we've been trying different gloves"", 'start': 26.779, 'duration': 3.241}, {'text': 'on and the last video preview i did was', 'start': 28.099, 'duration': 5.581}, {'text': 'the creditor pro- car proxy went out and', 'start': 30.02, 'duration': 5.79}, {'text': 'got a pair of these from my warehouse up', 'start': 33.68, 'duration': 3.899}, {'text': 'went for the size seven and a half which', 'start': 35.81, 'duration': 4.62}, {'text': 'is what i did in the predator pro and i', 'start': 37.579, 'duration': 4.351}, {'text': 'could get my hand in them there was so', 'start': 40.43, 'duration': 4.74}, {'text': ""so tight he added that it's not the the"", 'start': 41.93, 'duration': 4.71}, {'text': ""glove measurements of I've done the"", 'start': 45.17, 'duration': 3.569}, {'text': 'measurements on the glove and this there', 'start': 46.64, 'duration': 3.899}, {'text': 'was no difference in the measurements in', 'start': 48.739, 'duration': 4.381}, {'text': 'the seven and a half in this glove', 'start': 50.539, 'duration': 4.261}, {'text': 'whether there was in the predator probe', 'start': 53.12, 'duration': 3.719}, {'text': 'but the issue was was getting the hand', 'start': 54.8, 'duration': 3.239}, {'text': ""in the glove what they've done with this"", 'start': 56.839, 'duration': 2.761}, {'text': ""glove it's got a special features so I"", 'start': 58.039, 'duration': 3.531}, {'text': 'pull a muscle lining in the glove and', 'start': 59.6, 'duration': 4.529}, {'text': ""it's quite a thick lining and you have"", 'start': 61.57, 'duration': 3.76}, {'text': 'to kind of get your hand into that', 'start': 64.129, 'duration': 3.901}, {'text': ""lining it's almost like a glove within a"", 'start': 65.33, 'duration': 5.34}, {'text': 'glove but to get your hand in is really', 'start': 68.03, 'duration': 4.59}, {'text': 'really tall order the entry was', 'start': 70.67, 'duration': 3.99}, {'text': 'particularly difficult which we had to', 'start': 72.62, 'duration': 3.87}, {'text': 'do off-camera Indians and I have a', 'start': 74.66, 'duration': 3.21}, {'text': 'cameraman how we get the gloves up', 'start': 76.49, 'duration': 2.79}, {'text': ""because i'm just so difficult to get"", 'start': 77.87, 'duration': 3.93}, {'text': 'them hat i well up to a size eight in', 'start': 79.28, 'duration': 4.35}, {'text': 'the end because the seven off I just', 'start': 81.8, 'duration': 3.21}, {'text': ""couldn't get in there and I almost went"", 'start': 83.63, 'duration': 3.39}, {'text': 'to an eight and a half but once I got', 'start': 85.01, 'duration': 3.75}, {'text': 'the eight heart fonder I found it too', 'start': 87.02, 'duration': 5.28}, {'text': ""big the the outfits me okay is it it's a"", 'start': 88.76, 'duration': 6.75}, {'text': 'little a little bit but enough nothing', 'start': 92.3, 'duration': 5.49}, {'text': ""major I can say it's a limited edition"", 'start': 95.51, 'duration': 4.47}, {'text': 'release with this kind of proof lining', 'start': 97.79, 'duration': 3.57}, {'text': ""going on in it it's supposed to be a"", 'start': 99.98, 'duration': 4.05}, {'text': 'hundred percent boards waterproof it is', 'start': 101.36, 'duration': 4.92}, {'text': 'on the palm side as well a bit very very', 'start': 104.03, 'duration': 4.08}, {'text': 'interesting though how this is max play', 'start': 106.28, 'duration': 4.32}, {'text': 'whether once the latex becomes wet and', 'start': 108.11, 'duration': 4.95}, {'text': 'absorbs the water whether that transfers', 'start': 110.6, 'duration': 4.89}, {'text': ""to the skin and the hand as well i'm not"", 'start': 113.06, 'duration': 5.37}, {'text': 'sure if it will be very interesting', 'start': 115.49, 'duration': 5.19}, {'text': ""though so once you've used it i'd love"", 'start': 118.43, 'duration': 4.62}, {'text': 'to get your feedback martin and great', 'start': 120.68, 'duration': 5.07}, {'text': 'Arthas 8.com if you do use this club if', 'start': 123.05, 'duration': 4.11}, {'text': 'you purchase it from great a book or', 'start': 125.75, 'duration': 3.66}, {'text': 'anywhere else be very very intrigued to', 'start': 127.16, 'duration': 4.35}, {'text': ""know it's a it's an interesting cut on"", 'start': 129.41, 'duration': 4.56}, {'text': ""the glove as well what they've done is I"", 'start': 131.51, 'duration': 3.99}, {'text': 'have to take a glove off to show you', 'start': 133.97, 'duration': 2.44}, {'text': 'that and', 'start': 135.5, 'duration': 2.62}, {'text': ""it's just to get a bit of a no ideas"", 'start': 136.41, 'duration': 3.38}, {'text': ""i'll do that in the end of the video"", 'start': 138.12, 'duration': 4.53}, {'text': ""let's gone to the latex it's a special"", 'start': 139.79, 'duration': 5.23}, {'text': ""edition latex then they've got from"", 'start': 142.65, 'duration': 4.41}, {'text': ""their latex manufacturer it's a full"", 'start': 145.02, 'duration': 4.47}, {'text': 'meal foam which 3.5 parts of the bakit', 'start': 147.06, 'duration': 4.65}, {'text': ""this is a very very tacky foam it's a"", 'start': 149.49, 'duration': 5.37}, {'text': 'wet weather foam been touching the ball', 'start': 151.71, 'duration': 5.37}, {'text': 'with it off camera just to kind see what', 'start': 154.86, 'duration': 4.11}, {'text': 'your favor like it does it does feel', 'start': 157.08, 'duration': 5.01}, {'text': ""physical takia once it's wet I'm sure it"", 'start': 158.97, 'duration': 5.31}, {'text': 'might become even better I might even', 'start': 162.09, 'duration': 3.66}, {'text': 'get a bit of always a challenge it and', 'start': 164.28, 'duration': 4.47}, {'text': 'just try on and with the glove and just', 'start': 165.75, 'duration': 4.83}, {'text': ""to see how tacky that is so we're just"", 'start': 168.75, 'duration': 4.2}, {'text': 'going to grab some water just kind of', 'start': 170.58, 'duration': 6.69}, {'text': 'get some water other part now to see if', 'start': 172.95, 'duration': 5.91}, {'text': 'we give a bit tacky to see how it does', 'start': 177.27, 'duration': 3.75}, {'text': 'but water on there we prepare the board', 'start': 178.86, 'duration': 3.99}, {'text': 'is a little EG almost run off the glove', 'start': 181.02, 'duration': 4.17}, {'text': 'is I think I almost need a good supper', 'start': 182.85, 'duration': 4.2}, {'text': 'you can hear the tackiness there there', 'start': 185.19, 'duration': 4.05}, {'text': 'are bit more tacking it there for sure', 'start': 187.05, 'duration': 5.46}, {'text': 'yes there is no doubt power so good', 'start': 189.24, 'duration': 4.71}, {'text': 'pre-wash to get into common life and', 'start': 192.51, 'duration': 3.3}, {'text': 'there are chemicals in the foam that do', 'start': 193.95, 'duration': 5.16}, {'text': 'react to them being wet but yeah like a', 'start': 195.81, 'duration': 5.31}, {'text': ""site is so it's an interesting glove"", 'start': 199.11, 'duration': 3.599}, {'text': ""it's got the rap / thumb on it against"", 'start': 201.12, 'duration': 3.72}, {'text': ""it it's got a nice fitting nice fitting"", 'start': 202.709, 'duration': 4.891}, {'text': ""thumb on it whole life it's back and got"", 'start': 204.84, 'duration': 4.8}, {'text': 'this special graphic that they use on', 'start': 207.6, 'duration': 3.63}, {'text': 'the cross it which is time of the', 'start': 209.64, 'duration': 3.48}, {'text': ""Champions League football you've also"", 'start': 211.23, 'duration': 4.2}, {'text': 'got the champ easily Brandon on on the', 'start': 213.12, 'duration': 4.68}, {'text': ""wrist wrap as well again you've got in"", 'start': 215.43, 'duration': 4.89}, {'text': 'the neoprene closure but what it does', 'start': 217.8, 'duration': 3.99}, {'text': ""they've obviously put this this lining"", 'start': 220.32, 'duration': 4.889}, {'text': 'in it as well my hands are particularly', 'start': 221.79, 'duration': 5.43}, {'text': 'hot already just from being inside the', 'start': 225.209, 'duration': 5.28}, {'text': 'glove but what we do is we show you how', 'start': 227.22, 'duration': 5.489}, {'text': 'closer the cup that wanted to speak to', 'start': 230.489, 'duration': 3.481}, {'text': 'you about just to give you a little bit', 'start': 232.709, 'duration': 3.721}, {'text': ""idea on the cup it's a flat cup but it's"", 'start': 233.97, 'duration': 6.36}, {'text': 'got a latex gusset but the top of the', 'start': 236.43, 'duration': 6.96}, {'text': 'latest gusset is inseam and not this', 'start': 240.33, 'duration': 5.7}, {'text': ""piece of latex on top it's just stitched"", 'start': 243.39, 'duration': 4.86}, {'text': 'on top so it sticks from the bottom', 'start': 246.03, 'duration': 4.92}, {'text': ""there and it's inseam on the top which"", 'start': 248.25, 'duration': 4.62}, {'text': 'is giving it a very snug fit often', 'start': 250.95, 'duration': 3.3}, {'text': ""that's why it's particularly tight"", 'start': 252.87, 'duration': 3.51}, {'text': 'fitting for a flat pal I notice it was', 'start': 254.25, 'duration': 5.4}, {'text': ""really really tight and you can see I've"", 'start': 256.38, 'duration': 4.77}, {'text': 'type the closure is therefore that', 'start': 259.65, 'duration': 3.12}, {'text': ""there's almost it's almost a fleece"", 'start': 261.15, 'duration': 3.93}, {'text': 'material this so you really need some', 'start': 262.77, 'duration': 4.709}, {'text': 'work in and that definitely need a team', 'start': 265.08, 'duration': 3.78}, {'text': ""out how we put these on I'm not going to"", 'start': 267.479, 'duration': 1.741}, {'text': 'put ago', 'start': 268.86, 'duration': 2.34}, {'text': ""back on now you're going to need to make"", 'start': 269.22, 'duration': 4.08}, {'text': ""it get these gloves on I've gone from my"", 'start': 271.2, 'duration': 4.38}, {'text': 'seven and a half I said in the predator', 'start': 273.3, 'duration': 3.72}, {'text': 'pro to a size 8 in this to get the', 'start': 275.58, 'duration': 3.38}, {'text': ""perfect fit if you've got a wide wrist"", 'start': 277.02, 'duration': 4.44}, {'text': 'you would you might even want to go home', 'start': 278.96, 'duration': 4.51}, {'text': ""sighs but if you're any more questions"", 'start': 281.46, 'duration': 4.23}, {'text': 'you can fire them across to our customer', 'start': 283.47, 'duration': 4.74}, {'text': 'service team near crater calm which is', 'start': 285.69, 'duration': 7.13}, {'text': 'info a great height and safe com', 'start': 288.21, 'duration': 4.61}]"
jyeq,D1tuNiHhx1M,"[2, 44, 46, 107, 109, 114, 138, 145, 155, 162, 1162]",
N9eq,Yk801KiwesM,[6],
jNeq,Ym2GvyQvcTc,[8],
6zeq,ogomMTT1Psc,"[0, 241]",
Tyeq,kOqxmjBuR3A,"[16, 289]",
3deq,kQjuTBhTr-U,[3],
gweq,cxZmWDuUPAg,"[2, 218, 1805, 3274]","[{'text': ""hi there it's Reggie Roo here what's"", 'start': 4.67, 'duration': 8.41}, {'text': 'tall red and has big wheels that go', 'start': 8.37, 'duration': 7.95}, {'text': ""round and round it's a big red"", 'start': 13.08, 'duration': 6.51}, {'text': 'double-decker bus of course can you see', 'start': 16.32, 'duration': 6.629}, {'text': ""the big red bus it's arriving at a bus"", 'start': 19.59, 'duration': 7.04}, {'text': 'stop the passengers get up onto the bus', 'start': 22.949, 'duration': 8.281}, {'text': 'do you sometimes catch the bus in a way', 'start': 26.63, 'duration': 6.94}, {'text': 'it goes down the street and past the', 'start': 31.23, 'duration': 7.739}, {'text': 'cars along the way the bus stops again', 'start': 33.57, 'duration': 8.489}, {'text': 'and again picking people up and dropping', 'start': 38.969, 'duration': 8.631}, {'text': 'people off through the street continues', 'start': 42.059, 'duration': 5.541}, {'text': ""isn't it busy today"", 'start': 48.69, 'duration': 3.57}, {'text': 'over the canal it goes and under the big', 'start': 53.35, 'duration': 10.45}, {'text': 'blue bridge the driver has to watch out', 'start': 56.42, 'duration': 10.08}, {'text': 'for cars and bikes on the road at the', 'start': 63.8, 'duration': 5.01}, {'text': 'back the bus conductor collects the', 'start': 66.5, 'duration': 5.149}, {'text': 'passengers tickets', 'start': 68.81, 'duration': 2.839}, {'text': 'over the river the bus goes past a group', 'start': 71.93, 'duration': 9.67}, {'text': 'of people on kayaks can you see the two', 'start': 75.21, 'duration': 9.6}, {'text': ""levels on the bus it's almost as tall as"", 'start': 81.6, 'duration': 8.129}, {'text': 'a building and you can ride on the top', 'start': 84.81, 'duration': 10.199}, {'text': ""deck too that's why it's called a"", 'start': 89.729, 'duration': 9.84}, {'text': 'double-decker bus this bus goes past', 'start': 95.009, 'duration': 12.691}, {'text': 'Westminster Abbey Big Ben and even Tower', 'start': 99.569, 'duration': 11.701}, {'text': 'Bridge which is sometimes called London', 'start': 107.7, 'duration': 8.129}, {'text': ""Bridge by mistake wouldn't it be fun to"", 'start': 111.27, 'duration': 7.459}, {'text': 'ride on a double-decker bus', 'start': 115.829, 'duration': 5.9}, {'text': 'hooroo', 'start': 118.729, 'duration': 3.0}, {'text': 'to see more things that go click on the', 'start': 123.26, 'duration': 5.82}, {'text': ""videos above and don't forget to"", 'start': 125.93, 'duration': 5.3}, {'text': 'subscribe', 'start': 129.08, 'duration': 2.15}]"
yPeq,_H67n9U1WPQ,"[0, 1, 1326, 1544]",
e7eq,_Hzk8Nq7U1s,"[2, 218]",
Sreq,_K-x2vdSG4I,"[160, 273]",
d2eq,kjxxvRNx0OM,"[62, 701, 1267]",
M8eq,L7VOBnxAssc,"[15, 18, 170, 314]",
YVeq,,"[12, 195]",
Dzeq,XJH1AsGFMkk,"[28, 33, 38, 78, 86]",
55eq,15spvWhF2Tk,"[0, 714]",
zWeq,17FTzifTjqw,"[3, 6]",
fxeq,1Axm1VBP4Xw,"[72, 98]",
fqeq,PkTgPNyDKos,"[28, 33, 38, 78, 86, 3192]",
9oeq,PpkIW6xqFJQ,"[0, 1, 387]","[{'text': ""what's up guys is zinc see better than"", 'start': 6.83, 'duration': 4.33}, {'text': 'the VP gazetteer doing it destiny', 'start': 9.3, 'duration': 3.93}, {'text': 'nightfall loot video and I did not get', 'start': 11.16, 'duration': 3.269}, {'text': 'the destiny and I followed video out', 'start': 13.23, 'duration': 3.42}, {'text': 'last week of an eagle but I did get the', 'start': 14.429, 'duration': 4.261}, {'text': 'clips to of all three characters getting', 'start': 16.65, 'duration': 3.629}, {'text': ""nightfall Lutz so I'm we're just gonna"", 'start': 18.69, 'duration': 2.7}, {'text': 'throw them all into one video with the', 'start': 20.279, 'duration': 2.49}, {'text': 'Archon praise so we can have six', 'start': 21.39, 'duration': 3.87}, {'text': ""different loot rewards so uh that's"", 'start': 22.769, 'duration': 3.6}, {'text': 'pretty cool but first things first can', 'start': 25.26, 'duration': 2.58}, {'text': 'we please reach 30 likes on this video', 'start': 26.369, 'duration': 3.42}, {'text': 'to help me up so much and also subscribe', 'start': 27.84, 'duration': 4.019}, {'text': ""for more destiny content and let's get"", 'start': 29.789, 'duration': 4.02}, {'text': 'straight into the video so which killed', 'start': 31.859, 'duration': 3.72}, {'text': 'the Omni go pretty fast right here on', 'start': 33.809, 'duration': 3.961}, {'text': 'with all the oldest burn I like the idea', 'start': 35.579, 'duration': 4.291}, {'text': 'of all the auburn I mean he kept it for', 'start': 37.77, 'duration': 3.33}, {'text': 'an eagle and now they have it for our', 'start': 39.87, 'duration': 3.869}, {'text': 'town priest again oh man if they keep', 'start': 41.1, 'duration': 3.72}, {'text': 'this for awhile it can be really easy', 'start': 43.739, 'duration': 3.331}, {'text': 'and really fun to do the night falls but', 'start': 44.82, 'duration': 3.54}, {'text': 'like so we killed it pretty fast my', 'start': 47.07, 'duration': 4.169}, {'text': 'first lieut was on it was interesting it', 'start': 48.36, 'duration': 4.859}, {'text': ""was alright it wasn't the best ended up"", 'start': 51.239, 'duration': 3.84}, {'text': 'getting the legendary and grim and my', 'start': 53.219, 'duration': 3.301}, {'text': 'friend ended up getting the final rest', 'start': 55.079, 'duration': 3.75}, {'text': ""too I've seen those being rewarded a lot"", 'start': 56.52, 'duration': 3.629}, {'text': ""in nightfall so that's nothing really"", 'start': 58.829, 'duration': 2.941}, {'text': ""special but still good you know it's a"", 'start': 60.149, 'duration': 4.29}, {'text': 'fusion rifle legendary Ingram I was into', 'start': 61.77, 'duration': 4.77}, {'text': ""too mad about but it's still still rough"", 'start': 64.439, 'duration': 3.511}, {'text': 'that I got that out of the nightfall do', 'start': 66.54, 'duration': 3.509}, {'text': 'and right here I going is my hunter with', 'start': 67.95, 'duration': 4.02}, {'text': ""the Blade Dancer and take out on you'll"", 'start': 70.049, 'duration': 4.261}, {'text': 'and once again another really fast kill', 'start': 71.97, 'duration': 5.25}, {'text': ""against her this round I don't remember"", 'start': 74.31, 'duration': 4.559}, {'text': 'what I got from a hunter I think this is', 'start': 77.22, 'duration': 4.35}, {'text': 'either the bad one or a good one good', 'start': 78.869, 'duration': 5.911}, {'text': ""loot I think yes I think it's like"", 'start': 81.57, 'duration': 5.27}, {'text': ""machining then again let's see here"", 'start': 84.78, 'duration': 5.67}, {'text': 'right about now yep i ended up getting', 'start': 86.84, 'duration': 7.209}, {'text': ""it I think it's mg let's see here mg 18a"", 'start': 90.45, 'duration': 6.059}, {'text': ""harm's way DLC gone it's the new"", 'start': 94.049, 'duration': 3.93}, {'text': ""vanguard light machine gun it's really"", 'start': 96.509, 'duration': 3.0}, {'text': 'really good a friend that ended up', 'start': 97.979, 'duration': 3.061}, {'text': 'getting the shotgun and then another', 'start': 99.509, 'duration': 2.731}, {'text': 'friday night of getting a legendary and', 'start': 101.04, 'duration': 2.579}, {'text': ""cram too so it's pretty rough this week"", 'start': 102.24, 'duration': 2.58}, {'text': ""with the legendary anger i'm just"", 'start': 103.619, 'duration': 2.46}, {'text': 'getting those rewarding instead of an', 'start': 104.82, 'duration': 3.99}, {'text': 'actual weapon or a piece of gear on this', 'start': 106.079, 'duration': 4.441}, {'text': 'last run right here as my warlock i', 'start': 108.81, 'duration': 3.48}, {'text': 'think i am yeah i think in my warlock', 'start': 110.52, 'duration': 4.02}, {'text': 'and wind it up killing her again really', 'start': 112.29, 'duration': 5.07}, {'text': 'really fast and no no I was my tight', 'start': 114.54, 'duration': 5.07}, {'text': 'naturally my bad but anyways my titan', 'start': 117.36, 'duration': 4.079}, {'text': 'loot is the best loot of the week we', 'start': 119.61, 'duration': 3.48}, {'text': 'needed a finally getting an exotic and', 'start': 121.439, 'duration': 3.841}, {'text': 'that is the plane see and then my friend', 'start': 123.09, 'duration': 4.77}, {'text': 'help getting ascended shards and then', 'start': 125.28, 'duration': 4.44}, {'text': 'strange coins so really rough week for', 'start': 127.86, 'duration': 2.72}, {'text': 'them', 'start': 129.72, 'duration': 3.02}, {'text': 'um it was not right week for me I do', 'start': 130.58, 'duration': 3.51}, {'text': 'like the idea of that exotic ray at the', 'start': 132.74, 'duration': 3.21}, {'text': ""end you know it's two point oh fancy and"", 'start': 134.09, 'duration': 3.51}, {'text': ""it was really good right here I'm just"", 'start': 135.95, 'duration': 2.94}, {'text': 'kind of sitting underneath this platform', 'start': 137.6, 'duration': 2.79}, {'text': ""if you guys don't know how to get under"", 'start': 138.89, 'duration': 3.09}, {'text': 'here I can always put up a video for you', 'start': 140.39, 'duration': 2.97}, {'text': ""guys but it's kind of been around for a"", 'start': 141.98, 'duration': 3.18}, {'text': 'while and you can already searched', 'start': 143.36, 'duration': 3.27}, {'text': ""YouTube and there's already videos on it"", 'start': 145.16, 'duration': 3.39}, {'text': 'so hope you guys want me to put up a', 'start': 146.63, 'duration': 3.72}, {'text': 'tutorial on it i will do that the first', 'start': 148.55, 'duration': 2.82}, {'text': 'week salute for this one is actually', 'start': 150.35, 'duration': 2.55}, {'text': ""really really good there's two exotics"", 'start': 151.37, 'duration': 3.21}, {'text': ""right off the bat there's the helm of"", 'start': 152.9, 'duration': 4.11}, {'text': 'st. 14 and I got the lucky raspberry and', 'start': 154.58, 'duration': 3.81}, {'text': 'then my friend got the time on target', 'start': 157.01, 'duration': 4.59}, {'text': 'pulls rifle so good start to the knife', 'start': 158.39, 'duration': 5.01}, {'text': 'all for this week I mean to exotics', 'start': 161.6, 'duration': 3.39}, {'text': ""right off the bat that's really lucky"", 'start': 163.4, 'duration': 3.9}, {'text': 'you either got to keep that lug going or', 'start': 164.99, 'duration': 4.65}, {'text': ""it's just gonna go go away so I got the"", 'start': 167.3, 'duration': 4.29}, {'text': 'lucky raspberry which is an ok hunter', 'start': 169.64, 'duration': 4.08}, {'text': ""chest piece it's meant for the blade"", 'start': 171.59, 'duration': 4.65}, {'text': ""answer and I don't know i think i might"", 'start': 173.72, 'duration': 4.02}, {'text': ""try and level it up i'm not too sure and"", 'start': 176.24, 'duration': 3.75}, {'text': 'then right here I actually kept the clip', 'start': 177.74, 'duration': 3.87}, {'text': 'of us killing him because we killed him', 'start': 179.99, 'duration': 3.45}, {'text': 'so fast right here I had myself', 'start': 181.61, 'duration': 3.12}, {'text': 'underneath here again in the platform', 'start': 183.44, 'duration': 2.91}, {'text': 'and then two other friends were up high', 'start': 184.73, 'duration': 2.91}, {'text': ""and I was shooting with the he's"", 'start': 186.35, 'duration': 3.18}, {'text': ""inventions fully upgraded and they're"", 'start': 187.64, 'duration': 3.24}, {'text': 'shooting with the gala horns fully', 'start': 189.53, 'duration': 3.99}, {'text': 'upgraded and it was some crazy stuff we', 'start': 190.88, 'duration': 4.139}, {'text': 'killed him so fast right here see we', 'start': 193.52, 'duration': 2.91}, {'text': 'ended up taking his health down all the', 'start': 195.019, 'duration': 4.111}, {'text': 'way to zero and then it rejected quarter', 'start': 196.43, 'duration': 4.23}, {'text': 'health and then we just take him down', 'start': 199.13, 'duration': 4.71}, {'text': ""again and he's just dead so yeah if you"", 'start': 200.66, 'duration': 4.5}, {'text': 'guys just get into a good position for', 'start': 203.84, 'duration': 3.119}, {'text': 'the Archon priest it can be a very easy', 'start': 205.16, 'duration': 3.66}, {'text': 'strike people seem to overestimate this', 'start': 206.959, 'duration': 3.81}, {'text': 'strike and how hard it is you should', 'start': 208.82, 'duration': 3.09}, {'text': ""have to be careful make sure you don't"", 'start': 210.769, 'duration': 3.301}, {'text': 'die in the waves beforehand like three', 'start': 211.91, 'duration': 3.6}, {'text': 'waves when you have the hydras and', 'start': 214.07, 'duration': 3.66}, {'text': 'everything those can be a pain but this', 'start': 215.51, 'duration': 5.28}, {'text': ""one this one wasn't a good real hard I'm"", 'start': 217.73, 'duration': 5.46}, {'text': 'offended God as Senate materials and', 'start': 220.79, 'duration': 4.02}, {'text': 'then our other friend got a rocket', 'start': 223.19, 'duration': 2.91}, {'text': ""launcher that's not even a good rocket"", 'start': 224.81, 'duration': 2.94}, {'text': 'launcher you got the cure which is', 'start': 226.1, 'duration': 3.57}, {'text': 'future war cult rocket launcher and it', 'start': 227.75, 'duration': 4.65}, {'text': 'only holds one um one rocket per', 'start': 229.67, 'duration': 4.86}, {'text': ""magazine it's less not too good right"", 'start': 232.4, 'duration': 4.95}, {'text': 'here our second try against X or I ended', 'start': 234.53, 'duration': 4.44}, {'text': 'up staying under here once again and', 'start': 237.35, 'duration': 2.82}, {'text': 'just taking him down with my supremacy', 'start': 238.97, 'duration': 2.64}, {'text': ""sniper rifle if you don't know what the"", 'start': 240.17, 'duration': 3.18}, {'text': 'supremacy sniper rifle is it looks', 'start': 241.61, 'duration': 3.0}, {'text': 'different you know you never seen thats', 'start': 243.35, 'duration': 3.449}, {'text': 'not good for it was from Queens wrath a', 'start': 244.61, 'duration': 3.87}, {'text': 'long time ago when that came out i think', 'start': 246.799, 'duration': 4.141}, {'text': 'that was like in the first month of when', 'start': 248.48, 'duration': 4.71}, {'text': 'destiny came out but i ended up getting', 'start': 250.94, 'duration': 5.28}, {'text': 'the coiled hiss 1919 which i already', 'start': 253.19, 'duration': 5.58}, {'text': 'gotten from a night ball before so that', 'start': 256.22, 'duration': 4.05}, {'text': 'was kind of another slap in the face and', 'start': 258.77, 'duration': 2.969}, {'text': ""it's another pulse rifle i don't know"", 'start': 260.27, 'duration': 2.619}, {'text': ""what's up with it they always"", 'start': 261.739, 'duration': 3.161}, {'text': 'give me pulse rifles or sending', 'start': 262.889, 'duration': 3.81}, {'text': 'materials and then my other friend and', 'start': 264.9, 'duration': 4.079}, {'text': 'can you send materials and then strange', 'start': 266.699, 'duration': 3.78}, {'text': ""coins the strange coins I don't mind the"", 'start': 268.979, 'duration': 2.55}, {'text': 'sender charge that must have really', 'start': 270.479, 'duration': 3.361}, {'text': ""sucked for him that's all for this"", 'start': 271.529, 'duration': 3.811}, {'text': ""week's an iphone loot guys thank you so"", 'start': 273.84, 'duration': 3.299}, {'text': 'much for watching please can like', 'start': 275.34, 'duration': 3.479}, {'text': 'subscribe and smash that like button for', 'start': 277.139, 'duration': 3.631}, {'text': 'some good nightfall loot hopefully you', 'start': 278.819, 'duration': 3.451}, {'text': 'guys get some exotics in the future', 'start': 280.77, 'duration': 3.209}, {'text': 'thanks for watching guys see you in the', 'start': 282.27, 'duration': 4.19}, {'text': 'next video', 'start': 283.979, 'duration': 2.481}]"
D3eq,CGAyNMVPYsg,"[0, 1, 35, 85]",
