Bjma,NFd1VBYIEM4,[7],
subQ,XCO5w8RMGKk,[49],
CSbQ,KcOED5hPfwA,"[0, 1, 35, 285, 2792]",
PjbQ,p4UpggtDd74,[8],
FlbQ,p9iwEL3LdK8,"[28, 33, 38, 78, 86]",
3rbQ,pEK6DLNeJxA,"[18, 59, 238, 274, 366, 668]",
DdbQ,F5BysmIhuwg,"[2, 45, 137]",
UsbQ,F6QtNMhbDTY,"[2, 95, 135, 297, 427, 742]",
UDbQ,ApydWoRZ1qc,[341],
dgbQ,AvkYBsbCna4,"[2, 61, 75]",
uybQ,B-tlryYh4kk,[442],
OMbQ,B1Thwe6hDjA,"[0, 1, 5, 2078, 2829]",
yIbQ,GEdnUAYDmYU,"[4, 13, 41]",
EObQ,yPhRr1ruFDw,"[6, 41, 1027]",
gWbQ,yQW-vC4bD4k,"[0, 93, 102, 449]",
mmbQ,yTDGO6gPpo8,"[4, 9, 10, 97]",
DGbQ,NX11-xOFkvI,[3],
v5bQ,S4W_BdiHLU4,"[0, 1, 36, 132, 142, 192, 331]","[{'text': ""stars are pretty sure it don't ya okay"", 'start': 0.0, 'duration': 5.06}, {'text': 'okay the fuck up bitch the fuck is', 'start': 5.18, 'duration': 7.3}, {'text': ""talking I'll kick their ass do it do it"", 'start': 7.98, 'duration': 7.23}, {'text': 'come on the wall up from the 23 17 north', 'start': 12.48, 'duration': 6.0}, {'text': 'a 36 37 3507 I will blow your fucking', 'start': 15.21, 'duration': 5.069}, {'text': 'head off you fucking fag you live right', 'start': 18.48, 'duration': 5.459}, {'text': ""go to me um okay play me ugly don't play"", 'start': 20.279, 'duration': 7.01}, {'text': 'me for dummy dumb shit you are though', 'start': 23.939, 'duration': 7.021}, {'text': ""come on watch the video proof there's"", 'start': 27.289, 'duration': 7.751}, {'text': 'proof in the video oh my god how to', 'start': 30.96, 'duration': 9.349}, {'text': 'begin vacation of you high-pitched voice', 'start': 35.04, 'duration': 12.15}, {'text': 'is so bad Andy oh my god my feelings are', 'start': 40.309, 'duration': 10.781}, {'text': ""hurt but more be 16 ya pussy you're a"", 'start': 47.19, 'duration': 5.459}, {'text': ""fucking pussy kickers you're a fucking"", 'start': 51.09, 'duration': 3.26}, {'text': 'nigger your fucking black Cooney bitch', 'start': 52.649, 'duration': 4.471}, {'text': ""you've never gonna go for kid your crash"", 'start': 54.35, 'duration': 7.509}, {'text': 'to go before I go you never gotten', 'start': 57.12, 'duration': 6.419}, {'text': ""heavier Kendrick game you've never"", 'start': 61.859, 'duration': 10.921}, {'text': 'gotten busy your dad flex light', 'start': 63.539, 'duration': 13.741}, {'text': ""flashlight fleshly it's late is not"", 'start': 72.78, 'duration': 9.51}, {'text': 'pussy a much lighter plastic pussy no', 'start': 77.28, 'duration': 8.54}, {'text': ""it's plastic what we good kids our"", 'start': 82.29, 'duration': 11.399}, {'text': ""coping it's plastic yeah I'm quite"", 'start': 85.82, 'duration': 13.29}, {'text': ""positive that it's plastic hey hey kid"", 'start': 93.689, 'duration': 10.89}, {'text': 'start doing a 360 are you are you', 'start': 99.11, 'duration': 7.21}, {'text': 'talking to me are you talking to me on', 'start': 104.579, 'duration': 8.33}, {'text': ""big 10 your fucking trash I'm not a kid"", 'start': 106.32, 'duration': 9.659}, {'text': 'did it do with them remember referring', 'start': 112.909, 'duration': 6.75}, {'text': ""to me if you're referring to me then uh"", 'start': 115.979, 'duration': 5.85}, {'text': ""you've got the wrong person because I'm"", 'start': 119.659, 'duration': 4.121}, {'text': 'not your fucking squeaker ear squeaker', 'start': 121.829, 'duration': 5.4}, {'text': 'kid okay so my breakfast all right take', 'start': 123.78, 'duration': 5.91}, {'text': ""your pretty little office no you're not"", 'start': 127.229, 'duration': 5.441}, {'text': 'because you you you have like', 'start': 129.69, 'duration': 7.12}, {'text': ""I've invoice you're ugly you're fat too"", 'start': 132.67, 'duration': 5.46}, {'text': ""and they don't forget you get your"", 'start': 136.81, 'duration': 3.81}, {'text': 'information from are you getting your', 'start': 138.13, 'duration': 4.14}, {'text': ""information from I've never meant you're"", 'start': 140.62, 'duration': 4.589}, {'text': 'just bad can I mean Jesus where are you', 'start': 142.27, 'duration': 6.86}, {'text': 'getting your information from my mom and', 'start': 145.209, 'duration': 6.451}, {'text': ""my mom you've never met my mom either so"", 'start': 149.13, 'duration': 4.359}, {'text': ""how would you get there's a half from I"", 'start': 151.66, 'duration': 5.04}, {'text': ""killed her I killed her mom's do it"", 'start': 153.489, 'duration': 5.851}, {'text': ""right now mom are you dead no she's not"", 'start': 156.7, 'duration': 9.93}, {'text': 'dead get her on the mic put your mom on', 'start': 159.34, 'duration': 10.38}, {'text': ""the mic now she's busy wrapping she's"", 'start': 166.63, 'duration': 4.47}, {'text': ""busy wrapping presents because it's"", 'start': 169.72, 'duration': 5.91}, {'text': 'Christmas hey olan right oh right oh', 'start': 171.1, 'duration': 5.73}, {'text': ""hold on don't kill me don't kill me"", 'start': 175.63, 'duration': 7.079}, {'text': 'absolutely 360 360 each other are you', 'start': 176.83, 'duration': 8.219}, {'text': ""sure that's I'm the sexual innuendo 316"", 'start': 182.709, 'duration': 13.491}, {'text': 'someone abrecan sexual innuendo yeah yes', 'start': 185.049, 'duration': 18.75}, {'text': 'weaker your squeaker kid tweakers are', 'start': 196.2, 'duration': 10.24}, {'text': 'you talking to now I can never tell you', 'start': 203.799, 'duration': 4.41}, {'text': 'have everyone names for people but the', 'start': 206.44, 'duration': 3.299}, {'text': 'thing is that you have the same', 'start': 208.209, 'duration': 3.0}, {'text': 'nicknames for everyone so I can never', 'start': 209.739, 'duration': 8.791}, {'text': 'know really oh okay oh my god this is a', 'start': 211.209, 'duration': 15.75}, {'text': 'hard scope in 8316 your your dick is', 'start': 218.53, 'duration': 14.36}, {'text': 'little your dick is little I manasi oh', 'start': 226.959, 'duration': 12.391}, {'text': ""send your job thank you my naked you're"", 'start': 232.89, 'duration': 15.879}, {'text': 'gonna jack off to it hey Rhino you a 360', 'start': 239.35, 'duration': 13.05}, {'text': ""okay instead it's going to send you a"", 'start': 248.769, 'duration': 5.731}, {'text': ""picture of his penis and you're going to"", 'start': 252.4, 'duration': 6.389}, {'text': 'speak for yourself to that image I wish', 'start': 254.5, 'duration': 7.14}, {'text': 'you send me a picture of his dick so', 'start': 258.789, 'duration': 6.12}, {'text': 'that you can pleasure yourself nice get', 'start': 261.64, 'duration': 3.91}, {'text': 'out', 'start': 264.909, 'duration': 4.361}, {'text': ""he's spectating we talking about shut up"", 'start': 265.55, 'duration': 9.2}, {'text': 'fat fabulous you read have been your fat', 'start': 269.27, 'duration': 9.57}, {'text': '36 feet I just did what secure fit shut', 'start': 274.75, 'duration': 6.43}, {'text': ""up okay you're fucking yours fucking"", 'start': 278.84, 'duration': 8.63}, {'text': 'squeaker hey Ben vineyard squeaker bag', 'start': 281.18, 'duration': 12.959}, {'text': ""come on fag really hahaha yep they won't"", 'start': 287.47, 'duration': 8.59}, {'text': ""let me a sec take it won't let me i'm"", 'start': 294.139, 'duration': 4.381}, {'text': ""gonna kick I'm gonna kill your mom I'm"", 'start': 296.06, 'duration': 6.15}, {'text': 'gonna kill your mom okay really yeah in', 'start': 298.52, 'duration': 5.82}, {'text': ""your correct yes we're all the hostility"", 'start': 302.21, 'duration': 3.81}, {'text': 'is coming from this is this is a very', 'start': 304.34, 'duration': 3.889}, {'text': ""angry child that I'm here right now he"", 'start': 306.02, 'duration': 4.32}, {'text': ""conscious I'll bitch am older than your"", 'start': 308.229, 'duration': 4.391}, {'text': 'fat ass it probably needs to go to', 'start': 310.34, 'duration': 5.37}, {'text': 'therapy I what he does is aggressive no', 'start': 312.62, 'duration': 4.949}, {'text': 'older than he loves 14 your likes well', 'start': 315.71, 'duration': 3.65}, {'text': ""because you're a squeaker yeah really a"", 'start': 317.569, 'duration': 6.241}, {'text': 'really high-pitched voice they record', 'start': 319.36, 'duration': 6.67}, {'text': ""yourself unless I'd actually hang on my"", 'start': 323.81, 'duration': 3.96}, {'text': 'nerves you should probably get better', 'start': 326.03, 'duration': 4.08}, {'text': ""baby no we're recording it for him I'll"", 'start': 327.77, 'duration': 6.509}, {'text': 'de-stank me this probably tell only some', 'start': 330.11, 'duration': 7.35}, {'text': 'parental issues maybe divorce well now', 'start': 334.279, 'duration': 5.25}, {'text': 'okay sometimes you want a rematch', 'start': 337.46, 'duration': 6.47}, {'text': 'rematch pussy bitch', 'start': 339.529, 'duration': 4.401}]"
TLbQ,SBAu9hMUNR4,"[0, 1, 69, 378]",
00bQ,SGxaM127-1E,"[127, 770]","[{'text': 'hi this is Donelli JD maria again and', 'start': 0.89, 'duration': 6.55}, {'text': 'this is the intro for the painting', 'start': 4.44, 'duration': 7.05}, {'text': ""course and essentially what I'm going to"", 'start': 7.44, 'duration': 7.13}, {'text': 'discuss in this painting course is', 'start': 11.49, 'duration': 5.629}, {'text': 'essentially using a limited palette to', 'start': 14.57, 'duration': 5.83}, {'text': 'paint a variety of subject matter from', 'start': 17.119, 'duration': 7.391}, {'text': 'figurative to still life to landscape in', 'start': 20.4, 'duration': 7.469}, {'text': ""the first part of the course I'll"", 'start': 24.51, 'duration': 5.63}, {'text': 'discuss using this limited palette and', 'start': 27.869, 'duration': 5.071}, {'text': 'how to use primary colors both warm and', 'start': 30.14, 'duration': 6.81}, {'text': 'cool how to mix flesh how to mix blocks', 'start': 32.94, 'duration': 10.11}, {'text': 'then i will discuss secondary colors and', 'start': 36.95, 'duration': 8.47}, {'text': 'tertiary colors and how to mix them from', 'start': 43.05, 'duration': 5.18}, {'text': ""the primaries we'll get into"", 'start': 45.42, 'duration': 5.58}, {'text': 'complementary colors and the impressions', 'start': 48.23, 'duration': 4.14}, {'text': 'color theory and how to use', 'start': 51.0, 'duration': 4.949}, {'text': 'complementary colors to chief color', 'start': 52.37, 'duration': 6.43}, {'text': ""harmony in a painting we'll also talk"", 'start': 55.949, 'duration': 6.031}, {'text': 'about classical painting techniques', 'start': 58.8, 'duration': 4.62}, {'text': 'where you start with an under painting', 'start': 61.98, 'duration': 4.35}, {'text': ""and slowly build things up we'll also"", 'start': 63.42, 'duration': 5.64}, {'text': 'talk about alla prima where you can', 'start': 66.33, 'duration': 4.85}, {'text': 'actually start with bright color and', 'start': 69.06, 'duration': 4.379}, {'text': 'essentially finish the painting in one', 'start': 71.18, 'duration': 5.53}, {'text': 'or two sessions will talk about glazing', 'start': 73.439, 'duration': 7.29}, {'text': 'value and scum bling as we work on some', 'start': 76.71, 'duration': 5.94}, {'text': ""of these demonstrations that I'll"", 'start': 80.729, 'duration': 6.091}, {'text': ""discuss shortly we'll talk about"", 'start': 82.65, 'duration': 8.1}, {'text': 'composition mccalden drill leading one', 'start': 86.82, 'duration': 6.839}, {'text': 'into the focal point and how usually the', 'start': 90.75, 'duration': 4.56}, {'text': 'focal point has the biggest value', 'start': 93.659, 'duration': 5.511}, {'text': 'contrast the brightest colors and', 'start': 95.31, 'duration': 7.199}, {'text': 'essentially your eye you want your I', 'start': 99.17, 'duration': 7.0}, {'text': 'always to go there we also talk about', 'start': 102.509, 'duration': 5.82}, {'text': 'greeting techniques and how to scale', 'start': 106.17, 'duration': 5.28}, {'text': 'things up using from a photograph if you', 'start': 108.329, 'duration': 4.521}, {'text': 'want to use a photograph and scale it up', 'start': 111.45, 'duration': 4.29}, {'text': 'grading technique is extremely old it', 'start': 112.85, 'duration': 5.229}, {'text': 'was used by the Renaissance artists and', 'start': 115.74, 'duration': 3.72}, {'text': ""we'll discuss that towards the end of"", 'start': 118.079, 'duration': 6.961}, {'text': 'the course and again throughout this the', 'start': 119.46, 'duration': 8.43}, {'text': 'lecture is I am going to do three', 'start': 125.04, 'duration': 5.85}, {'text': 'demonstrations in real time one using', 'start': 127.89, 'duration': 4.59}, {'text': 'classical techniques where I start with', 'start': 130.89, 'duration': 2.15}, {'text': 'an under', 'start': 132.48, 'duration': 2.989}, {'text': 'one using immediately going in with', 'start': 133.04, 'duration': 4.259}, {'text': 'bright color rather than starting with a', 'start': 135.469, 'duration': 3.781}, {'text': 'value pattern which is what I do with', 'start': 137.299, 'duration': 4.201}, {'text': 'the classical technique and then the', 'start': 139.25, 'duration': 5.129}, {'text': 'final demonstration will be plenty of', 'start': 141.5, 'duration': 5.04}, {'text': 'landscape painting where essentially i', 'start': 144.379, 'duration': 4.14}, {'text': 'can do a small landscape in within an', 'start': 146.54, 'duration': 6.3}, {'text': ""hour as to so that I don't lose the"", 'start': 148.519, 'duration': 7.771}, {'text': 'lighting conditions and at each case for', 'start': 152.84, 'duration': 6.09}, {'text': 'each demonstration the lessons will be', 'start': 156.29, 'duration': 6.38}, {'text': 'interspersed so that the demonstration', 'start': 158.93, 'duration': 6.809}, {'text': 'essentially Vera will show you what the', 'start': 162.67, 'duration': 5.05}, {'text': 'lesson or giving example of a lesson so', 'start': 165.739, 'duration': 5.521}, {'text': 'this is essentially the first 22 of', 'start': 167.72, 'duration': 5.76}, {'text': 'these videos and then after the break', 'start': 171.26, 'duration': 6.08}, {'text': 'there will be several demonstrations', 'start': 173.48, 'duration': 8.369}, {'text': 'above figurative and landscape which', 'start': 177.34, 'duration': 7.45}, {'text': 'more detailed paintings using classical', 'start': 181.849, 'duration': 4.411}, {'text': 'techniques where I start with a value', 'start': 184.79, 'duration': 3.619}, {'text': 'under painting and slowly build it up', 'start': 186.26, 'duration': 4.08}, {'text': 'thanks i hope you have fun with this', 'start': 188.409, 'duration': 3.19}, {'text': 'course and if you have any questions', 'start': 190.34, 'duration': 4.25}, {'text': 'please contact me', 'start': 191.599, 'duration': 2.991}]"
aRbQ,SG2THBQhom8,"[2, 7, 17, 19, 128]",
K0dl,HmepbHegogY,"[64, 135, 149]",
I0dl,l3DVcsXHEmc,"[26, 574, 596, 609]",
v4dl,,[485],
Dudl,MPJIKKvum_g,"[17, 19]",
bPdl,MQCRv7A7z9w,[14],
KUdl,M_Bjuc77lGc,"[2, 7, 48, 196, 213, 224, 267, 458, 711]",
nFdl,,"[0, 1, 744, 2940, 3639, 3786]",
WWdl,dks7bb5F3sg,"[49, 127, 638]",
l3dl,GXfP9VJl0BQ,"[0, 1]","[{'text': 'Friday, January the 11th, 2013. \nThis Week on GOG: In case you missed it, here’s what’s new.', 'start': 0.9, 'duration': 5.3}, {'text': 'Cultures 1 and 2, a bundle of great exploration and \ndevelopment-focused RTS games, will have you leading a \ntribe of intrepid vikings.', 'start': 8.18, 'duration': 6.82}, {'text': 'In their ongoing conquest of distant lands they will meet\nmany exotic nations the tribe can fight--or coexist--with.', 'start': 15.5, 'duration': 5.62}, {'text': ""Find out how the Vikings got to America and stole Columbus'\nthunder, or even face the legendary giant serpent beast "", 'start': 21.5, 'duration': 6.3}, {'text': 'from the norse mythology in these two light-hearted, \ndetailed, and colorful real time strategie games.', 'start': 28.0, 'duration': 5.2}, {'text': ""The strategic gem, King's Bounty: Crossworlds Game of The Year\nedition, takes us back to the beautiful high-fantasy land filled\nwith magic, power, wealth, and adventure."", 'start': 34.5, 'duration': 8.34}, {'text': 'This complete version features the original Armored Princess campaign,\nthe Crossworlds expansion, and other scenarios that will keep you \nbattling your way to glory for many hours.  ', 'start': 43.0, 'duration': 8.22}, {'text': ""Develop your military strength, command your units in the battlefield, \nand explore an awe inspiring realm, discovering its many secrets while \nenjoying the game's role-playing elements."", 'start': 51.6, 'duration': 8.7}, {'text': 'In Imperialism II: The Age of Exploration, the Old World powers\nstruggle for domination over the lands newly discovered overseas.', 'start': 61.811, 'duration': 6.689}, {'text': ""In this turn-based managerial strategy you'll need to muster all \nyour diplomatic skills and develop a keen economical instinct \nto achieve victory."", 'start': 68.7, 'duration': 7.2}, {'text': ""But, just as history teaches us, not all goals can be reached in\nnon-violent matter when you're a power hungry ruler,"", 'start': 76.0, 'duration': 5.7}, {'text': ""so you'll need to carefully determine when might makes right."", 'start': 81.9, 'duration': 2.3}, {'text': 'We have a very special release coming for our 500th game next week. ', 'start': 86.0, 'duration': 3.3}, {'text': ""What will it be? Well, it's not a platformer but you'll need to keep \na close eye on all of the BOOBIE traps. "", 'start': 89.6, 'duration': 4.96}, {'text': 'BOOBIE. Traps. I think you get the idea.', 'start': 91.0, 'duration': 7.3}, {'text': 'And this weekend, be sure to check out our \nDigital Game Factory Strategy & Sim promo.', 'start': 99.0, 'duration': 4.4}, {'text': ""You'll be leading a special ops squad in the Commandos games,\nbringing up artificially intelligent (and fuzzy) life forms\nin the Creatures series, and organizing crime in Mob Rule. "", 'start': 103.8, 'duration': 8.5}, {'text': ""All 9 featured games come with a 60% off discount this weekend,\nso don't miss out!"", 'start': 112.8, 'duration': 4.1}, {'text': ""That's it for the first episode of 2013. Thanks for watching,\nand remember to subscribe to our YouTube channel! "", 'start': 117.0, 'duration': 5.82}, {'text': 'Also, if you haven’t already, be sure to like this video, tweet it,\nshare it, or leave a comment below with how you think we’re doing.', 'start': 123.0, 'duration': 4.2}, {'text': 'This is The Enigmatic T and that was This Week on GOG.com.', 'start': 127.9, 'duration': 4.1}]"
X2dl,cVPUdUAqahk,"[2, 7, 320]",
z6dl,c_AIJZnlcHg,"[2, 7, 48, 75, 95, 135, 172, 297]",
uHdl,cb5I6tvzZGM,"[9, 14]",
Dldl,ceuXVEDiHno,"[0, 91, 312]",
I9dl,MEsZSy3ZI6I,[41],
7Tdl,MJHi09rgVRE,"[3, 4, 9]",
QKdl,oqiopyHvcOM,[3],
8odl,otLaR1U9gYg,"[2, 7]",
pWdl,tkXs2o-dFTs,"[50, 65, 355]",
UQdl,PLdLwlwDpZk,"[0, 12]",
RTdl,6-tOrqLhYhc,"[2, 45, 51]",
4jdl,6-fx6NGLjEk,"[0, 1]","[{'text': 'you', 'start': 7.64, 'duration': 2.06}, {'text': 'keep away from the fence on either side', 'start': 15.42, 'duration': 4.47}, {'text': 'of the arena there are mines buried', 'start': 17.52, 'duration': 5.82}, {'text': 'under the surface the silo control', 'start': 19.89, 'duration': 5.49}, {'text': 'bunker holds the crowd ready and eager', 'start': 23.34, 'duration': 7.32}, {'text': 'to watch the robot carnage the', 'start': 25.38, 'duration': 7.05}, {'text': 'watchtower by the gate in a diesel', 'start': 30.66, 'duration': 2.8}, {'text': 'really good', 'start': 32.43, 'duration': 3.49}, {'text': ""I don't think I'd like to be up there"", 'start': 33.46, 'duration': 5.99}, {'text': 'when the fighting starts', 'start': 35.92, 'duration': 3.53}, {'text': 'these giant rusty doors had a sinister', 'start': 41.21, 'duration': 5.369}, {'text': 'secret the giant missile inside lies', 'start': 43.67, 'duration': 7.639}, {'text': 'dormant it stirs days ever', 'start': 46.579, 'duration': 4.73}, {'text': ""you don't want to get too close to the"", 'start': 53.11, 'duration': 3.69}, {'text': ""corner patrol zones once you're in there"", 'start': 54.94, 'duration': 5.57}, {'text': ""it's more pain than you can handle"", 'start': 56.8, 'duration': 3.71}, {'text': 'three-two-one', 'start': 64.75, 'duration': 5.56}, {'text': 'activate the crowd are waiting for', 'start': 66.61, 'duration': 6.509}, {'text': 'something to happen here', 'start': 70.31, 'duration': 2.809}, {'text': 'No', 'start': 82.87, 'duration': 3.0}, {'text': 'chocolate', 'start': 93.74, 'duration': 3.0}, {'text': 'straight into it', 'start': 105.8, 'duration': 3.45}, {'text': ""didn't wash into it"", 'start': 124.15, 'duration': 3.75}, {'text': ""he's waiting to"", 'start': 166.23, 'duration': 2.69}, {'text': 'cease', 'start': 211.209, 'duration': 2.511}, {'text': 'three two one', 'start': 226.099, 'duration': 7.0}, {'text': 'activate', 'start': 230.65, 'duration': 4.97}, {'text': 'the crowd getting restless waiting for', 'start': 233.099, 'duration': 4.14}, {'text': 'them to get going working away with the', 'start': 235.62, 'duration': 3.8}, {'text': 'flipper as it tries to get underneath', 'start': 237.239, 'duration': 4.5}, {'text': ""the video but it's putting up a brave"", 'start': 239.42, 'duration': 4.679}, {'text': 'fight', 'start': 241.739, 'duration': 2.36}, {'text': 'to a court', 'start': 246.98, 'duration': 5.97}, {'text': 'but it spins', 'start': 249.78, 'duration': 3.17}, {'text': 'Desktop from the powerful short', 'start': 253.79, 'duration': 3.8}, {'text': 'Racing', 'start': 264.62, 'duration': 3.0}, {'text': 'resisting the blade server pushed into', 'start': 268.15, 'duration': 6.42}, {'text': 'the clutches at Circular raising and', 'start': 271.27, 'duration': 5.94}, {'text': 'scraping as it hits already approaching', 'start': 274.57, 'duration': 5.18}, {'text': 'our business freight get stuck in', 'start': 277.21, 'duration': 9.84}, {'text': ""serious though I don't think it's this"", 'start': 279.75, 'duration': 9.7}, {'text': 'sort of impact', 'start': 287.05, 'duration': 5.4}, {'text': 'protection', 'start': 289.45, 'duration': 3.0}, {'text': 'stand up to it', 'start': 296.96, 'duration': 2.75}, {'text': ""it's"", 'start': 301.28, 'duration': 7.17}, {'text': 'underneath there they listen they say', 'start': 303.63, 'duration': 7.85}, {'text': 'Robot Wars', 'start': 308.45, 'duration': 3.03}, {'text': 'the steel Alva sitting at sun protection', 'start': 313.61, 'duration': 4.85}, {'text': 'for the advance not too hard to cut it', 'start': 315.59, 'duration': 5.889}, {'text': 'putting up a break fine', 'start': 318.46, 'duration': 3.019}, {'text': 'Oh', 'start': 322.07, 'duration': 2.0}, {'text': 'Charlotte', 'start': 326.009, 'duration': 5.741}, {'text': ""it's robot wars to steal resisting the"", 'start': 328.06, 'duration': 5.44}, {'text': 'nature', 'start': 331.75, 'duration': 3.67}, {'text': ""whether it's the Dodge would you rather"", 'start': 333.5, 'duration': 3.51}, {'text': 'be cleaning the debris from the arena', 'start': 335.42, 'duration': 3.98}, {'text': 'later', 'start': 337.01, 'duration': 2.39}, {'text': 'slicing', 'start': 339.48, 'duration': 5.29}, {'text': 'holy', 'start': 342.14, 'duration': 2.63}, {'text': 'wife resistant to play', 'start': 349.24, 'duration': 3.2}, {'text': 'starting to make an impression bits and', 'start': 359.509, 'duration': 4.77}, {'text': 'faces everywhere', 'start': 362.189, 'duration': 5.6}, {'text': 'and make a hole', 'start': 364.279, 'duration': 3.51}, {'text': 'cease our lone survivor in this most', 'start': 375.01, 'duration': 5.43}, {'text': 'hazardous arena takes the championship', 'start': 378.25, 'duration': 6.05}, {'text': 'and all credit to them for that football', 'start': 380.44, 'duration': 3.86}]"
0Ldl,uMmNayKgY5g,[315],"[{'text': 'this is 102 I need a vehicle check', 'start': 3.34, 'duration': 6.88}, {'text': 'license plate california c hn c hn g', 'start': 6.109, 'duration': 7.891}, {'text': 'stay closed driver I need you to cut', 'start': 10.22, 'duration': 5.13}, {'text': 'that engine and place those hands', 'start': 14.0, 'duration': 4.98}, {'text': ""outside the window now and then there's"", 'start': 15.35, 'duration': 4.409}, {'text': 'a problem', 'start': 18.98, 'duration': 3.119}, {'text': ""yeah manner we got America's favorite"", 'start': 19.759, 'duration': 4.381}, {'text': 'getting Hasselblad demand sure I', 'start': 22.099, 'duration': 3.631}, {'text': ""actually don't know the name of the show"", 'start': 24.14, 'duration': 5.629}, {'text': 'why is the name of this show anyways', 'start': 25.73, 'duration': 4.039}, {'text': 'back and off to the craziest desert', 'start': 31.18, 'duration': 15.94}, {'text': 'festival in the world Shawn the reigning', 'start': 34.73, 'duration': 16.88}, {'text': ""Cheech & Chong's magic rally adventure"", 'start': 47.12, 'duration': 6.32}, {'text': 'their quest to deliver thousands of', 'start': 51.61, 'duration': 4.38}, {'text': 'magic brownies two flaming pole please', 'start': 53.44, 'duration': 5.85}, {'text': ""pose wow they're burning coal flaming"", 'start': 55.99, 'duration': 10.23}, {'text': 'flaming poles magic brownies good', 'start': 59.29, 'duration': 9.39}, {'text': ""I'm gonna go mommy Ryan you want to sit"", 'start': 66.22, 'duration': 4.29}, {'text': ""up here with - yeah that's such an"", 'start': 68.68, 'duration': 3.84}, {'text': ""awesome van you got what's in the back"", 'start': 70.51, 'duration': 6.68}, {'text': 'brownies yeah magic brownies', 'start': 72.52, 'duration': 4.67}, {'text': ""okay man I got a drawing thing you'll"", 'start': 79.65, 'duration': 6.73}, {'text': 'have to come back and get this a story', 'start': 83.77, 'duration': 10.47}, {'text': ""of revenge America I don't know what the"", 'start': 86.38, 'duration': 10.22}, {'text': 'world is coming', 'start': 94.24, 'duration': 2.36}, {'text': ""robotics angry guy French speaking dog's"", 'start': 97.56, 'duration': 12.16}, {'text': 'paw action and brownies chewy chocolatey', 'start': 101.74, 'duration': 11.76}, {'text': 'brownies that are 90 calories and high', 'start': 109.72, 'duration': 5.39}, {'text': 'in fiber', 'start': 113.5, 'duration': 5.61}, {'text': ""what fiber because now that you're"", 'start': 115.11, 'duration': 6.22}, {'text': 'getting older you need a new kind of', 'start': 119.11, 'duration': 6.119}, {'text': 'magic from your brownie this is a', 'start': 121.33, 'duration': 7.379}, {'text': 'weirdest movie ever man fiber one maybe', 'start': 125.229, 'duration': 6.151}, {'text': 'calorie brownies taste the magic the', 'start': 128.709, 'duration': 8.601}, {'text': 'magic of fiber get high on fiber', 'start': 131.38, 'duration': 5.93}, {'text': ""I'm a Jew"", 'start': 139.51, 'duration': 3.93}, {'text': 'your frowny turn them upside down', 'start': 144.98, 'duration': 7.68}]"
