IUk4,VrbFeSg6DZ4,"[3, 6, 10, 28]",
1Pcv,tUiq_h4p8JU,"[126, 220, 820, 1077]","[{'text': 'but into the garden shop in this video I', 'start': 0.03, 'duration': 4.019}, {'text': 'want to show you one of the probably the', 'start': 1.979, 'duration': 5.4}, {'text': 'most used used herbs of all which is the', 'start': 4.049, 'duration': 5.311}, {'text': 'puzzle heart I just wanna show you know', 'start': 7.379, 'duration': 4.89}, {'text': 'how exactly to soul so firstly the', 'start': 9.36, 'duration': 6.72}, {'text': 'packaging itself it comes in this paper', 'start': 12.269, 'duration': 6.391}, {'text': 'freeze proof bag and then inside that', 'start': 16.08, 'duration': 5.19}, {'text': 'you get a ziplock waterproof bag', 'start': 18.66, 'duration': 5.369}, {'text': 'containing the seeds so quite handy for', 'start': 21.27, 'duration': 5.97}, {'text': 'storage and looking at the packaging', 'start': 24.029, 'duration': 5.731}, {'text': 'then it has two useful bits Siraj and', 'start': 27.24, 'duration': 5.88}, {'text': ""firstly it's a very bottom is a web link"", 'start': 29.76, 'duration': 6.42}, {'text': 'to the exact sewing instructions and', 'start': 33.12, 'duration': 5.459}, {'text': 'aftercare of the product so if you can', 'start': 36.18, 'duration': 4.14}, {'text': 'see that there now at the bottom and', 'start': 38.579, 'duration': 4.111}, {'text': 'hence the song instructions link which', 'start': 40.32, 'duration': 3.96}, {'text': 'will link you to the website and will', 'start': 42.69, 'duration': 4.02}, {'text': 'explain the whole process from sowing', 'start': 44.28, 'duration': 6.0}, {'text': 'seeds to aftercare and on the top corner', 'start': 46.71, 'duration': 6.63}, {'text': 'here is a scannable barcode which allows', 'start': 50.28, 'duration': 6.18}, {'text': 'you to with my phone scan the barcode', 'start': 53.34, 'duration': 6.12}, {'text': 'log directly onto the website providing', 'start': 56.46, 'duration': 4.5}, {'text': 'all the information you need on how to', 'start': 59.46, 'duration': 5.909}, {'text': 'grow and care for your basil plants so', 'start': 60.96, 'duration': 6.51}, {'text': 'we will start that process today in', 'start': 65.369, 'duration': 5.341}, {'text': 'explaining the how exactly solar seeds', 'start': 67.47, 'duration': 7.23}, {'text': 'so a pathos is a best start to go in', 'start': 70.71, 'duration': 6.99}, {'text': 'seed trays like this here and will then', 'start': 74.7, 'duration': 7.23}, {'text': 'be transplanted on so we have here at', 'start': 77.7, 'duration': 5.88}, {'text': 'sea trade which we already have have', 'start': 81.93, 'duration': 3.9}, {'text': 'sown with a another crop on your disk on', 'start': 83.58, 'duration': 6.81}, {'text': 'the saudis remaining 12 cells here with', 'start': 85.83, 'duration': 7.02}, {'text': 'a basil now in the thing about positives', 'start': 90.39, 'duration': 4.89}, {'text': 'it can be difficult plants to grow but', 'start': 92.85, 'duration': 4.5}, {'text': 'it really is good and that it has very', 'start': 95.28, 'duration': 3.81}, {'text': 'many uses in terms of use it in soups', 'start': 97.35, 'duration': 4.019}, {'text': 'and you know you can put it a bit a lot', 'start': 99.09, 'duration': 3.209}, {'text': 'of different dishes', 'start': 101.369, 'duration': 3.061}, {'text': ""you may pesto out of it so it's probably"", 'start': 102.299, 'duration': 4.25}, {'text': 'one of the most used herbs of all and', 'start': 104.43, 'duration': 4.17}, {'text': 'you know a lot of people like to keep', 'start': 106.549, 'duration': 4.451}, {'text': 'them indoors in their kitchen so and', 'start': 108.6, 'duration': 4.68}, {'text': ""they're starting off the process what we"", 'start': 111.0, 'duration': 3.78}, {'text': ""would do then is we'll just open up to"", 'start': 113.28, 'duration': 4.229}, {'text': 'our packet here and just take a look at', 'start': 114.78, 'duration': 8.97}, {'text': ""the seeds syntel's handful of them out"", 'start': 117.509, 'duration': 10.231}, {'text': ""here so that's the scenes there its are"", 'start': 123.75, 'duration': 6.599}, {'text': ""small enough and again what I've been to"", 'start': 127.74, 'duration': 3.75}, {'text': 'precise which is', 'start': 130.349, 'duration': 4.621}, {'text': 'got to fill maybe put a tree in each of', 'start': 131.49, 'duration': 10.95}, {'text': 'these trays and what we have in this', 'start': 134.97, 'duration': 12.0}, {'text': 'soil mix is a one part compost or', 'start': 142.44, 'duration': 7.08}, {'text': 'potting compost and one part perlite and', 'start': 146.97, 'duration': 4.92}, {'text': ""that's the ideal mix for the likes of"", 'start': 149.52, 'duration': 5.67}, {'text': 'basil providing nutrients for about six', 'start': 151.89, 'duration': 6.03}, {'text': 'to eight weeks and sufficient a water', 'start': 155.19, 'duration': 6.3}, {'text': 'and drainage a over that time so I have', 'start': 157.92, 'duration': 5.94}, {'text': ""my fingers here match for seed so I'm"", 'start': 161.49, 'duration': 4.47}, {'text': 'just gonna try and scatter roughly tree', 'start': 163.86, 'duration': 5.48}, {'text': 'per purplish here and then continue on', 'start': 165.96, 'duration': 8.64}, {'text': 'filling all the trays here okay so three', 'start': 169.34, 'duration': 8.62}, {'text': 'three or four is fine spreading them out', 'start': 174.6, 'duration': 9.6}, {'text': ""a little bit I don't know if you can see"", 'start': 177.96, 'duration': 9.5}, {'text': ""them going in is they're quite small"", 'start': 184.2, 'duration': 3.26}, {'text': ""okay so that's it and then the next"", 'start': 198.62, 'duration': 3.85}, {'text': 'thing you want to do is just give a very', 'start': 201.18, 'duration': 4.589}, {'text': 'light color in your compost again so we', 'start': 202.47, 'duration': 5.54}, {'text': 'have here this is our compost mix and', 'start': 205.769, 'duration': 4.86}, {'text': 'you can see is this Scott small little', 'start': 208.01, 'duration': 5.619}, {'text': 'bits of organic material in it which is', 'start': 210.629, 'duration': 4.89}, {'text': 'just something that will over the course', 'start': 213.629, 'duration': 5.131}, {'text': 'of time break down and so it builds up', 'start': 215.519, 'duration': 5.791}, {'text': ""the compost really so it's useful but"", 'start': 218.76, 'duration': 4.319}, {'text': 'again if you have a potting compost', 'start': 221.31, 'duration': 4.62}, {'text': 'which is just a hundred percent compost', 'start': 223.079, 'duration': 5.341}, {'text': 'that would be more suited to growing', 'start': 225.93, 'duration': 5.76}, {'text': ""seeds again after you've added the small"", 'start': 228.42, 'duration': 6.349}, {'text': 'fine layer of compost to the surface I', 'start': 231.69, 'duration': 5.579}, {'text': 'just want to press it in lightly as', 'start': 234.769, 'duration': 5.021}, {'text': 'seeds require a little bit of contact a', 'start': 237.269, 'duration': 5.071}, {'text': 'good contact between the seed itself and', 'start': 239.79, 'duration': 9.05}, {'text': 'the compost and next step is to water it', 'start': 242.34, 'duration': 6.5}, {'text': 'so we have here a pressure sprayer quite', 'start': 249.859, 'duration': 6.641}, {'text': 'useful for watering and your compost it', 'start': 252.48, 'duration': 6.09}, {'text': ""doesn't pour out so far that it's going"", 'start': 256.5, 'duration': 4.109}, {'text': 'to wash all your seeds away but it gives', 'start': 258.57, 'duration': 3.99}, {'text': 'a nice spread on the water', 'start': 260.609, 'duration': 4.201}, {'text': 'I have fortunately bit of water at one', 'start': 262.56, 'duration': 6.51}, {'text': 'time so really the key then is to keep', 'start': 264.81, 'duration': 6.12}, {'text': 'your seeds moist and also if you are', 'start': 269.07, 'duration': 3.45}, {'text': 'going to do this I notice that the', 'start': 270.93, 'duration': 3.54}, {'text': 'outside trades are always the ones that', 'start': 272.52, 'duration': 3.48}, {'text': 'get the least amount of water so try and', 'start': 274.47, 'duration': 4.28}, {'text': 'pay extra attention to watering them', 'start': 276.0, 'duration': 7.11}, {'text': 'okay gets a good soaking in again', 'start': 278.75, 'duration': 6.22}, {'text': 'composter carters it was soaking the', 'start': 283.11, 'duration': 4.71}, {'text': 'first time you water it could dry it out', 'start': 284.97, 'duration': 4.71}, {'text': 'quite fast depending on the temperatures', 'start': 287.82, 'duration': 3.779}, {'text': 'inside so you want to keep an eye on the', 'start': 289.68, 'duration': 4.26}, {'text': 'check it twice a week see if it needs an', 'start': 291.599, 'duration': 5.581}, {'text': 'extra bit of water okay so you want it', 'start': 293.94, 'duration': 7.47}, {'text': 'to be moist but not water loads and so', 'start': 297.18, 'duration': 5.97}, {'text': ""that's the first step really again"", 'start': 301.41, 'duration': 3.18}, {'text': 'whenever you are doing anything like', 'start': 303.15, 'duration': 4.56}, {'text': ""this it's always useful to label up what"", 'start': 304.59, 'duration': 4.53}, {'text': ""you've done so I'll just quickly write"", 'start': 307.71, 'duration': 4.59}, {'text': 'down pants up and then the date that we', 'start': 309.12, 'duration': 8.729}, {'text': 'sold and then with this place at the', 'start': 312.3, 'duration': 9.149}, {'text': ""side of our see tray so we don't decide"", 'start': 317.849, 'duration': 5.421}, {'text': 'as bazarov and decided', 'start': 321.449, 'duration': 4.881}, {'text': ""it's asparagus again getting a"", 'start': 323.27, 'duration': 4.86}, {'text': 'propagation lid which we have here this', 'start': 326.33, 'duration': 4.679}, {'text': 'one fits perfectly over the 24 cell C', 'start': 328.13, 'duration': 5.49}, {'text': 'tray and the idea of the propagation', 'start': 331.009, 'duration': 4.861}, {'text': 'that is to you know when sunlight hits', 'start': 333.62, 'duration': 4.859}, {'text': 'it it will keep the heat in heating up', 'start': 335.87, 'duration': 5.07}, {'text': 'the air and more importantly heating up', 'start': 338.479, 'duration': 4.171}, {'text': 'the soil below which would speed up', 'start': 340.94, 'duration': 4.74}, {'text': 'germination germination is shed itself', 'start': 342.65, 'duration': 6.329}, {'text': 'should take two to three weeks and after', 'start': 345.68, 'duration': 5.22}, {'text': 'that allow the seeds to grow up maybe', 'start': 348.979, 'duration': 4.021}, {'text': 'just to half the height of this seed', 'start': 350.9, 'duration': 5.009}, {'text': ""tray and so that's you're talking about"", 'start': 353.0, 'duration': 6.06}, {'text': 'four to six weeks after termination', 'start': 355.909, 'duration': 5.16}, {'text': ""you'll then want to transplant your"", 'start': 359.06, 'duration': 5.009}, {'text': 'seedlings onward into what we have here', 'start': 361.069, 'duration': 6.271}, {'text': 'is nine and centimeter pots and the', 'start': 364.069, 'duration': 5.521}, {'text': 'reason for that is pick after six weeks', 'start': 367.34, 'duration': 4.859}, {'text': 'the seedlings will need fresh compost', 'start': 369.59, 'duration': 5.1}, {'text': 'with more nutrients in it butter wine', 'start': 372.199, 'duration': 4.111}, {'text': ""still stunned and they won't grow as"", 'start': 374.69, 'duration': 3.629}, {'text': 'quickly as he would have liked so as I', 'start': 376.31, 'duration': 4.53}, {'text': 'said and six four six weeks after', 'start': 378.319, 'duration': 6.301}, {'text': 'germination transplant into your nine', 'start': 380.84, 'duration': 6.0}, {'text': 'centimeter pots and then once your', 'start': 384.62, 'duration': 3.69}, {'text': 'savings have reached about ten to', 'start': 386.84, 'duration': 3.69}, {'text': 'fifteen centimetres invite transplant', 'start': 388.31, 'duration': 4.949}, {'text': 'them again into this one lesion or two', 'start': 390.53, 'duration': 6.87}, {'text': 'liter and a posh like this and the', 'start': 393.259, 'duration': 5.611}, {'text': ""factory that's the size apart that you"", 'start': 397.4, 'duration': 4.23}, {'text': 'keep your Vaseline keep it in the window', 'start': 398.87, 'duration': 5.49}, {'text': 'inside and a bright location and you', 'start': 401.63, 'duration': 4.65}, {'text': 'should have them you should be able to', 'start': 404.36, 'duration': 3.0}, {'text': 'harvest your crop', 'start': 406.28, 'duration': 2.939}, {'text': 'within the year but again if you call', 'start': 407.36, 'duration': 4.02}, {'text': 'the harvester basil always try to give', 'start': 409.219, 'duration': 5.88}, {'text': 'it enough time for it to develop a good', 'start': 411.38, 'duration': 5.46}, {'text': 'root system and enough forretress', 'start': 415.099, 'duration': 3.361}, {'text': 'before you start picking away at the', 'start': 416.84, 'duration': 3.629}, {'text': ""crop and that's it really that's how to"", 'start': 418.46, 'duration': 4.679}, {'text': 'grow basil seeds again in the left and', 'start': 420.469, 'duration': 4.26}, {'text': 'two weeks time the seeds should have', 'start': 423.139, 'duration': 2.191}, {'text': 'emerged', 'start': 424.729, 'duration': 2.43}, {'text': 'so when about six to eight weeks time', 'start': 425.33, 'duration': 3.959}, {'text': ""we'll be back here transplanting their"", 'start': 427.159, 'duration': 4.35}, {'text': ""mom into the pots so that's it that's"", 'start': 429.289, 'duration': 5.011}, {'text': 'the puzzle sweet again all of these are', 'start': 431.509, 'duration': 3.891}, {'text': 'available on the', 'start': 434.3, 'duration': 3.76}, {'text': 'our job today', 'start': 435.4, 'duration': 2.66}]"
YZcv,tale9TRzca8,[14],
vicv,Ftm47Xn3yJM,[16],
ebcv,9Duo6u5MoDo,"[0, 1, 36, 94]","[{'text': 'so the other day only is me blade posted', 'start': 0.0, 'duration': 5.7}, {'text': 'a video and it was about chasing your', 'start': 2.7, 'duration': 6.18}, {'text': 'high and it was about how he got these', 'start': 5.7, 'duration': 6.51}, {'text': ""really good game plays and like it's"", 'start': 8.88, 'duration': 5.46}, {'text': 'just so fun to be able to get these good', 'start': 12.21, 'duration': 4.23}, {'text': 'game plays and to be able to if you feel', 'start': 14.34, 'duration': 4.47}, {'text': ""so good like it's a high and this game"", 'start': 16.44, 'duration': 4.71}, {'text': ""right here is my high I don't know what"", 'start': 18.81, 'duration': 4.41}, {'text': 'it is about this gameplay I just felt', 'start': 21.15, 'duration': 4.56}, {'text': ""like I was Superman even though I didn't"", 'start': 23.22, 'duration': 8.43}, {'text': 'come out with like an insane like what', 'start': 25.71, 'duration': 7.23}, {'text': 'like what should I say and then same', 'start': 31.65, 'duration': 3.48}, {'text': ""scoreline i do do really good it's just"", 'start': 32.94, 'duration': 4.56}, {'text': 'the scoreline could could have been', 'start': 35.13, 'duration': 4.23}, {'text': ""better because there's some choices that"", 'start': 37.5, 'duration': 4.32}, {'text': 'I made but I just felt that I want every', 'start': 39.36, 'duration': 4.379}, {'text': 'single gun fight I felt that there was', 'start': 41.82, 'duration': 5.19}, {'text': 'nobody stopping me in this game except', 'start': 43.739, 'duration': 5.431}, {'text': 'for the cheap stuff in black ops 2 now', 'start': 47.01, 'duration': 3.6}, {'text': 'that this was on mana for three if I', 'start': 49.17, 'duration': 2.97}, {'text': 'just felt the same way I did playing', 'start': 50.61, 'duration': 4.17}, {'text': 'this game on monitor for three then I', 'start': 52.14, 'duration': 6.09}, {'text': ""probably wouldn't have died like I"", 'start': 54.78, 'duration': 5.369}, {'text': 'probably would have gotten a hundred', 'start': 58.23, 'duration': 4.02}, {'text': 'plus or even more like on the lab I', 'start': 60.149, 'duration': 4.861}, {'text': ""don't even know but I'm another see some"", 'start': 62.25, 'duration': 7.86}, {'text': 'black ops II stuff and so uh yeah this', 'start': 65.01, 'duration': 6.87}, {'text': 'just really reminded me of a only the', 'start': 70.11, 'duration': 4.65}, {'text': 'blade set in his latest video so yeah', 'start': 71.88, 'duration': 5.01}, {'text': 'this is my this is my hi this is my', 'start': 74.76, 'duration': 4.02}, {'text': ""favorite game I've gotten on black ops 2"", 'start': 76.89, 'duration': 3.36}, {'text': ""I don't know what it is about it I just"", 'start': 78.78, 'duration': 4.44}, {'text': 'felt like every gun fight I had I just', 'start': 80.25, 'duration': 5.189}, {'text': 'one I think I thought I was better than', 'start': 83.22, 'duration': 3.75}, {'text': ""everybody else in this Lobby I don't"", 'start': 85.439, 'duration': 3.841}, {'text': 'know why but since I enjoyed this game', 'start': 86.97, 'duration': 5.46}, {'text': 'so much um I hope you guys enjoy too and', 'start': 89.28, 'duration': 4.83}, {'text': ""I'm gonna put some music over the rest"", 'start': 92.43, 'duration': 3.6}, {'text': 'of the game because I want you to pay', 'start': 94.11, 'duration': 4.649}, {'text': ""attention to the game and I don't know I"", 'start': 96.03, 'duration': 4.32}, {'text': 'just thought it was a really really good', 'start': 98.759, 'duration': 4.68}, {'text': ""game so I'll um I'll talk to you guys in"", 'start': 100.35, 'duration': 6.799}, {'text': 'another commentary tomorrow peace', 'start': 103.439, 'duration': 3.71}, {'text': 'you', 'start': 165.83, 'duration': 2.06}, {'text': 'you', 'start': 303.139, 'duration': 2.06}]"
iecv,9MjikomLCd4,[8],
EScv,9QTAp-pRSAA,"[4, 6, 10]",
4Zcv,ueFrpI8SaWE,[984],
xWcv,uvSMUx6T7zE,"[461, 498]",
rUcv,v__0p3VmG00,"[3, 4, 13, 41]",
apcv,pvNAsJ5vvew,"[1, 828]",
1Acv,pvNv8dIkhJM,"[0, 1, 5, 327, 587, 772, 3110]",
M0cv,VGvTpaWbweQ,"[2, 30, 408]",
NUcv,VTEFUIP9DgI,"[11, 29]",
tEcv,RYWykNaYZ5A,"[17, 19, 272]",
yScv,R_ReZNYatdM,"[3, 4, 9]",
u5cv,0nBYRJK01_Q,[14],
Upcv,2mfcrrORjzM,"[0, 874]",
HBcv,Uoq5k4bq6oA,"[11, 20, 2753]",
nXcv,WK9XNwxreME,"[3, 4, 6]",
Rzcv,WPetM2ott9s,"[313, 347, 1920]",
Ywcv,U0Epu-kn_jE,[2285],
QUcv,r5t4WjLe8TM,"[0, 1, 2773]",
d4cv,,"[0, 1, 27]",
DScv,emIYIm40aW8,"[82, 103, 118]","[{'text': ""hi I'm Devon taste myth belly and I'm"", 'start': 14.549, 'duration': 15.101}, {'text': 'the new guy I think probably my parents', 'start': 17.26, 'duration': 16.58}, {'text': 'I think they found out from my agent and', 'start': 29.65, 'duration': 6.06}, {'text': 'they called me pretty early in the', 'start': 33.84, 'duration': 4.359}, {'text': 'morning and they were super excited when', 'start': 35.71, 'duration': 11.46}, {'text': ""they found out yeah I mean it's going to"", 'start': 38.199, 'duration': 10.531}, {'text': 'be probably a little difficult but I', 'start': 47.17, 'duration': 3.36}, {'text': ""think they won't have a problem with"", 'start': 48.73, 'duration': 5.839}, {'text': 'becoming Canadian fans now', 'start': 50.53, 'duration': 4.039}, {'text': 'that picture came from my minor hockey', 'start': 69.24, 'duration': 6.94}, {'text': 'team was the junior Canadiens so we got', 'start': 72.94, 'duration': 4.8}, {'text': 'a chance to come to Montreal and watch', 'start': 76.18, 'duration': 3.45}, {'text': 'her practice and I meet some of the', 'start': 77.74, 'duration': 5.55}, {'text': ""players so it's funny how you know I"", 'start': 79.63, 'duration': 4.89}, {'text': 'used to wear this jersey and then down', 'start': 83.29, 'duration': 3.59}, {'text': 'Murray again', 'start': 84.52, 'duration': 2.36}, {'text': 'now I was really good friends with', 'start': 91.649, 'duration': 6.911}, {'text': ""Nathan and and Christian so I've known"", 'start': 94.14, 'duration': 6.46}, {'text': 'both those guys for a while me and', 'start': 98.56, 'duration': 3.15}, {'text': 'Christian have been friends since we', 'start': 100.6, 'duration': 2.85}, {'text': 'were probably about 10 years old', 'start': 101.71, 'duration': 4.71}, {'text': ""so I'm excited to get a chance to play"", 'start': 103.45, 'duration': 4.589}, {'text': 'with those guys and you know get chance', 'start': 106.42, 'duration': 4.16}, {'text': 'to hang out with them again', 'start': 108.039, 'duration': 2.541}, {'text': 'it felt great you get a chance to play', 'start': 120.57, 'duration': 6.79}, {'text': 'for an original 16 Canadian team as a', 'start': 124.209, 'duration': 7.201}, {'text': ""Canadian kid is is huge and that's the"", 'start': 127.36, 'duration': 6.12}, {'text': ""first time I've gotten butterflies for a"", 'start': 131.41, 'duration': 5.67}, {'text': 'game in a long time so I could just', 'start': 133.48, 'duration': 6.72}, {'text': 'imagine you know the next couple times I', 'start': 137.08, 'duration': 6.409}, {'text': ""put it on how plain that's gonna be too"", 'start': 140.2, 'duration': 3.289}, {'text': ""I personally haven't even been here a"", 'start': 150.24, 'duration': 8.91}, {'text': 'lot I mean I like just the the city is', 'start': 154.11, 'duration': 7.23}, {'text': 'just pretty nice overall you know the', 'start': 159.15, 'duration': 6.03}, {'text': ""style is uh it's pretty cool and there's"", 'start': 161.34, 'duration': 5.52}, {'text': ""a lot of things to do and it's I mean"", 'start': 165.18, 'duration': 3.36}, {'text': ""it's a pretty great city so far I mean I"", 'start': 166.86, 'duration': 4.68}, {'text': ""haven't been around a lot but you know"", 'start': 168.54, 'duration': 13.86}, {'text': ""that's what I've seen so far probably"", 'start': 171.54, 'duration': 13.23}, {'text': 'just to go and have fun huh I think my', 'start': 182.4, 'duration': 5.34}, {'text': 'parents and and coaches as the Eddie', 'start': 184.77, 'duration': 5.58}, {'text': 'young age preset and you know I try and', 'start': 187.74, 'duration': 4.95}, {'text': 'continue to take that and every game was', 'start': 190.35, 'duration': 5.39}, {'text': ""obviously it's intense and hard work but"", 'start': 192.69, 'duration': 7.16}, {'text': 'having fun as well as it required', 'start': 195.74, 'duration': 4.11}]"
xhcv,ezn4FixJKc8,[997],"[{'text': ""hi I'm Daniel Davis I'm a certified"", 'start': 2.03, 'duration': 5.74}, {'text': 'computer expert and tech guru along with', 'start': 4.589, 'duration': 4.951}, {'text': 'having one of the top tech channels on', 'start': 7.77, 'duration': 3.84}, {'text': 'YouTube my work has also been featured', 'start': 9.54, 'duration': 4.59}, {'text': 'in textbooks software guides and', 'start': 11.61, 'duration': 5.28}, {'text': 'hundreds of popular tech blogs and today', 'start': 14.13, 'duration': 4.26}, {'text': ""I'm going to be talking to you about"", 'start': 16.89, 'duration': 8.309}, {'text': 'HTML HTML is the coding language that', 'start': 18.39, 'duration': 9.12}, {'text': 'web pages are written in to create a', 'start': 25.199, 'duration': 4.861}, {'text': 'basic web page all you need is a text', 'start': 27.51, 'duration': 5.069}, {'text': 'editor such as notepad and Windows or', 'start': 30.06, 'duration': 6.51}, {'text': 'TextEdit and Mac and a web browser HTML', 'start': 32.579, 'duration': 5.971}, {'text': 'separates the different sections of a', 'start': 36.57, 'duration': 4.8}, {'text': ""web page using what's called markup tags"", 'start': 38.55, 'duration': 5.4}, {'text': 'these are characterized by angled', 'start': 41.37, 'duration': 5.13}, {'text': ""brackets within the web page you'll see"", 'start': 43.95, 'duration': 5.58}, {'text': 'a head section and a body section the', 'start': 46.5, 'duration': 5.25}, {'text': 'body section is where the content of the', 'start': 49.53, 'duration': 5.25}, {'text': 'web page goes to add text to your web', 'start': 51.75, 'duration': 5.789}, {'text': 'page you can use the P markup tag for', 'start': 54.78, 'duration': 5.61}, {'text': 'paragraph add your text and then close', 'start': 57.539, 'duration': 6.211}, {'text': 'off the markup tag like this in order to', 'start': 60.39, 'duration': 5.88}, {'text': 'align the text to the page you need to', 'start': 63.75, 'duration': 5.1}, {'text': ""add what's called an attribute to the P"", 'start': 66.27, 'duration': 6.09}, {'text': 'tag that reads align equals center or', 'start': 68.85, 'duration': 6.629}, {'text': 'right or left depending on how you want', 'start': 72.36, 'duration': 6.509}, {'text': 'to align it by adding a font tag you can', 'start': 75.479, 'duration': 6.361}, {'text': 'add size and color attributes to change', 'start': 78.869, 'duration': 5.851}, {'text': 'the size and color of the font anytime', 'start': 81.84, 'duration': 4.86}, {'text': 'you want to preview what your webpage', 'start': 84.72, 'duration': 5.399}, {'text': 'just save it as an HTML file and open it', 'start': 86.7, 'duration': 6.48}, {'text': 'up in a web browser like ways to add a', 'start': 90.119, 'duration': 5.881}, {'text': 'picture you can add an IMG markup tag', 'start': 93.18, 'duration': 6.36}, {'text': 'and use the SRC attribute to set it', 'start': 96.0, 'duration': 6.57}, {'text': 'equal to the image location you can use', 'start': 99.54, 'duration': 5.25}, {'text': 'the center tags to align it to the', 'start': 102.57, 'duration': 3.69}, {'text': 'center of the page', 'start': 104.79, 'duration': 4.44}, {'text': 'by adding attributes to the body tag you', 'start': 106.26, 'duration': 4.86}, {'text': 'can change the settings for the entire', 'start': 109.23, 'duration': 4.41}, {'text': 'page for instance you can set the', 'start': 111.12, 'duration': 4.65}, {'text': 'background color the background image', 'start': 113.64, 'duration': 5.04}, {'text': 'and the text color from here when it', 'start': 115.77, 'duration': 5.13}, {'text': 'comes to formatting pages the basic', 'start': 118.68, 'duration': 4.77}, {'text': 'approach would be to add page breaks', 'start': 120.9, 'duration': 5.67}, {'text': 'like this which breaks the content into', 'start': 123.45, 'duration': 4.98}, {'text': 'separate lines or you could use', 'start': 126.57, 'duration': 4.59}, {'text': 'horizontal rules like this which', 'start': 128.43, 'duration': 4.83}, {'text': 'separates the content using a horizontal', 'start': 131.16, 'duration': 6.06}, {'text': 'line a more advanced way though would be', 'start': 133.26, 'duration': 7.08}, {'text': 'to use tables to create a basic table', 'start': 137.22, 'duration': 5.58}, {'text': 'you start by adding the table markup', 'start': 140.34, 'duration': 5.22}, {'text': 'tags then in between them you can add', 'start': 142.8, 'duration': 5.91}, {'text': 'the row markup tags you can add an', 'start': 145.56, 'duration': 5.31}, {'text': 'opening and closing row tag for however', 'start': 148.71, 'duration': 4.71}, {'text': 'many rows that you want in the table', 'start': 150.87, 'duration': 6.33}, {'text': 'then in between each row tag you want to', 'start': 153.42, 'duration': 7.02}, {'text': 'add the data cell tags which will create', 'start': 157.2, 'duration': 6.6}, {'text': 'the columns if I add two columns to the', 'start': 160.44, 'duration': 6.6}, {'text': 'first row then to keep the table even I', 'start': 163.8, 'duration': 5.64}, {'text': 'need to add two columns to each of the', 'start': 167.04, 'duration': 5.85}, {'text': ""remaining rows it's in between these TD"", 'start': 169.44, 'duration': 6.81}, {'text': ""tags that you'll place your content like"", 'start': 172.89, 'duration': 5.46}, {'text': 'with all the other previous markup tags', 'start': 176.25, 'duration': 5.22}, {'text': 'you can add attributes to to change the', 'start': 178.35, 'duration': 5.28}, {'text': 'look of the tables such as the', 'start': 181.47, 'duration': 5.04}, {'text': 'background color the border size cell', 'start': 183.63, 'duration': 6.03}, {'text': 'padding and alignment if you want the', 'start': 186.51, 'duration': 5.52}, {'text': 'table to be invisible to set the border', 'start': 189.66, 'duration': 6.0}, {'text': 'size to zero another option you have for', 'start': 192.03, 'duration': 6.06}, {'text': 'organizing your content is through using', 'start': 195.66, 'duration': 5.82}, {'text': ""lists there's two types of Lists"", 'start': 198.09, 'duration': 6.57}, {'text': 'numbered or organized lists denoted by', 'start': 201.48, 'duration': 6.45}, {'text': 'the Oh L markup tag and bulleted or', 'start': 204.66, 'duration': 6.54}, {'text': 'unorganized lists denoted by the UL', 'start': 207.93, 'duration': 6.39}, {'text': 'markup tag each item in the list will be', 'start': 211.2, 'duration': 6.6}, {'text': 'surrounded by L I markup tags to show', 'start': 214.32, 'duration': 6.48}, {'text': 'that their list items so that should get', 'start': 217.8, 'duration': 5.01}, {'text': 'you started with getting your webpage', 'start': 220.8, 'duration': 6.65}, {'text': 'data formatted and organized', 'start': 222.81, 'duration': 4.64}]"
ubcv,,"[3, 4]",
oicv,mXtLdabqlyg,"[50, 65, 256, 355, 927, 2327]",
yOcv,mZqbuSavyOo,[26],
