Q7fR,1lXtW-413x8,"[5, 14]",
sgn0,CVID-uTLrNM,"[3, 13, 41]",
JVn0,CgGGcUY5OW0,[310],"[{'text': ""alright fellow Pyro's we are t-minus"", 'start': 0.29, 'duration': 6.64}, {'text': 'less than 30 days to the fourth of July', 'start': 4.069, 'duration': 6.341}, {'text': ""so I'm sure y'all is jacked as I am just"", 'start': 6.93, 'duration': 6.36}, {'text': 'had a couple responses and inquiries and', 'start': 10.41, 'duration': 6.78}, {'text': ""questions about mortar racks I'd done a"", 'start': 13.29, 'duration': 5.55}, {'text': 'brief video before on a couple that I', 'start': 17.19, 'duration': 5.19}, {'text': ""had done and have since expanded and I'm"", 'start': 18.84, 'duration': 5.49}, {'text': 'actually going to run through a little', 'start': 22.38, 'duration': 3.33}, {'text': 'bit further in detail on how I actually', 'start': 24.33, 'duration': 4.26}, {'text': ""built these they're super super easy to"", 'start': 25.71, 'duration': 6.12}, {'text': 'make multiple different ways you can', 'start': 28.59, 'duration': 5.84}, {'text': 'make them different plans out there', 'start': 31.83, 'duration': 4.889}, {'text': 'there really is no wrong way to make', 'start': 34.43, 'duration': 6.46}, {'text': ""them because if you're using the HDPE"", 'start': 36.719, 'duration': 8.52}, {'text': ""tubes you're already doing the right"", 'start': 40.89, 'duration': 5.82}, {'text': ""thing you're already a hundred percent"", 'start': 45.239, 'duration': 3.98}, {'text': 'safer than you are shooting out of those', 'start': 46.71, 'duration': 4.829}, {'text': 'cardboard tubes that come in these kits', 'start': 49.219, 'duration': 4.541}, {'text': 'so basically just getting them together', 'start': 51.539, 'duration': 3.991}, {'text': 'getting them in different you know', 'start': 53.76, 'duration': 4.83}, {'text': 'whether you put in an angled rack you do', 'start': 55.53, 'duration': 7.529}, {'text': 'six shots 10 shots 12 shots these are', 'start': 58.59, 'duration': 8.639}, {'text': ""all 12s that's a 16 and obviously you"", 'start': 63.059, 'duration': 6.051}, {'text': 'can just extend it further and further', 'start': 67.229, 'duration': 5.43}, {'text': 'make a you know a 20 24 as big as you', 'start': 69.11, 'duration': 3.97}, {'text': 'want', 'start': 72.659, 'duration': 3.39}, {'text': 'I find the twelves are just easy too', 'start': 73.08, 'duration': 4.92}, {'text': ""easy to make they don't get too heavy"", 'start': 76.049, 'duration': 6.36}, {'text': ""they're easy to transport easy to stock"", 'start': 78.0, 'duration': 8.4}, {'text': ""away in the winter months so it's pretty"", 'start': 82.409, 'duration': 6.57}, {'text': ""nice but um I'll go through here a"", 'start': 86.4, 'duration': 5.039}, {'text': 'little bit in detail about what I got', 'start': 88.979, 'duration': 4.231}, {'text': 'here this is a goodness is just a', 'start': 91.439, 'duration': 7.191}, {'text': 'standard 12 shot rack dr Elevens and', 'start': 93.21, 'duration': 9.71}, {'text': 'what i simply do is this is a 1 by 6 and', 'start': 98.63, 'duration': 10.93}, {'text': ""this is like a 1 by 3 1 by 3 and that's"", 'start': 102.92, 'duration': 8.68}, {'text': ""it so I mean simply all I do is I'll"", 'start': 109.56, 'duration': 5.93}, {'text': ""take the 1 6 and I'll line them all up"", 'start': 111.6, 'duration': 7.619}, {'text': 'as many as I want mark it cut it measure', 'start': 115.49, 'duration': 6.699}, {'text': 'how high up I want to go flip it up cut', 'start': 119.219, 'duration': 6.661}, {'text': 'it I tack them into place actually with', 'start': 122.189, 'duration': 7.41}, {'text': 'a with a nail gun just get everything', 'start': 125.88, 'duration': 5.41}, {'text': 'boxed in', 'start': 129.599, 'duration': 4.741}, {'text': ""and then I'll pre-drill my holes and"", 'start': 131.29, 'duration': 6.5}, {'text': 'sink in one at five eight five eight', 'start': 134.34, 'duration': 7.27}, {'text': 'wood screws in these things it actually', 'start': 137.79, 'duration': 7.66}, {'text': 'works out perfect that in one inch this', 'start': 141.61, 'duration': 7.349}, {'text': ""is a kind of what it is that's a one by"", 'start': 145.45, 'duration': 7.44}, {'text': 'two slides right in between them and it', 'start': 148.959, 'duration': 5.851}, {'text': ""keeps them tight so there's no"", 'start': 152.89, 'duration': 3.42}, {'text': 'additional cutting other than just', 'start': 154.81, 'duration': 3.929}, {'text': 'cutting to length which keeps it super', 'start': 156.31, 'duration': 5.039}, {'text': 'super easy I have one of these all the', 'start': 158.739, 'duration': 4.771}, {'text': 'way down at the bottom so the bottoms', 'start': 161.349, 'duration': 4.56}, {'text': ""don't kick in and then I put one up at"", 'start': 163.51, 'duration': 5.61}, {'text': ""top I mean honestly that's it so these"", 'start': 165.909, 'duration': 7.17}, {'text': 'are one one by sixes with a one inch', 'start': 169.12, 'duration': 6.39}, {'text': 'spacer in the middle will give you a', 'start': 173.079, 'duration': 6.711}, {'text': 'perfect perfect dimension for your rack', 'start': 175.51, 'duration': 6.75}, {'text': 'one by six and those are 1 by 3s on the', 'start': 179.79, 'duration': 4.089}, {'text': 'side and again you can do different', 'start': 182.26, 'duration': 3.839}, {'text': ""configurations I've seen guys use two by"", 'start': 183.879, 'duration': 2.73}, {'text': 'fours', 'start': 186.099, 'duration': 2.25}, {'text': ""it's just starts getting heavier and"", 'start': 186.609, 'duration': 4.681}, {'text': 'heavier and again keeps in place all my', 'start': 188.349, 'duration': 6.271}, {'text': ""tubes are free-floating I don't secure"", 'start': 191.29, 'duration': 5.309}, {'text': ""them down because they're the Ren's"", 'start': 194.62, 'duration': 3.78}, {'text': 'tight enough and built high enough where', 'start': 196.599, 'duration': 4.381}, {'text': ""they're not going away and again for"", 'start': 198.4, 'duration': 4.729}, {'text': 'finale work things of that nature', 'start': 200.98, 'duration': 4.469}, {'text': ""they're basically going off once I"", 'start': 203.129, 'duration': 5.2}, {'text': 'usually keep one or two of these on the', 'start': 205.449, 'duration': 5.19}, {'text': 'side just four handfuls or reloads just', 'start': 208.329, 'duration': 4.611}, {'text': 'dump them in and shoot them off but then', 'start': 210.639, 'duration': 5.13}, {'text': 'go from here and just string these all', 'start': 212.94, 'duration': 6.12}, {'text': 'up for a finale these are some tubes', 'start': 215.769, 'duration': 5.761}, {'text': ""there's some fiberglass tubes that came"", 'start': 219.06, 'duration': 5.649}, {'text': 'in the what is that electric rain kit', 'start': 221.53, 'duration': 6.63}, {'text': 'and toward the bases off and just built', 'start': 224.709, 'duration': 5.581}, {'text': ""the same situation they're thinner and"", 'start': 228.16, 'duration': 4.049}, {'text': 'thinner tube so I actually had to shim', 'start': 230.29, 'duration': 5.3}, {'text': ""it's a little bit more than a one-inch"", 'start': 232.209, 'duration': 6.06}, {'text': 'keeps these tight just the same so', 'start': 235.59, 'duration': 5.619}, {'text': ""didn't want to see those go to waste"", 'start': 238.269, 'duration': 4.86}, {'text': ""yeah I mean I'm pretty ready so you"", 'start': 241.209, 'duration': 4.051}, {'text': 'could again expand this as these are 12', 'start': 243.129, 'duration': 2.7}, {'text': 'shots', 'start': 245.26, 'duration': 4.05}, {'text': ""that's a 16 you can go further take it"", 'start': 245.829, 'duration': 5.731}, {'text': 'to 20 just you know cut your board', 'start': 249.31, 'duration': 5.37}, {'text': 'longer goes crazy as you want just you', 'start': 251.56, 'duration': 4.979}, {'text': 'know again I keep it a little bit simple', 'start': 254.68, 'duration': 4.859}, {'text': 'for transporting storing things of that', 'start': 256.539, 'duration': 5.06}, {'text': 'nature', 'start': 259.539, 'duration': 2.06}, {'text': ""and that that's really it pretty simple"", 'start': 261.88, 'duration': 6.09}, {'text': 'use your own methods if you guys want', 'start': 264.64, 'duration': 6.36}, {'text': ""but just thought I'd share kind of some"", 'start': 267.97, 'duration': 4.59}, {'text': 'of the dimensions and things of my racks', 'start': 271.0, 'duration': 5.55}, {'text': 'you can use a cheap miter box if you', 'start': 272.56, 'duration': 5.34}, {'text': 'have a miter saw it makes life easy', 'start': 276.55, 'duration': 6.0}, {'text': ""obviously but um it's it comment if you"", 'start': 277.9, 'duration': 6.0}, {'text': 'have any comments if you have a better', 'start': 282.55, 'duration': 3.66}, {'text': 'way of doing things obviously let me', 'start': 283.9, 'duration': 4.17}, {'text': 'know but I found this to be pretty', 'start': 286.21, 'duration': 3.99}, {'text': 'comfortable easy way and that could', 'start': 288.07, 'duration': 4.41}, {'text': 'built one of these racks in about ten', 'start': 290.2, 'duration': 6.06}, {'text': ""minutes very simple and I don't man"", 'start': 292.48, 'duration': 5.34}, {'text': ""happy fourth maybe I'll have another one"", 'start': 296.26, 'duration': 4.26}, {'text': 'on before the fourth and go from there', 'start': 297.82, 'duration': 7.73}, {'text': 'thanks for checking out subscribe thanks', 'start': 300.52, 'duration': 5.03}]"
HVn0,qIQVHK6uCf0,"[3, 4, 6, 10, 28]",
w4n0,qJ0ByOI5cj0,"[0, 1, 35, 134]",
Oyn0,8X0fetT07EI,"[5, 1308]","[{'text': 'good morning children today we shall', 'start': 0.62, 'duration': 7.79}, {'text': 'learn about the animal world', 'start': 4.34, 'duration': 4.07}, {'text': 'we see so many animals in the nature', 'start': 57.3, 'duration': 7.62}, {'text': 'like the cat and the dog on the streets', 'start': 60.69, 'duration': 10.24}, {'text': 'lion tiger in the jungle can you tell me', 'start': 64.92, 'duration': 8.86}, {'text': 'is an animal a living thing or a', 'start': 70.93, 'duration': 7.29}, {'text': 'nonliving thing we already know all', 'start': 73.78, 'duration': 8.909}, {'text': 'living things grow they need food water', 'start': 78.22, 'duration': 10.649}, {'text': 'and air to stay alive like us animals', 'start': 82.689, 'duration': 7.671}, {'text': 'also breathe air', 'start': 88.869, 'duration': 6.39}, {'text': 'they eat food drink water they grow in', 'start': 90.36, 'duration': 8.17}, {'text': 'size they move from one place to another', 'start': 95.259, 'duration': 7.86}, {'text': 'in search of food and shelter they also', 'start': 98.53, 'duration': 7.56}, {'text': 'multiply in number by producing new', 'start': 103.119, 'duration': 7.86}, {'text': 'babies so we can easily say that animals', 'start': 106.09, 'duration': 10.71}, {'text': 'are living things just like us some', 'start': 110.979, 'duration': 8.971}, {'text': 'animals are big like the lion and the', 'start': 116.8, 'duration': 8.04}, {'text': 'gorilla some animals are small like the', 'start': 119.95, 'duration': 8.149}, {'text': 'rabbit Mouse', 'start': 124.84, 'duration': 3.259}, {'text': 'let us now see the other kinds of animal', 'start': 128.49, 'duration': 7.36}, {'text': 'found in the nature can you guess which', 'start': 131.95, 'duration': 9.33}, {'text': 'animal am i I have wings I can fly', 'start': 135.85, 'duration': 13.19}, {'text': 'I have colorful feathers yes I am a bird', 'start': 141.28, 'duration': 11.55}, {'text': 'the birds have two legs to walk their', 'start': 149.04, 'duration': 7.06}, {'text': 'body is covered with feathers they have', 'start': 152.83, 'duration': 8.48}, {'text': 'two wings most of the birds can fly', 'start': 156.1, 'duration': 5.21}, {'text': 'can you guess again which animal am i I', 'start': 162.51, 'duration': 9.31}, {'text': ""have wings but I'm not a bird I am small"", 'start': 166.41, 'duration': 7.24}, {'text': 'and colorful', 'start': 171.82, 'duration': 6.53}, {'text': 'I live in Gardens fields and forests and', 'start': 173.65, 'duration': 10.41}, {'text': 'I love flowers yes you have guessed it', 'start': 178.35, 'duration': 11.11}, {'text': 'right I am a butterfly a butterfly is an', 'start': 184.06, 'duration': 8.03}, {'text': 'insect', 'start': 189.46, 'duration': 2.63}, {'text': 'the insects are small animals for', 'start': 192.33, 'duration': 9.22}, {'text': 'example mosquito cockroach and ant are', 'start': 196.57, 'duration': 6.27}, {'text': 'insects', 'start': 201.55, 'duration': 6.09}, {'text': 'they usually have six legs many insects', 'start': 202.84, 'duration': 9.66}, {'text': 'have wings and can fly to some animals', 'start': 207.64, 'duration': 9.27}, {'text': 'cannot walk a run they just creep or', 'start': 212.5, 'duration': 6.33}, {'text': 'crawl on the ground', 'start': 216.91, 'duration': 8.01}, {'text': 'for example snake lizard the nature has', 'start': 218.83, 'duration': 9.63}, {'text': 'such a variety of animals but if we', 'start': 224.92, 'duration': 6.48}, {'text': ""don't take care some of these animals"", 'start': 228.46, 'duration': 5.4}, {'text': 'might disappear completely from the', 'start': 231.4, 'duration': 7.92}, {'text': 'earth why these animals for example the', 'start': 233.86, 'duration': 8.55}, {'text': 'tiger and the rhinoceros have become', 'start': 239.32, 'duration': 7.73}, {'text': 'very few in number and may all die soon', 'start': 242.41, 'duration': 7.98}, {'text': 'so if we wish to see their kind alive in', 'start': 247.05, 'duration': 6.34}, {'text': 'future also then we have to protect them', 'start': 250.39, 'duration': 6.45}, {'text': 'now the animals that are very few in', 'start': 253.39, 'duration': 6.24}, {'text': 'number and may soon no longer exist are', 'start': 256.84, 'duration': 9.42}, {'text': 'called endangered animals to sum up', 'start': 259.63, 'duration': 9.09}, {'text': 'there are different kinds of animal in', 'start': 266.26, 'duration': 5.7}, {'text': 'the nature some are big some are small', 'start': 268.72, 'duration': 7.77}, {'text': 'some are birds some are insects and some', 'start': 271.96, 'duration': 7.08}, {'text': 'are crawling or creeping animals like', 'start': 276.49, 'duration': 5.73}, {'text': 'the snake we need to protect some of', 'start': 279.04, 'duration': 5.76}, {'text': 'these animals which are very few in', 'start': 282.22, 'duration': 7.25}, {'text': 'number now and may sue no longer exist', 'start': 284.8, 'duration': 9.65}, {'text': ""that's all for today children bye-bye"", 'start': 289.47, 'duration': 4.98}]"
zAn0,gTeftdyh21I,"[521, 3701]",
xan0,gex-QZQN9t8,"[2, 45, 51, 56, 77, 137]",
rbn0,9apTI14IArQ,"[2, 17, 30, 55, 143, 166, 340, 408, 1557, 1741, 1808]",
M3n0,LV_1FuAsDqw,"[261, 1292]",
dRn0,FSjC1SdKTx4,"[2, 7, 17]",
TAn0,FX7MImdZoJk,"[0, 12]",
Gen0,ZrcjzBLzPKE,"[6, 8]","[{'text': 'every year over 400,000 people gather in', 'start': 8.54, 'duration': 4.99}, {'text': 'Las Vegas for the biggest music festival', 'start': 11.67, 'duration': 2.82}, {'text': 'in North America', 'start': 13.53, 'duration': 3.329}, {'text': 'EDC part of what makes this event', 'start': 14.49, 'duration': 4.14}, {'text': 'special are the performers they include', 'start': 16.859, 'duration': 4.561}, {'text': 'clowns acrobats still ters contortionist', 'start': 18.63, 'duration': 5.01}, {'text': 'magicians and dancers they are a select', 'start': 21.42, 'duration': 3.689}, {'text': 'group of uniquely talented and', 'start': 23.64, 'duration': 3.51}, {'text': 'incredibly special people in our search', 'start': 25.109, 'duration': 3.84}, {'text': 'to ever expand our brand we hold', 'start': 27.15, 'duration': 3.69}, {'text': 'auditions to find the select few who', 'start': 28.949, 'duration': 3.36}, {'text': 'have what it takes to be a part of the', 'start': 30.84, 'duration': 3.48}, {'text': 'insomniac family here are some of those', 'start': 32.309, 'duration': 3.471}, {'text': 'stories', 'start': 34.32, 'duration': 4.2}, {'text': 'welcome to ABC audition thank you so', 'start': 35.78, 'duration': 3.81}, {'text': 'much', 'start': 38.52, 'duration': 4.08}, {'text': ""what's your name my name is Devon Walker"", 'start': 39.59, 'duration': 5.469}, {'text': ""I've been dancing professionally for six"", 'start': 42.6, 'duration': 2.85}, {'text': 'years', 'start': 45.059, 'duration': 2.25}, {'text': ""I'm originally from Northern California"", 'start': 45.45, 'duration': 4.199}, {'text': 'which is Modesto but I live in North', 'start': 47.309, 'duration': 6.331}, {'text': 'Hollywood what kind of shoes to wear to', 'start': 49.649, 'duration': 5.07}, {'text': ""an audition that you're dancing for"", 'start': 53.64, 'duration': 4.669}, {'text': ""couldn't you first saw Devon I thought"", 'start': 54.719, 'duration': 7.34}, {'text': ""little DJ Jazzy Jeff's a little RuPaul"", 'start': 58.309, 'duration': 6.971}, {'text': 'but I was sure there was no way he was', 'start': 62.059, 'duration': 6.99}, {'text': 'going to pull off because here', 'start': 65.28, 'duration': 3.769}, {'text': 'I was kind of skeptical because my', 'start': 78.62, 'duration': 5.55}, {'text': ""actors kind of risque I'm a boy that"", 'start': 80.84, 'duration': 5.91}, {'text': 'dances in high heels so I was kind of', 'start': 84.17, 'duration': 4.56}, {'text': 'little intimidated a little bit because', 'start': 86.75, 'duration': 4.2}, {'text': ""I didn't know what was really gonna go"", 'start': 88.73, 'duration': 4.46}, {'text': 'on', 'start': 90.95, 'duration': 2.24}, {'text': 'unicorns really angry people I think', 'start': 108.53, 'duration': 6.61}, {'text': 'maybe fall myself everything makes me', 'start': 111.119, 'duration': 12.511}, {'text': ""laugh I didn't know what was gonna go on"", 'start': 115.14, 'duration': 10.049}, {'text': 'I thought it was just gonna be like you', 'start': 123.63, 'duration': 3.419}, {'text': 'go freestyle real quick in front of a', 'start': 125.189, 'duration': 3.481}, {'text': 'couple of people and then you go home I', 'start': 127.049, 'duration': 3.481}, {'text': ""didn't know there's gonna be cameras and"", 'start': 128.67, 'duration': 4.19}, {'text': 'lights', 'start': 130.53, 'duration': 2.33}, {'text': 'nice as well can I see a little bit of', 'start': 137.32, 'duration': 7.51}, {'text': 'that I would love to see some bogeying', 'start': 143.12, 'duration': 4.11}, {'text': ""oh that's nice"", 'start': 144.83, 'duration': 5.52}, {'text': 'I like how you win from RuPaul to DMX in', 'start': 147.23, 'duration': 8.03}, {'text': 'like right like DMX in heels', 'start': 150.35, 'duration': 8.07}, {'text': 'so you can feel his energy is intense', 'start': 155.26, 'duration': 6.72}, {'text': 'and stylistically he was a fantastic', 'start': 158.42, 'duration': 7.08}, {'text': 'dancer I was impressed what can I say I', 'start': 161.98, 'duration': 9.31}, {'text': 'love you darling so thank you yeah', 'start': 165.5, 'duration': 7.83}, {'text': ""you're awesome I actually say yes you're"", 'start': 171.29, 'duration': 5.34}, {'text': ""as a performer you know we can't help"", 'start': 173.33, 'duration': 5.52}, {'text': ""but feel what's going on so thank you so"", 'start': 176.63, 'duration': 5.13}, {'text': ""much I'm I'm going to have to concur"", 'start': 178.85, 'duration': 5.88}, {'text': 'with my associates here I think that you', 'start': 181.76, 'duration': 5.82}, {'text': ""are you're terribly entertaining to"", 'start': 184.73, 'duration': 5.64}, {'text': 'watch you will nailed your character and', 'start': 187.58, 'duration': 7.11}, {'text': 'I literally cannot look away from you', 'start': 190.37, 'duration': 12.63}, {'text': 'so yes welcome thank you wow thank you', 'start': 194.69, 'duration': 13.049}, {'text': ""so much he's busted some really amazing"", 'start': 203.0, 'duration': 8.79}, {'text': ""stuff out there however he didn't really"", 'start': 207.739, 'duration': 6.571}, {'text': 'nail the voguing and that was like the', 'start': 211.79, 'duration': 6.71}, {'text': 'one thing I wanted to see him do', 'start': 214.31, 'duration': 4.19}]"
zMn0,Zzh9RJsXEkE,[455],
hNn0,_1KblxZNGQ0,[43],
pin0,_74MA0-vGT4,"[10, 97, 243, 395, 2498, 3589]",
uhn0,nT1Ij4A8FrE,"[2, 7, 1038, 1158]",
dan0,aOQCcii7VOU,"[43, 60, 101, 286, 374, 991]","[{'text': ""when it comes to salmon fishing don't be"", 'start': 5.509, 'duration': 5.621}, {'text': 'afraid to get in as tight to the', 'start': 8.46, 'duration': 6.089}, {'text': 'shoreline as possible we have helped it', 'start': 11.13, 'duration': 5.489}, {'text': 'along the shoreline and I am actually', 'start': 14.549, 'duration': 3.361}, {'text': 'out too far', 'start': 16.619, 'duration': 5.041}, {'text': 'get right in on those pockets of kelp it', 'start': 17.91, 'duration': 5.25}, {'text': ""pockets because that's where the"", 'start': 21.66, 'duration': 3.42}, {'text': ""baitfish is and that's a major highway"", 'start': 23.16, 'duration': 5.609}, {'text': 'for chinook salmon right now these kelp', 'start': 25.08, 'duration': 7.31}, {'text': 'beds are holding pink salmon coho salmon', 'start': 28.769, 'duration': 9.72}, {'text': ""and chinook salmon I'm using a spinning"", 'start': 32.39, 'duration': 8.65}, {'text': ""tackle because I'm using lighter lurch"", 'start': 38.489, 'duration': 5.041}, {'text': ""this is sonic bait fish there's a three"", 'start': 41.04, 'duration': 5.339}, {'text': 'quarter ounce glow white has UV in it', 'start': 43.53, 'duration': 4.23}, {'text': 'the fish can really pick it up the', 'start': 46.379, 'duration': 3.09}, {'text': ""water's pretty dirty here so we take"", 'start': 47.76, 'duration': 3.6}, {'text': 'advantage of whatever we can with the', 'start': 49.469, 'duration': 4.5}, {'text': 'very best alerts the ballgame may be', 'start': 51.36, 'duration': 4.28}, {'text': 'right along the kelp it and flip it in', 'start': 53.969, 'duration': 4.41}, {'text': 'on slow drips drifting is the most', 'start': 55.64, 'duration': 4.66}, {'text': 'natural presentation you can make not', 'start': 58.379, 'duration': 6.471}, {'text': 'truly not a tanker slow drifting a', 'start': 60.3, 'duration': 7.83}, {'text': 'couple tips and really vital make sure', 'start': 64.85, 'duration': 5.769}, {'text': 'before you start that the learn that', 'start': 68.13, 'duration': 5.16}, {'text': ""you're using it has enough of a sharp"", 'start': 70.619, 'duration': 5.101}, {'text': 'hook point make sure it digs it at your', 'start': 73.29, 'duration': 4.259}, {'text': ""thumbnail if it doesn't don't test it on"", 'start': 75.72, 'duration': 3.63}, {'text': ""your skin that doesn't work you feel"", 'start': 77.549, 'duration': 4.86}, {'text': ""sharpness but it's not that sharp Justin"", 'start': 79.35, 'duration': 5.58}, {'text': 'on your thumbnail if it Dixon fine the', 'start': 82.409, 'duration': 4.381}, {'text': ""second thing is make sure you've got a"", 'start': 84.93, 'duration': 5.009}, {'text': 'quality alert you can see here that', 'start': 86.79, 'duration': 5.219}, {'text': ""we've got a single side wash hook as"", 'start': 89.939, 'duration': 4.941}, {'text': 'barbless on the towel not on the nose', 'start': 92.009, 'duration': 6.091}, {'text': 'this gives it the board lively action', 'start': 94.88, 'duration': 7.69}, {'text': 'more natural action next is your', 'start': 98.1, 'duration': 6.3}, {'text': 'equipment', 'start': 102.57, 'duration': 4.659}, {'text': ""make sure you've got a good spinning"", 'start': 104.4, 'duration': 5.56}, {'text': 'outfit the light but tough rod cuz', 'start': 107.229, 'duration': 4.32}, {'text': ""you're gonna be jigging like me maybe"", 'start': 109.96, 'duration': 3.12}, {'text': ""ten hours a day and I don't want to get"", 'start': 111.549, 'duration': 7.291}, {'text': 'them a jig a good drag finally good', 'start': 113.08, 'duration': 8.42}, {'text': 'sonar make sure you have a quality', 'start': 118.84, 'duration': 4.71}, {'text': 'electronic fish locator', 'start': 121.5, 'duration': 6.22}, {'text': ""don't even start fishing until you open"", 'start': 123.55, 'duration': 9.48}, {'text': 'you turn on your the fish locator find', 'start': 127.72, 'duration': 7.62}, {'text': 'those bait fish and better yet find the', 'start': 133.03, 'duration': 3.6}, {'text': ""fish that you're looking for"", 'start': 135.34, 'duration': 4.47}, {'text': 'also look for fish that are boiling to', 'start': 136.63, 'duration': 5.73}, {'text': 'the surface I can guarantee if you can', 'start': 139.81, 'duration': 5.64}, {'text': 'can stew a boiler nine times out of ten', 'start': 142.36, 'duration': 4.409}, {'text': ""you'll get a hookup with the sonic"", 'start': 145.45, 'duration': 6.539}, {'text': ""baitfish alright now I'm gonna get right"", 'start': 146.769, 'duration': 8.731}, {'text': 'in on that count and see what we could', 'start': 151.989, 'duration': 7.28}, {'text': 'do as far as your salmon Spencer', 'start': 155.5, 'duration': 3.769}]"
4ln0,aUo5G0RBK7I,[3],
gIn0,w8T4akl7vH4,[592],
nMn0,wCD-0OGGRew,"[3, 89]",
A5n0,pMaMs5LA6B4,[14],
eZn0,-o6GD3rR8WU,"[0, 1, 19, 2620, 3801]",
Zxn0,-txbSGPgSl4,[210],
FLn0,8J-y-DSbsAA,[8],
i5n0,8LnkFgtqlNE,"[6, 8, 71, 152]",
zTn0,8SEmY7mYjjQ,[201],
n2n0,Cul6XDs8wpM,"[2, 7, 19, 272, 283, 1769]",
Ymn0,CwPIZVCODD0,"[2, 30]",
DNn0,Duu8PNL6tg4,"[2, 7, 17, 48, 177, 224, 267, 711, 2291]",
lqn0,DxR-nusRGCI,"[0, 52, 70, 91, 125]",
Ain0,ZRDbVGXfaDU,[66],
2Jn0,fTgr2BfU3xs,[5],
