jqat,P945yGdwsa8,[13],
tfmX,SpBD3TXLqeY,[569],"[{'text': 'hi everyone I hope you enjoyed this', 'start': 102.95, 'duration': 3.489}, {'text': 'tutorial', 'start': 105.6, 'duration': 2.43}, {'text': 'Halloween is this month and I think', 'start': 106.439, 'duration': 3.54}, {'text': 'these cat magnets would be a really cute', 'start': 108.03, 'duration': 4.079}, {'text': 'addition to your fridge or your locker', 'start': 109.979, 'duration': 4.051}, {'text': ""this is another kit that I've created"", 'start': 112.109, 'duration': 4.26}, {'text': 'with take and make and it includes all', 'start': 114.03, 'duration': 4.199}, {'text': 'the materials that you need to create', 'start': 116.369, 'duration': 4.35}, {'text': 'your very own cat madness this also', 'start': 118.229, 'duration': 4.71}, {'text': 'includes a little postcard with a letter', 'start': 120.719, 'duration': 3.99}, {'text': 'from me just click the link in the', 'start': 122.939, 'duration': 4.17}, {'text': 'description box below for more details', 'start': 124.709, 'duration': 4.77}, {'text': 'we also have a subscription option where', 'start': 127.109, 'duration': 4.561}, {'text': 'you will receive this cat magnet kit as', 'start': 129.479, 'duration': 5.01}, {'text': 'well as a surprise kit every month for', 'start': 131.67, 'duration': 4.89}, {'text': 'three months and the cost for this would', 'start': 134.489, 'duration': 3.571}, {'text': 'be lower than if you were to buy the', 'start': 136.56, 'duration': 3.959}, {'text': 'kits individually more information on', 'start': 138.06, 'duration': 4.53}, {'text': 'that will also be in the description box', 'start': 140.519, 'duration': 4.021}, {'text': 'below like this video if you liked it', 'start': 142.59, 'duration': 3.63}, {'text': ""and don't forget to subscribe to this"", 'start': 144.54, 'duration': 3.779}, {'text': ""channel if you haven't already thank you"", 'start': 146.22, 'duration': 3.87}, {'text': 'so much for watching and I will see you', 'start': 148.319, 'duration': 5.091}, {'text': 'guys next time bye', 'start': 150.09, 'duration': 3.32}]"
rOmX,,[14],
HlmX,bOA2ravcOW4,[556],
H3mX,bOHllEbQ9iI,"[21, 23, 115, 1629]","[{'text': ""it's time to wash down your tech news"", 'start': 0.0, 'duration': 6.029}, {'text': 'with a tall cold glass of samsung milk', 'start': 3.0, 'duration': 5.55}, {'text': ""I'm Bridget Carey and this is your cnet"", 'start': 6.029, 'duration': 11.281}, {'text': 'update samsung has created its own', 'start': 8.55, 'duration': 11.309}, {'text': 'streaming radio service similar to', 'start': 17.31, 'duration': 5.82}, {'text': ""Apple's iTunes radio Samsung's music has"", 'start': 19.859, 'duration': 6.601}, {'text': ""an offbeat name it's called milk music"", 'start': 23.13, 'duration': 6.149}, {'text': 'yes milk like moo cow does a body good', 'start': 26.46, 'duration': 5.219}, {'text': ""have it with cookies milk it's free to"", 'start': 29.279, 'duration': 4.141}, {'text': 'download in the Google Play Store and', 'start': 31.679, 'duration': 3.72}, {'text': 'there are no commercials but you can', 'start': 33.42, 'duration': 4.229}, {'text': 'only listen to it if you have a samsung', 'start': 35.399, 'duration': 4.651}, {'text': ""galaxy smartphone and for now it's only"", 'start': 37.649, 'duration': 4.621}, {'text': ""available in the US basically it's"", 'start': 40.05, 'duration': 4.529}, {'text': 'another perk to keep Samsung customers', 'start': 42.27, 'duration': 4.41}, {'text': 'happy within the ecosystem of Samsung', 'start': 44.579, 'duration': 4.021}, {'text': 'products if you come across a song that', 'start': 46.68, 'duration': 3.87}, {'text': ""you like there's no option yet to"", 'start': 48.6, 'duration': 3.959}, {'text': ""purchase the track but that'll be"", 'start': 50.55, 'duration': 3.87}, {'text': ""offered eventually it's powered by"", 'start': 52.559, 'duration': 4.14}, {'text': 'slacker radio and the interface is', 'start': 54.42, 'duration': 5.49}, {'text': 'similar to a classic FM dial tuner where', 'start': 56.699, 'duration': 4.981}, {'text': 'you scan the frequencies to find the', 'start': 59.91, 'duration': 3.96}, {'text': 'music you like milk will have pre-made', 'start': 61.68, 'duration': 3.9}, {'text': 'stations and you can make custom', 'start': 63.87, 'duration': 4.62}, {'text': 'stations based on an artist or song also', 'start': 65.58, 'duration': 4.74}, {'text': ""in the world of apps you won't be able"", 'start': 68.49, 'duration': 4.29}, {'text': 'to watch 6 seconds of smut anymore on', 'start': 70.32, 'duration': 5.159}, {'text': 'vine the video-sharing app owned by', 'start': 72.78, 'duration': 5.22}, {'text': 'twitter is now prohibiting sexual', 'start': 75.479, 'duration': 5.041}, {'text': 'explicit content vine lets users share', 'start': 78.0, 'duration': 4.59}, {'text': 'six-second video clips and when the app', 'start': 80.52, 'duration': 4.86}, {'text': 'first came out the creators allowed porn', 'start': 82.59, 'duration': 4.62}, {'text': 'but try to make it hard to find by', 'start': 85.38, 'duration': 4.199}, {'text': 'blocking some hashtags but vine will now', 'start': 87.21, 'duration': 4.949}, {'text': 'remove the content saying its quote not', 'start': 89.579, 'duration': 5.011}, {'text': 'a good fit however nudity is still', 'start': 92.159, 'duration': 4.591}, {'text': ""allowed if it's for art or education a"", 'start': 94.59, 'duration': 5.01}, {'text': 'new way to make soda at home will be', 'start': 96.75, 'duration': 5.369}, {'text': 'revealed soon a company called sparkling', 'start': 99.6, 'duration': 5.04}, {'text': 'drink systems says it has created an', 'start': 102.119, 'duration': 4.68}, {'text': 'at-home carbonated beverage maker that', 'start': 104.64, 'duration': 4.32}, {'text': 'does not require carbon dioxide', 'start': 106.799, 'duration': 4.32}, {'text': 'cartridges which are what you need if', 'start': 108.96, 'duration': 4.409}, {'text': ""you use a SodaStream we won't see this"", 'start': 111.119, 'duration': 4.231}, {'text': 'new product for a few days until March', 'start': 113.369, 'duration': 3.75}, {'text': ""fifteenth when it's on display at a"", 'start': 115.35, 'duration': 3.96}, {'text': 'trade show in Chicago it looks like the', 'start': 117.119, 'duration': 4.591}, {'text': 'company beat coca-cola and curing to the', 'start': 119.31, 'duration': 4.14}, {'text': ""punch it's been announced that later"", 'start': 121.71, 'duration': 3.479}, {'text': 'this year Keurig will also have a', 'start': 123.45, 'duration': 3.51}, {'text': 'carbonated drink maker that does not', 'start': 125.189, 'duration': 4.531}, {'text': ""require co2 cartridges and it'll offer"", 'start': 126.96, 'duration': 5.52}, {'text': 'coke branded flavors there are also a', 'start': 129.72, 'duration': 3.79}, {'text': 'few cool gas', 'start': 132.48, 'duration': 3.039}, {'text': 'instead seen it reviewed cool in the', 'start': 133.51, 'duration': 4.199}, {'text': ""literal sense there's a new dyson fan"", 'start': 135.519, 'duration': 4.621}, {'text': ""I'm sorry Dyson doesn't want to call it"", 'start': 137.709, 'duration': 5.491}, {'text': ""a fan it's an air multiplier the new"", 'start': 140.14, 'duration': 5.34}, {'text': 'model is supposed to be 75 percent', 'start': 143.2, 'duration': 4.649}, {'text': 'quieter than the last one it uses thirty', 'start': 145.48, 'duration': 5.069}, {'text': 'percent less energy but at three hundred', 'start': 147.849, 'duration': 4.95}, {'text': ""dollars you may not feel it's worth ten"", 'start': 150.549, 'duration': 4.201}, {'text': 'times the price of a desk fan that you', 'start': 152.799, 'duration': 3.841}, {'text': 'can buy at the drugstore and you better', 'start': 154.75, 'duration': 3.569}, {'text': 'not lose the remote control that it', 'start': 156.64, 'duration': 4.14}, {'text': 'comes with since the only control on the', 'start': 158.319, 'duration': 4.741}, {'text': ""unit is the on/off button that's your"", 'start': 160.78, 'duration': 3.84}, {'text': 'tech news update but you can find more', 'start': 163.06, 'duration': 4.44}, {'text': 'details at cnet com / update from our', 'start': 164.62, 'duration': 6.8}, {'text': ""studios in New York I'm Bridget Carey"", 'start': 167.5, 'duration': 3.92}]"
43mX,tA5mhMYu4DY,"[5, 16, 1690]",
dvmX,6J7wvtXTyMQ,"[179, 667]",
4AmX,6QQr-tyjGpc,[656],
fLmX,,"[0, 1, 35, 134, 3612]",
hCmX,obhJbtfvbD4,"[2, 7, 443, 656]",
ramX,,"[0, 1, 5, 69, 84, 169, 476, 1129, 1939, 2121]",
SgmX,noAT8xhB7uM,[61],
cMmX,4dPVCcuT7qk,[25],"[{'text': 'are they still following us yes is there', 'start': 4.819, 'duration': 14.501}, {'text': 'one of them you looking at us hmm', 'start': 12.929, 'duration': 8.401}, {'text': 'does he have just one hand on the', 'start': 19.32, 'duration': 6.449}, {'text': 'steering wheel when you hear something', 'start': 21.33, 'duration': 8.959}, {'text': 'that sounds like a gunshot Drive', 'start': 25.769, 'duration': 4.52}, {'text': 'I say done we recently discovered the', 'start': 41.62, 'duration': 7.17}, {'text': 'existence of an international criminal', 'start': 46.93, 'duration': 4.379}, {'text': 'organization with ties to former Naxos', 'start': 48.79, 'duration': 5.97}, {'text': ""rumor has it this Bill's an atom bomb we"", 'start': 51.309, 'duration': 5.041}, {'text': 'have no choice but to work to get them', 'start': 54.76, 'duration': 4.079}, {'text': ""to infiltrate this organization we'll"", 'start': 56.35, 'duration': 6.11}, {'text': 'leave you to get acquainted', 'start': 58.839, 'duration': 3.621}, {'text': ""Napoleon sold the CIA's most effective"", 'start': 63.98, 'duration': 10.44}, {'text': 'exits KGB youngest man to join in their', 'start': 68.12, 'duration': 8.7}, {'text': 'best within three years America is', 'start': 74.42, 'duration': 4.37}, {'text': 'teaming up with Russia', 'start': 76.82, 'duration': 6.51}, {'text': 'things could get a little messy the', 'start': 78.79, 'duration': 7.15}, {'text': 'thing is I work better alone I work at', 'start': 83.33, 'duration': 7.25}, {'text': ""the throne - okay I'll let you tag along"", 'start': 85.94, 'duration': 4.64}, {'text': 'did you get the invitation to my party I', 'start': 93.159, 'duration': 3.911}, {'text': 'stole it Pharisee', 'start': 95.69, 'duration': 2.959}, {'text': ""I hope you're wearing laughs sometimes"", 'start': 97.07, 'duration': 5.61}, {'text': ""just never when I'm stealing this not"", 'start': 98.649, 'duration': 5.981}, {'text': 'very good at this whole subtle thing are', 'start': 102.68, 'duration': 8.689}, {'text': ""you it'll be like this for 20 minutes"", 'start': 104.63, 'duration': 6.739}, {'text': 'and they do we put you over my knee', 'start': 114.06, 'duration': 4.5}, {'text': 'shall we', 'start': 120.06, 'duration': 3.12}, {'text': 'Oh', 'start': 126.31, 'duration': 2.03}, {'text': ""the special agent you aren't having a"", 'start': 130.259, 'duration': 6.691}, {'text': 'very special day are you who these', 'start': 132.18, 'duration': 7.97}, {'text': 'belong to you or to me', 'start': 136.95, 'duration': 3.2}]"
NomX,mE1LQ5xRRfY,"[8, 1463]",
WOmX,xqou8O-p5sU,"[4, 9, 10, 13, 28, 33]",
N7mX,dtRd9e1-6i4,"[2, 7, 266, 508, 1106]",
t6mX,e0AARAU4BY4,"[148, 160, 766]",
6ZmX,AB_Q3O6AJlw,"[2, 62, 76, 90, 540]",
GEmX,eC-40lJtmmo,"[0, 241]",
gEmX,eEhxBBGaUv0,[115],"[{'text': 'it is all about attacking Apple on its', 'start': 0.0, 'duration': 4.47}, {'text': 'home turf so Samsung making this huge', 'start': 2.429, 'duration': 3.841}, {'text': ""run at Apple's biggest and most loyal"", 'start': 4.47, 'duration': 3.599}, {'text': ""market it's the first time they've"", 'start': 6.27, 'duration': 3.93}, {'text': 'launched the galaxy line here in the US', 'start': 8.069, 'duration': 3.961}, {'text': 'now this is a big deal for samsung on', 'start': 10.2, 'duration': 4.319}, {'text': 'several levels but bottom line they need', 'start': 12.03, 'duration': 4.05}, {'text': 'to prove to the tech elite that they can', 'start': 14.519, 'duration': 4.111}, {'text': 'out innovate and not just out iterate', 'start': 16.08, 'duration': 4.619}, {'text': 'when it comes to smartphones so features', 'start': 18.63, 'duration': 3.72}, {'text': 'to watch for today during the', 'start': 20.699, 'duration': 4.021}, {'text': 'presentation first a larger 5-inch', 'start': 22.35, 'duration': 3.57}, {'text': 'screen this is something a lot of the', 'start': 24.72, 'duration': 3.27}, {'text': 'younger folks really seem to like two is', 'start': 25.92, 'duration': 4.259}, {'text': 'a sharper camera and then finally get', 'start': 27.99, 'duration': 4.14}, {'text': 'this the ability to scroll around your', 'start': 30.179, 'duration': 4.441}, {'text': 'phone with your eyes this is really a', 'start': 32.13, 'duration': 4.019}, {'text': ""feature that's got all the tech blogs"", 'start': 34.62, 'duration': 3.15}, {'text': 'talking everyone really wants to test it', 'start': 36.149, 'duration': 2.791}, {'text': ""out and see how well it's going to work"", 'start': 37.77, 'duration': 2.609}, {'text': 'some people say look this is kind of the', 'start': 38.94, 'duration': 4.26}, {'text': 'same innovation leapfrog that Apple had', 'start': 40.379, 'duration': 4.171}, {'text': ""when it had the touchpad so we're going"", 'start': 43.2, 'duration': 4.05}, {'text': 'up to see if it actually works in chula', 'start': 44.55, 'duration': 4.259}, {'text': ""it's getting a lot of buzz the"", 'start': 47.25, 'duration': 3.239}, {'text': 'advertising blitz around this launch', 'start': 48.809, 'duration': 3.961}, {'text': 'samsung spending some big bucks around', 'start': 50.489, 'duration': 5.011}, {'text': 'this yeah some enormous budgets here', 'start': 52.77, 'duration': 3.809}, {'text': 'Benny were talking about in fact a', 'start': 55.5, 'duration': 2.489}, {'text': 'report from kantar media suggests that', 'start': 56.579, 'duration': 4.261}, {'text': 'Samsung has spent 400 million dollars to', 'start': 57.989, 'duration': 5.491}, {'text': 'promote the galaxy this is a huge leap', 'start': 60.84, 'duration': 4.2}, {'text': ""from it's 80 million dollar budget back"", 'start': 63.48, 'duration': 4.86}, {'text': 'in 2011 and get this even more than', 'start': 65.04, 'duration': 6.09}, {'text': ""apple's advertising budget last year but"", 'start': 68.34, 'duration': 3.99}, {'text': ""it's not just about the dollars that"", 'start': 71.13, 'duration': 3.18}, {'text': ""Samsung is spending it's equally about"", 'start': 72.33, 'duration': 3.84}, {'text': 'the approach that Simpson is taking in', 'start': 74.31, 'duration': 4.169}, {'text': 'fact industry insiders tell me Samsung', 'start': 76.17, 'duration': 4.17}, {'text': 'much more aggressive this time around', 'start': 78.479, 'duration': 4.801}, {'text': 'and in fact well pulling an apple when', 'start': 80.34, 'duration': 5.459}, {'text': 'it comes to the galaxy for launch so you', 'start': 83.28, 'duration': 4.26}, {'text': 'remember all those Apple ads that went', 'start': 85.799, 'duration': 3.78}, {'text': 'directly after windows the Mac I verse', 'start': 87.54, 'duration': 4.259}, {'text': 'is a Windows guy well apple now getting', 'start': 89.579, 'duration': 3.601}, {'text': 'a little bit of a taste of its own', 'start': 91.799, 'duration': 3.901}, {'text': 'medicine Samsung mocking all those Apple', 'start': 93.18, 'duration': 3.99}, {'text': 'folks who like to wait in line for those', 'start': 95.7, 'duration': 3.239}, {'text': 'big product launches with this very', 'start': 97.17, 'duration': 3.42}, {'text': 'famous add you know making all of those', 'start': 98.939, 'duration': 3.36}, {'text': 'fun of the all the old folks who are', 'start': 100.59, 'duration': 3.51}, {'text': 'waiting in line so a lot of people', 'start': 102.299, 'duration': 3.331}, {'text': 'talking about these ads you know in fact', 'start': 104.1, 'duration': 3.93}, {'text': 'according to add age this ad helped push', 'start': 105.63, 'duration': 3.96}, {'text': 'samsung to be one of the most viral', 'start': 108.03, 'duration': 4.56}, {'text': 'brands in 2012 samsung also did a lot of', 'start': 109.59, 'duration': 4.529}, {'text': 'grassroots marketing at the tech of', 'start': 112.59, 'duration': 3.15}, {'text': 'youth tech elite events like South by', 'start': 114.119, 'duration': 3.36}, {'text': ""Southwest you know in fact if you're at"", 'start': 115.74, 'duration': 3.21}, {'text': 'the festival and you had a samsung phone', 'start': 117.479, 'duration': 3.631}, {'text': 'with NFC you can actually get free pedi', 'start': 118.95, 'duration': 3.87}, {'text': 'cab rides around the festival and', 'start': 121.11, 'duration': 3.09}, {'text': ""finally when you're talking about"", 'start': 122.82, 'duration': 2.579}, {'text': 'advertising you got to talk about', 'start': 124.2, 'duration': 2.64}, {'text': ""celebrities they're pulling out that"", 'start': 125.399, 'duration': 3.871}, {'text': 'celebrity card in a big way James Franco', 'start': 126.84, 'duration': 4.53}, {'text': 'David Beckham amongst those sporting a', 'start': 129.27, 'duration': 4.7}, {'text': 'Samsung Betty', 'start': 131.37, 'duration': 2.6}]"
GWmX,Y9rp3LIpYQE,[5],
rDmX,DCKLF5JnttA,"[15, 509, 709, 1755]",
eQmX,FIxJ3zIBBQU,[3],
dlmX,aX5dI3sinsI,"[11, 20, 22, 32]","[{'text': 'this is highly nutritious food in case', 'start': 0.05, 'duration': 10.45}, {'text': ""you didn't know and then can you tell"", 'start': 5.85, 'duration': 7.82}, {'text': 'what those guys are there', 'start': 10.5, 'duration': 3.17}, {'text': ""that's our supper these are called it"", 'start': 13.82, 'duration': 10.06}, {'text': 'omena and lots and lots of people eat', 'start': 19.939, 'duration': 6.611}, {'text': ""these guys because they're a highly"", 'start': 23.88, 'duration': 4.5}, {'text': 'nutritious food see it says so right', 'start': 26.55, 'duration': 4.26}, {'text': 'there in the writing therefore it must', 'start': 28.38, 'duration': 5.21}, {'text': 'not be faulty it must be true', 'start': 30.81, 'duration': 5.76}, {'text': 'so we thought these today as part of our', 'start': 33.59, 'duration': 4.719}, {'text': 'bizarre food series we do eat these', 'start': 36.57, 'duration': 3.3}, {'text': ""every now and then we don't love them"", 'start': 38.309, 'duration': 3.241}, {'text': 'but the kids like them because most of', 'start': 39.87, 'duration': 3.63}, {'text': 'our kid and kids grew up eating these', 'start': 41.55, 'duration': 4.89}, {'text': ""and so we're gonna have these for supper"", 'start': 43.5, 'duration': 4.23}, {'text': 'tonight with something called a golly', 'start': 46.44, 'duration': 4.099}, {'text': 'and you guys will get to see how we eat', 'start': 47.73, 'duration': 7.98}, {'text': 'um golly with omena yay first thing we', 'start': 50.539, 'duration': 6.641}, {'text': 'have to do is we have to go through', 'start': 55.71, 'duration': 4.38}, {'text': 'these dried fish can you see them in', 'start': 57.18, 'duration': 5.46}, {'text': 'order to prepare them who the smell is', 'start': 60.09, 'duration': 5.279}, {'text': ""really strong that's a bunch of dead"", 'start': 62.64, 'duration': 5.64}, {'text': 'fish and we have three big bags of these', 'start': 65.369, 'duration': 5.671}, {'text': 'things because we are a huge family as a', 'start': 68.28, 'duration': 6.449}, {'text': ""little song I wrote I'd like to sing it"", 'start': 71.04, 'duration': 13.14}, {'text': ""note for note don't worry be happy look"", 'start': 74.729, 'duration': 13.441}, {'text': 'how big this bowl is that is a lot of', 'start': 84.18, 'duration': 7.229}, {'text': ""fish I don't know if you can see I sure"", 'start': 88.17, 'duration': 5.699}, {'text': 'wish you guys could smell that not', 'start': 91.409, 'duration': 3.721}, {'text': 'actually your hands look baked because', 'start': 93.869, 'duration': 4.651}, {'text': ""you're in front of it but that's our"", 'start': 95.13, 'duration': 6.69}, {'text': ""dinner and that is like I don't know how"", 'start': 98.52, 'duration': 7.23}, {'text': 'many okay Paige is excited about the', 'start': 101.82, 'duration': 7.589}, {'text': 'school work that is a lot of fish the', 'start': 105.75, 'duration': 6.84}, {'text': ""Moose stinks doesn't it McKenna you like"", 'start': 109.409, 'duration': 5.551}, {'text': 'the smell of a minute me to kind of just', 'start': 112.59, 'duration': 7.98}, {'text': ""smells like fish so yep we've boiled"", 'start': 114.96, 'duration': 8.16}, {'text': 'them to clean them', 'start': 120.57, 'duration': 4.53}, {'text': 'going here and then tonight with them', 'start': 123.12, 'duration': 6.03}, {'text': ""with let's go okay so here we go inside"", 'start': 125.1, 'duration': 6.24}, {'text': 'the spot is the minute you saw just a', 'start': 129.15, 'duration': 5.36}, {'text': 'minute ago this is how they looked Kooks', 'start': 131.34, 'duration': 5.7}, {'text': 'bunch of little fishies with their', 'start': 134.51, 'duration': 4.99}, {'text': ""little oh well he's missing his fish"", 'start': 137.04, 'duration': 6.63}, {'text': ""heads you're gonna eat it they're pretty"", 'start': 139.5, 'duration': 8.04}, {'text': 'good I like them then we have with it we', 'start': 143.67, 'duration': 7.41}, {'text': 'have sukima which is kale sorry I forgot', 'start': 147.54, 'duration': 5.43}, {'text': 'this month the English word this is kale', 'start': 151.08, 'duration': 4.86}, {'text': 'and spinach with tomatoes and onions and', 'start': 152.97, 'duration': 4.83}, {'text': ""stuff and then we're gonna eat it with"", 'start': 155.94, 'duration': 2.91}, {'text': 'Oh', 'start': 157.8, 'duration': 6.71}, {'text': 'oh my okay well this is a galley in here', 'start': 158.85, 'duration': 11.55}, {'text': ""there that's a galley the galley is"", 'start': 164.51, 'duration': 8.23}, {'text': ""eaten with your fingers so tonight don't"", 'start': 170.4, 'duration': 6.66}, {'text': ""see how we eat Kenyan South so now we're"", 'start': 172.74, 'duration': 6.77}, {'text': ""eating our omentum and if you'll notice"", 'start': 177.06, 'duration': 6.54}, {'text': 'see if I can zoom in here there are no', 'start': 179.51, 'duration': 7.36}, {'text': 'Forks no spoons no knives can you', 'start': 183.6, 'duration': 6.29}, {'text': 'demonstrate Melly help me do that', 'start': 186.87, 'duration': 7.589}, {'text': 'please I am first pinch off a piece of', 'start': 189.89, 'duration': 8.11}, {'text': 'agali yeah pinch off a piece of Bali', 'start': 194.459, 'duration': 6.081}, {'text': 'then you squeeze it in your hand you', 'start': 198.0, 'duration': 6.239}, {'text': 'wanted to make like a spoon right then', 'start': 200.54, 'duration': 7.66}, {'text': 'what do you do next you just pinch it to', 'start': 204.239, 'duration': 8.901}, {'text': ""use it that's it"", 'start': 208.2, 'duration': 4.94}]"
q7mX,NL24szGAM88,"[401, 2294]",
lvmX,NVeIRE7PjuQ,"[0, 215]",
JEmX,4VIE7Ztu2UU,"[0, 106, 3306]",
k1mX,t41Nn17k9Mg,"[0, 1, 35, 1687]",
blmX,-3SaPOf7dSI,"[0, 1, 5, 16]",
osmX,-7Dl_8Am5DY,"[3, 6, 8]",
BXmX,tUC1STf4qmM,"[0, 323]",
uimX,tYmTEk75QZM,[308],
ibmX,,"[0, 1, 42, 111, 431]",
MPmX,FoZV8igpx-w,"[5, 84, 169, 405]",
E5mX,FqtvUGxSOmw,"[133, 630, 1027]","[{'text': ""hey Frank it's New Years Eve we should"", 'start': 0.03, 'duration': 4.499}, {'text': ""do something why don't we go in my place"", 'start': 2.04, 'duration': 3.989}, {'text': ""I hear there's a heck of a party going"", 'start': 4.529, 'duration': 4.441}, {'text': 'on over there hey I learned my lesson', 'start': 6.029, 'duration': 4.951}, {'text': 'last year with you and your party will', 'start': 8.97, 'duration': 3.99}, {'text': 'mean learn to listen I want you to know', 'start': 10.98, 'duration': 4.14}, {'text': 'that that party cost me $300 just for', 'start': 12.96, 'duration': 5.489}, {'text': 'the ice sculpture of Raquel Welch I know', 'start': 15.12, 'duration': 7.01}, {'text': 'my lips were frostbitten for a week', 'start': 18.449, 'duration': 3.681}, {'text': 'Frank gave a big party at his hotel', 'start': 22.73, 'duration': 4.48}, {'text': ""suite you won't believe what happened I"", 'start': 24.93, 'duration': 4.55}, {'text': 'will', 'start': 27.21, 'duration': 2.27}, {'text': 'help yourself anything', 'start': 33.679, 'duration': 3.691}, {'text': 'hey what kind of party was that to me 87', 'start': 39.07, 'duration': 6.57}, {'text': 'girls and only two pounds of potato', 'start': 44.05, 'duration': 4.59}, {'text': 'salad yeah but I noticed you touched', 'start': 45.64, 'duration': 4.98}, {'text': 'everything but the potato salad', 'start': 48.64, 'duration': 4.65}, {'text': 'I gotta admit thank you really swing no', 'start': 50.62, 'duration': 4.619}, {'text': ""I don't need such a wild life you don't"", 'start': 53.29, 'duration': 3.78}, {'text': 'lead a wild life the how come every', 'start': 55.239, 'duration': 3.691}, {'text': 'priest in town is drawing lots to see', 'start': 57.07, 'duration': 4.91}, {'text': 'who takes your confession', 'start': 58.93, 'duration': 3.05}, {'text': 'I thought that women only looked like', 'start': 75.93, 'duration': 4.64}, {'text': 'that when I got up in the morning', 'start': 77.67, 'duration': 2.9}, {'text': 'see you to someplace before', 'start': 82.07, 'duration': 7.06}, {'text': ""don't tell me let me guess here to"", 'start': 85.26, 'duration': 8.43}, {'text': 'Italian yeah mm-hmm you from California', 'start': 89.13, 'duration': 5.34}, {'text': ""that's right"", 'start': 93.69, 'duration': 4.789}, {'text': 'you both yeah', 'start': 94.47, 'duration': 4.009}, {'text': ""the body's breaking up you'll have to"", 'start': 112.88, 'duration': 11.37}, {'text': ""leave that's all buster"", 'start': 115.32, 'duration': 8.93}, {'text': ""oh boy thanks if that's a friend of"", 'start': 172.04, 'duration': 6.3}, {'text': ""yours I hope she doesn't have a sister"", 'start': 176.599, 'duration': 6.681}, {'text': 'I need a drink yeah', 'start': 178.34, 'duration': 4.94}, {'text': 'will you please lady listen cover the', 'start': 191.38, 'duration': 3.66}, {'text': ""parakeet I think there's gonna be an"", 'start': 193.78, 'duration': 3.74}, {'text': 'ugly scene', 'start': 195.04, 'duration': 2.48}, {'text': 'what if there would be if my', 'start': 199.01, 'duration': 6.459}, {'text': ""girlfriend's knew that I was locked in a"", 'start': 202.579, 'duration': 5.86}, {'text': 'room with Frank Sinatra d money', 'start': 205.469, 'duration': 6.5}, {'text': 'my whole reputation would be sullied my', 'start': 208.439, 'duration': 7.16}, {'text': 'name would be dragged through', 'start': 211.969, 'duration': 3.63}, {'text': 'all right pal of mine get the key I', 'start': 225.95, 'duration': 9.09}, {'text': ""wouldn't go in there with a safari"", 'start': 230.51, 'duration': 4.53}, {'text': ""oh yes if there's one thing that turns"", 'start': 236.24, 'duration': 7.25}, {'text': 'me on aha', 'start': 240.08, 'duration': 3.41}, {'text': 'I lose what I always said felt like that', 'start': 246.36, 'duration': 6.66}, {'text': ""there's never a cop around when you need"", 'start': 251.22, 'duration': 4.25}, {'text': 'right now', 'start': 253.02, 'duration': 2.45}, {'text': ""oh boy I hope she doesn't come back I"", 'start': 258.69, 'duration': 9.17}, {'text': 'think I hurt myself', 'start': 264.93, 'duration': 2.93}, {'text': ""we're gonna wonderfully while I'm trying"", 'start': 276.689, 'duration': 10.0}, {'text': 'to save something till I after I get', 'start': 284.919, 'duration': 3.421}, {'text': ""married I didn't know you had anything"", 'start': 286.689, 'duration': 4.371}, {'text': 'lost shut', 'start': 288.34, 'duration': 2.72}, {'text': ""who's that hey hey don't stand there do"", 'start': 298.84, 'duration': 9.549}, {'text': ""something don't come in we're not decent"", 'start': 306.5, 'duration': 4.949}, {'text': ""oh that's great that's great and I used"", 'start': 308.389, 'duration': 8.31}, {'text': 'to think he was dumb come on now you', 'start': 311.449, 'duration': 6.871}, {'text': 'know I got things to watch how we got', 'start': 316.699, 'duration': 4.291}, {'text': 'people coming over what you said he was', 'start': 318.32, 'duration': 3.69}, {'text': 'with the Green Bay Packers', 'start': 320.99, 'duration': 3.53}, {'text': 'yes', 'start': 322.01, 'duration': 2.51}]"
