VWeW,IN9Uzw9Nxag,"[2, 17, 53, 58]",
wzeW,3s34fSPQ6lI,"[368, 1261]",
ZpeW,Ke9r-ldeX6g,"[0, 5]",
pGeW,KfFfDtIAWkA,[25],
UIeW,WS5xcB7K8Ww,"[11, 126]",
wNeW,UXO2L-eF36A,"[11, 20, 22, 29, 173, 930]",
hjeW,q7qG2JRXS1I,"[17, 19, 129]",
7SeW,q86nB47fRSE,[3463],"[{'text': ""hello this is Pelham I'm going to show"", 'start': 3.03, 'duration': 6.92}, {'text': 'you three favorite places in Shanghai', 'start': 6.09, 'duration': 3.86}, {'text': ""the first place I'm going to bring"", 'start': 23.75, 'duration': 4.96}, {'text': 'everyone is the flower market and here', 'start': 26.219, 'duration': 5.91}, {'text': 'say it is the biggest flower market in', 'start': 28.71, 'duration': 5.72}, {'text': 'Asia', 'start': 32.129, 'duration': 2.301}, {'text': 'Wow wah-wah-wah', 'start': 40.87, 'duration': 9.4}, {'text': 'look these are dyed blue roses and look', 'start': 44.78, 'duration': 10.14}, {'text': 'at these stuff animos stuffed toys bill', 'start': 50.27, 'duration': 6.81}, {'text': 'canes whales can you hide in this', 'start': 54.92, 'duration': 4.61}, {'text': 'kitchen', 'start': 57.08, 'duration': 2.45}, {'text': 'look at that this is the notice and', 'start': 64.189, 'duration': 8.341}, {'text': 'these are c-pod and you can actually eat', 'start': 67.039, 'duration': 7.79}, {'text': 'to this', 'start': 72.53, 'duration': 2.299}, {'text': 'all flowers here is actually all from', 'start': 78.24, 'duration': 6.69}, {'text': 'China several years ago many farmers', 'start': 81.6, 'duration': 7.199}, {'text': 'came to China and they planted all', 'start': 84.93, 'duration': 6.75}, {'text': 'different flowers from tropical flowers', 'start': 88.799, 'duration': 6.451}, {'text': 'to orchids so today when we look at what', 'start': 91.68, 'duration': 6.78}, {'text': 'is really the Chinese flower I think we', 'start': 95.25, 'duration': 6.929}, {'text': 'have to find really exotic local Chinese', 'start': 98.46, 'duration': 4.53}, {'text': 'flowers', 'start': 102.179, 'duration': 4.37}, {'text': 'I think this here is the longevity fruit', 'start': 102.99, 'duration': 7.169}, {'text': ""I've never seen this before and they"", 'start': 106.549, 'duration': 5.651}, {'text': ""occur longevity because it's called long"", 'start': 110.159, 'duration': 5.1}, {'text': 'living Wales can we actually find all', 'start': 112.2, 'duration': 6.029}, {'text': 'these mixture with the yeast mixing of', 'start': 115.259, 'duration': 5.25}, {'text': 'the West this is surely the place to', 'start': 118.229, 'duration': 4.491}, {'text': 'come', 'start': 120.509, 'duration': 2.211}, {'text': 'now we are one Street behind the bond', 'start': 128.149, 'duration': 7.18}, {'text': 'and this is surrounded by all these', 'start': 131.28, 'duration': 7.23}, {'text': 'preserved old buildings and in the midst', 'start': 135.329, 'duration': 6.03}, {'text': 'of this we have the rock wound Museum', 'start': 138.51, 'duration': 7.199}, {'text': ""and we're now going to meet showing the"", 'start': 141.359, 'duration': 7.041}, {'text': 'museum director', 'start': 145.709, 'duration': 2.691}, {'text': 'hey Shelly I love your Museum but the', 'start': 156.31, 'duration': 11.16}, {'text': 'museum itself what is it what are you', 'start': 165.459, 'duration': 4.711}, {'text': ""trying to yeah what's your vision yeah"", 'start': 167.47, 'duration': 5.01}, {'text': 'we really hope that the museum can serve', 'start': 170.17, 'duration': 5.1}, {'text': 'as a platform for contemporary art so we', 'start': 172.48, 'duration': 5.009}, {'text': 'are going to do some research and', 'start': 175.27, 'duration': 5.34}, {'text': 'exhibitions in introducing ours and for', 'start': 177.489, 'duration': 5.731}, {'text': 'the good artists not only from this', 'start': 180.61, 'duration': 5.28}, {'text': 'country but us abroad now this shows is', 'start': 183.22, 'duration': 4.2}, {'text': 'we are in the middle of you know', 'start': 185.89, 'duration': 5.78}, {'text': 'installation setting up a new exhibition', 'start': 187.42, 'duration': 4.25}, {'text': 'well today is a lucky day', 'start': 198.33, 'duration': 7.739}, {'text': 'the artist is here wow this is amazing', 'start': 200.739, 'duration': 8.851}, {'text': 'this is fantastic Hansol visit tomorrow', 'start': 206.069, 'duration': 6.64}, {'text': ""so much it's ours I gotta say as far as"", 'start': 209.59, 'duration': 5.399}, {'text': 'a woman some good sound a little too', 'start': 212.709, 'duration': 4.681}, {'text': 'perfect Fanta has been painting it and', 'start': 214.989, 'duration': 5.491}, {'text': 'and and the painting has been sent to be', 'start': 217.39, 'duration': 6.15}, {'text': 'printed on a film and after the film is', 'start': 220.48, 'duration': 4.86}, {'text': 'being done after this exhibition is', 'start': 223.54, 'duration': 4.35}, {'text': 'being done these who returned to Italy', 'start': 225.34, 'duration': 6.35}, {'text': 'to make interesting gas', 'start': 227.89, 'duration': 3.8}, {'text': 'you now road this road is lined with', 'start': 244.269, 'duration': 9.071}, {'text': 'restaurants or along to side is very', 'start': 249.14, 'duration': 7.2}, {'text': 'busy is a buzzy because people are dying', 'start': 253.34, 'duration': 5.699}, {'text': ""for happiness so now we're arriving at"", 'start': 256.34, 'duration': 6.84}, {'text': 'the seafood restaurant where everything', 'start': 259.039, 'duration': 5.701}, {'text': 'food that we have believed it has to be', 'start': 263.18, 'duration': 4.62}, {'text': ""alive yes we're swimming we don't want"", 'start': 264.74, 'duration': 5.85}, {'text': 'to eat that fish you can see everybody', 'start': 267.8, 'duration': 5.67}, {'text': 'here they are choosing a different kind', 'start': 270.59, 'duration': 7.56}, {'text': 'of seafood this place is very famous of', 'start': 273.47, 'duration': 8.43}, {'text': 'what steamed chicken', 'start': 278.15, 'duration': 7.38}, {'text': 'so specifically eating this famous dish', 'start': 281.9, 'duration': 9.299}, {'text': 'here yeah look I think now we should try', 'start': 285.53, 'duration': 8.84}, {'text': 'some Chinese barbecue', 'start': 291.199, 'duration': 3.171}, {'text': ""I don't think the West would be the the"", 'start': 298.62, 'duration': 7.74}, {'text': 'inside other and all the chicken but I', 'start': 303.78, 'duration': 6.99}, {'text': ""love it it's delicious and I suggest"", 'start': 306.36, 'duration': 5.79}, {'text': 'whatever ones you try something', 'start': 310.77, 'duration': 2.97}, {'text': 'different rather than going to', 'start': 312.15, 'duration': 3.51}, {'text': 'restaurant they should come here for', 'start': 313.74, 'duration': 16.92}, {'text': 'snacks we want to see your real cities', 'start': 315.66, 'duration': 17.52}, {'text': 'sending your photo of your home city and', 'start': 330.66, 'duration': 4.289}, {'text': ""we'll feature the best shots on our"", 'start': 333.18, 'duration': 4.65}, {'text': 'website and on BBC World News to find', 'start': 334.949, 'duration': 4.351}, {'text': 'out how to get involved visit our', 'start': 337.83, 'duration': 10.2}, {'text': 'website bbc.com slash the real the real', 'start': 339.3, 'duration': 10.83}, {'text': 'Berlin in association with', 'start': 348.03, 'duration': 4.38}, {'text': 'InterContinental Hotels and Resorts with', 'start': 350.13, 'duration': 4.62}, {'text': 'over 60 years experience connecting our', 'start': 352.41, 'duration': 6.35}, {'text': ""guests to what's truly unique"", 'start': 354.75, 'duration': 4.01}]"
mKeW,q8EgVti4X_g,"[227, 1010, 1907, 3555]",
EweW,q99QP0xq-CQ,"[0, 1, 27]","[{'text': 'this is Jack and this is going to be', 'start': 0.0, 'duration': 3.36}, {'text': 'minecraft beta 1.5 as you can see up', 'start': 1.35, 'duration': 4.56}, {'text': 'there update and this one is going to be', 'start': 3.36, 'duration': 5.46}, {'text': 'on the weather well this the reason this', 'start': 5.91, 'duration': 5.67}, {'text': 'is lost when I did was because it took', 'start': 8.82, 'duration': 4.109}, {'text': 'me a while to get the weather I was', 'start': 11.58, 'duration': 2.76}, {'text': 'actually just playing around i came out', 'start': 12.929, 'duration': 3.93}, {'text': 'of my mind and Boop i saw was raining so', 'start': 14.34, 'duration': 5.73}, {'text': 'I just kind of want to experiment move', 'start': 16.859, 'duration': 6.211}, {'text': 'over there yes every time I make one of', 'start': 20.07, 'duration': 7.379}, {'text': ""these I see a wolf and i'm getting a"", 'start': 23.07, 'duration': 5.61}, {'text': 'collection of them please still be there', 'start': 27.449, 'duration': 4.41}, {'text': 'yes okay so back to that point um I like', 'start': 28.68, 'duration': 6.32}, {'text': ""the way it looks when the rain it's the"", 'start': 31.859, 'duration': 5.371}, {'text': ""one I get it wasn't isn't really doing"", 'start': 35.0, 'duration': 6.03}, {'text': ""it right now oh maybe that's me on fancy"", 'start': 37.23, 'duration': 10.169}, {'text': ""graphics settings let's see if it yeah"", 'start': 41.03, 'duration': 9.04}, {'text': 'there we go I like it how would note', 'start': 47.399, 'duration': 5.84}, {'text': 'rain hit stuff', 'start': 50.07, 'duration': 3.169}, {'text': 'oh yeah she took six bills', 'start': 56.59, 'duration': 4.88}, {'text': 'okay stay there I like it how when it', 'start': 59.16, 'duration': 4.14}, {'text': 'rain is the NH the ground it does that', 'start': 61.47, 'duration': 3.81}, {'text': 'and on fancy graphics is only when it', 'start': 63.3, 'duration': 2.29}, {'text': 'does', 'start': 65.28, 'duration': 2.019}, {'text': ""yep and I've seen if it does anything"", 'start': 65.59, 'duration': 5.73}, {'text': 'throwing implants or what regular does I', 'start': 67.299, 'duration': 6.331}, {'text': 'wish I kind of I wish it would like go', 'start': 71.32, 'duration': 5.45}, {'text': 'up blocks like this with water', 'start': 73.63, 'duration': 3.14}, {'text': 'Drinker running around', 'start': 77.8, 'duration': 7.819}, {'text': ""I don't really see the water doing any"", 'start': 81.88, 'duration': 3.739}, {'text': 'um', 'start': 90.28, 'duration': 2.3}, {'text': 'I like when you woke up that was really', 'start': 93.35, 'duration': 4.199}, {'text': 'interesting and the sky got great which', 'start': 95.36, 'duration': 4.5}, {'text': ""makes it look like it's nighttime and I"", 'start': 97.549, 'duration': 3.691}, {'text': ""don't even really know what time is"", 'start': 99.86, 'duration': 3.48}, {'text': ""right now I don't have a watch but it"", 'start': 101.24, 'duration': 3.5}, {'text': 'might be making', 'start': 103.34, 'duration': 3.77}, {'text': ""the pastor I'm not sure"", 'start': 104.74, 'duration': 6.05}, {'text': ""the last time I checked it wasn't me"", 'start': 107.11, 'duration': 3.68}, {'text': 'skeleton respond Wow trains I gets dark', 'start': 111.03, 'duration': 6.3}, {'text': 'enough putting the spawn weeds when it', 'start': 113.67, 'duration': 6.9}, {'text': ""rains so um I haven't seen snow yet and"", 'start': 117.33, 'duration': 5.34}, {'text': ""I probably won't make a video on it"", 'start': 120.57, 'duration': 4.92}, {'text': 'unless I do I definitely be attached to', 'start': 122.67, 'duration': 6.759}, {'text': 'this video is a slow', 'start': 125.49, 'duration': 7.26}, {'text': 'I can neither mates', 'start': 129.429, 'duration': 3.321}, {'text': ""probably can't even hear my voice"", 'start': 132.87, 'duration': 4.91}, {'text': 'yeah like how stuff spawns in rain', 'start': 135.83, 'duration': 4.5}, {'text': ""that's really cool"", 'start': 137.78, 'duration': 5.06}, {'text': ""and when they dies they're a little like"", 'start': 140.33, 'duration': 8.33}, {'text': 'sizzle as the ransom see if I can find', 'start': 142.84, 'duration': 5.82}, {'text': 'is it then', 'start': 150.43, 'duration': 3.68}, {'text': 'because if you notice when you kill', 'start': 152.64, 'duration': 4.85}, {'text': 'something like smoke comes out of it', 'start': 154.11, 'duration': 3.38}, {'text': 'I wonder how long it rains for all right', 'start': 168.27, 'duration': 5.66}, {'text': 'well all right guys that was the weather', 'start': 171.27, 'duration': 5.14}, {'text': ""beta one point doesn't like"", 'start': 173.93, 'duration': 5.39}, {'text': 'that was the weather portion of beta 1.5', 'start': 176.41, 'duration': 5.3}, {'text': 'update', 'start': 179.32, 'duration': 2.39}, {'text': 'she liked the video si si le treasure', 'start': 183.33, 'duration': 5.66}]"
XveW,EVpvy0wB-QI,"[11, 20, 22, 29, 32, 444, 472, 506]","[{'text': 'good morning and welcome back to my', 'start': 3.859, 'duration': 4.751}, {'text': ""kitchen in northern Alberta now you're"", 'start': 6.45, 'duration': 3.81}, {'text': 'stuck in the hands of fuzzies chirping', 'start': 8.61, 'duration': 3.6}, {'text': ""on this quick little segment because I'm"", 'start': 10.26, 'duration': 4.14}, {'text': 'going to town I just want to get my', 'start': 12.21, 'duration': 5.1}, {'text': ""potatoes cooked and cooling while I'm"", 'start': 14.4, 'duration': 6.06}, {'text': ""gone to town I'm going to make for my"", 'start': 17.31, 'duration': 7.229}, {'text': 'first side a potato salad I absolutely', 'start': 20.46, 'duration': 6.659}, {'text': 'love this potato salad and I think with', 'start': 24.539, 'duration': 4.261}, {'text': 'the addition of some cream cheese in', 'start': 27.119, 'duration': 3.441}, {'text': 'this potato salad', 'start': 28.8, 'duration': 5.91}, {'text': ""what could go wrong I'm using two kinds"", 'start': 30.56, 'duration': 6.97}, {'text': ""of potatoes today I'm not exactly sure"", 'start': 34.71, 'duration': 5.0}, {'text': 'what kind they are because they are', 'start': 37.53, 'duration': 6.0}, {'text': 'commercially produced potato but my goal', 'start': 39.71, 'duration': 6.79}, {'text': 'here is I want some of the red skin and', 'start': 43.53, 'duration': 6.45}, {'text': 'some with a yellow skin these are both a', 'start': 46.5, 'duration': 6.93}, {'text': 'yellow-fleshed potato possibly a Yukon', 'start': 49.98, 'duration': 7.41}, {'text': ""Gold I don't know if I had girl on them"", 'start': 53.43, 'duration': 6.03}, {'text': 'I would not for sure what time they were', 'start': 57.39, 'duration': 5.64}, {'text': 'anyway my goal is I want to chop me into', 'start': 59.46, 'duration': 6.33}, {'text': 'the little bite-sized pieces that you', 'start': 63.03, 'duration': 6.18}, {'text': ""would have ashes a potato it's good I"", 'start': 65.79, 'duration': 6.3}, {'text': 'take the time now to cut them and then', 'start': 69.21, 'duration': 4.62}, {'text': ""that way I don't have to touch them and"", 'start': 72.09, 'duration': 4.62}, {'text': 'sugar just ready to roll so into the pot', 'start': 73.83, 'duration': 11.149}, {'text': 'bigger nice big pot for the potatoes', 'start': 76.71, 'duration': 12.06}, {'text': 'lots of potato salad wash the leftovers', 'start': 84.979, 'duration': 6.341}, {'text': 'my husband takes just in his lunch the', 'start': 88.77, 'duration': 4.68}, {'text': 'kids will have this first snack after', 'start': 91.32, 'duration': 5.07}, {'text': 'school they all really enjoy the potato', 'start': 93.45, 'duration': 5.27}, {'text': 'cell', 'start': 96.39, 'duration': 2.33}, {'text': ""we've got our potatoes cut we're going"", 'start': 101.25, 'duration': 7.0}, {'text': 'to just cover them with water add a nice', 'start': 105.07, 'duration': 6.479}, {'text': 'portion of salt let them come up to a', 'start': 108.25, 'duration': 5.549}, {'text': ""boil and then we're going to test them"", 'start': 111.549, 'duration': 3.721}, {'text': ""for doneness we don't want them"", 'start': 113.799, 'duration': 6.871}, {'text': 'overcooked as potatoes have been cooking', 'start': 115.27, 'duration': 8.07}, {'text': ""for about five minutes that's all of"", 'start': 120.67, 'duration': 4.47}, {'text': ""these take because y-you can't really"", 'start': 123.34, 'duration': 4.61}, {'text': ""really small so they don't flip much I'm"", 'start': 125.14, 'duration': 5.369}, {'text': 'draining them into the colander with a', 'start': 127.95, 'duration': 5.5}, {'text': 'bottle underneath because I want to save', 'start': 130.509, 'duration': 12.001}, {'text': 'the water to stop what I will save the', 'start': 133.45, 'duration': 16.53}, {'text': ""water hmm that's going to make some"", 'start': 142.51, 'duration': 10.68}, {'text': 'awesome soup stock these potatoes are', 'start': 149.98, 'duration': 7.05}, {'text': ""going to cool while I'm in town and then"", 'start': 153.19, 'duration': 7.29}, {'text': 'when I get back I can just put my potato', 'start': 157.03, 'duration': 5.37}, {'text': 'salad together top you later', 'start': 160.48, 'duration': 4.02}, {'text': 'welcome back to my kitchen in northern', 'start': 162.4, 'duration': 4.709}, {'text': ""Alberta the hockey games on now we can't"", 'start': 164.5, 'duration': 5.09}, {'text': 'make any noise in the kitchen huh okay', 'start': 167.109, 'duration': 6.111}, {'text': ""potato salad we're going to finish up"", 'start': 169.59, 'duration': 7.239}, {'text': 'can you see it can you see it good we', 'start': 173.22, 'duration': 6.609}, {'text': ""got six cups of chopped potatoes they're"", 'start': 176.829, 'duration': 6.451}, {'text': ""cooked they're cool just beautiful we"", 'start': 179.829, 'duration': 9.0}, {'text': 'need some chopped up flashes grabbing', 'start': 183.28, 'duration': 10.94}, {'text': 'some chopped up green snap green peas', 'start': 188.829, 'duration': 8.31}, {'text': 'reading a couple of tablespoons of', 'start': 194.22, 'duration': 6.79}, {'text': 'capers can you see those just beautiful', 'start': 197.139, 'duration': 7.741}, {'text': 'in the paper if they were great big', 'start': 201.01, 'duration': 6.24}, {'text': 'capers we would want them chopped up a', 'start': 204.88, 'duration': 4.8}, {'text': 'little bit was that nice peppery bite', 'start': 207.25, 'duration': 6.75}, {'text': ""but you don't want to too much teaspoon"", 'start': 209.68, 'duration': 10.86}, {'text': 'of my fabulous garlic okay half a', 'start': 214.0, 'duration': 11.22}, {'text': 'teaspoon of smoked chipotle pepper', 'start': 220.54, 'duration': 7.34}, {'text': 'enough powder', 'start': 225.22, 'duration': 2.66}, {'text': ""in here I've got mix two tablespoons of"", 'start': 228.67, 'duration': 8.98}, {'text': 'Philadelphia Cream Cheese this is the 95', 'start': 234.22, 'duration': 7.21}, {'text': 'percent fat free version the tuna fish', 'start': 237.65, 'duration': 6.68}, {'text': ""and 95 percent fat free version I'm in"", 'start': 241.43, 'duration': 8.39}, {'text': '95 percent so really really low fat and', 'start': 244.33, 'duration': 9.07}, {'text': ""we've got four tablespoons of my"", 'start': 249.82, 'duration': 11.77}, {'text': ""favorite mayonnaise we don't want to get"", 'start': 253.4, 'duration': 12.41}, {'text': 'too much dressing on this we want it', 'start': 261.59, 'duration': 10.53}, {'text': 'nicely dressed but not overdraft we want', 'start': 265.81, 'duration': 9.609}, {'text': 'a little bit of salt and pepper and', 'start': 272.12, 'duration': 7.74}, {'text': ""don't cheap out on the pepper good"", 'start': 275.419, 'duration': 6.021}, {'text': 'teaspoon of that', 'start': 279.86, 'duration': 5.34}, {'text': ""let's go 1/2 a teaspoon of salt checking"", 'start': 281.44, 'duration': 6.28}, {'text': 'it lit up until we know what it tastes', 'start': 285.2, 'duration': 2.7}, {'text': 'like', 'start': 287.72, 'duration': 3.03}, {'text': 'and then we can add more if we need it', 'start': 287.9, 'duration': 7.14}, {'text': 'Oh final thing you know me and my deals', 'start': 290.75, 'duration': 7.979}, {'text': 'or - okay I want a teaspoon of dill', 'start': 295.04, 'duration': 5.49}, {'text': 'remember this is fresh deal from my', 'start': 298.729, 'duration': 5.011}, {'text': 'garlic last year so I have no objections', 'start': 300.53, 'duration': 7.19}, {'text': 'to using a powdered dried product', 'start': 303.74, 'duration': 8.4}, {'text': ""remember I'm cheap I'm deep deep deep I"", 'start': 307.72, 'duration': 7.27}, {'text': ""just can't afford to do stuff like some"", 'start': 312.14, 'duration': 9.29}, {'text': ""other people let's share that that mmm"", 'start': 314.99, 'duration': 11.66}, {'text': ""there's nothing just fabulous thank you"", 'start': 321.43, 'duration': 8.799}, {'text': 'okay thank you watching the hockey game', 'start': 326.65, 'duration': 7.42}, {'text': 'with your dad no I want to like you you', 'start': 330.229, 'duration': 6.061}, {'text': ""want touch me we're going to watch a"", 'start': 334.07, 'duration': 4.59}, {'text': 'hockey head okay well you know much the', 'start': 336.29, 'duration': 4.02}, {'text': 'hockey game in a minute because really', 'start': 338.66, 'duration': 5.19}, {'text': ""this just takes a minute there's a"", 'start': 340.31, 'duration': 7.58}, {'text': 'perfect side dish to served with some', 'start': 343.85, 'duration': 7.11}, {'text': 'anything a pork tenderloin you could', 'start': 347.89, 'duration': 4.99}, {'text': 'serve it with a steak you could serve it', 'start': 350.96, 'duration': 3.84}, {'text': 'with hamburgers you could serve with', 'start': 352.88, 'duration': 4.62}, {'text': 'hamburgers you could serve it with pork', 'start': 354.8, 'duration': 6.57}, {'text': 'shop absolutely anything or cold cuts on', 'start': 357.5, 'duration': 6.81}, {'text': 'a really really hot day okay so ladies', 'start': 361.37, 'duration': 6.68}, {'text': 'and gentlemen once again', 'start': 364.31, 'duration': 3.74}, {'text': 'yeah', 'start': 369.749, 'duration': 2.66}, {'text': 'this is', 'start': 372.67, 'duration': 8.3}, {'text': 'my famous caper salad', 'start': 375.07, 'duration': 5.9}, {'text': 'hmm', 'start': 385.75, 'duration': 5.34}, {'text': 'mm-hmm', 'start': 388.09, 'duration': 3.0}, {'text': ""it's creamy"", 'start': 393.83, 'duration': 6.27}, {'text': ""it's smooth I've made this salad a"", 'start': 395.76, 'duration': 7.04}, {'text': 'thousand times without the cream cheese', 'start': 400.1, 'duration': 5.59}, {'text': 'but you know to add the cream cheese to', 'start': 402.8, 'duration': 8.049}, {'text': 'this excellent just excellent', 'start': 405.69, 'duration': 9.289}, {'text': 'I think this just might be fuckin', 'start': 410.849, 'duration': 4.13}, {'text': 'you', 'start': 416.72, 'duration': 2.06}]"
iAeW,G5DLGsfEGmc,"[6, 8]",
0IeW,yas3lLjorxI,"[26, 379]","[{'text': 'hello welcome to robot kingdom video', 'start': 11.12, 'duration': 6.579}, {'text': 'revealed following the guide Unicron now', 'start': 14.34, 'duration': 5.279}, {'text': 'we have the product sample of tequila', 'start': 17.699, 'duration': 5.851}, {'text': 'Transformers Prime am 20 Ironhide there', 'start': 19.619, 'duration': 5.521}, {'text': 'was a rumor that iron high should be', 'start': 23.55, 'duration': 4.349}, {'text': 'released in has book version however', 'start': 25.14, 'duration': 5.61}, {'text': 'that was confirmed it as surgeon cup a', 'start': 27.899, 'duration': 5.791}, {'text': 'ripping of a high in green color so', 'start': 30.75, 'duration': 6.69}, {'text': ""let's have a look at a box so justly"", 'start': 33.69, 'duration': 6.99}, {'text': 'similar to the other arms microns deluxe', 'start': 37.44, 'duration': 5.76}, {'text': 'II rest that you have no windows to see', 'start': 40.68, 'duration': 6.6}, {'text': 'the real product and on the back you', 'start': 43.2, 'duration': 7.289}, {'text': 'have some description and how you can', 'start': 47.28, 'duration': 6.6}, {'text': 'pray with our arms microns and this is', 'start': 50.489, 'duration': 8.551}, {'text': 'the one micron that come with unhide the', 'start': 53.88, 'duration': 8.51}, {'text': 'side there are some more pictures', 'start': 59.04, 'duration': 3.35}, {'text': 'also here where you have the technical', 'start': 64.21, 'duration': 10.949}, {'text': 'data here is what you get from the', 'start': 67.15, 'duration': 11.6}, {'text': 'package there are two menus one for the', 'start': 75.159, 'duration': 6.361}, {'text': 'iron hi yourself and one for the arms', 'start': 78.75, 'duration': 7.96}, {'text': 'microns and introduction chased for the', 'start': 81.52, 'duration': 12.75}, {'text': 'upcoming series sticker and the arms', 'start': 86.71, 'duration': 13.469}, {'text': 'microns also with an hi and welcome Oh', 'start': 94.27, 'duration': 8.73}, {'text': 'since is packed it in welcome oh so this', 'start': 100.179, 'duration': 5.521}, {'text': 'time we will start the review from this', 'start': 103.0, 'duration': 5.31}, {'text': ""movers so let's start with the review of"", 'start': 105.7, 'duration': 6.089}, {'text': 'the local movers you can see the', 'start': 108.31, 'duration': 9.68}, {'text': 'painting that with the silver paint and', 'start': 111.789, 'duration': 13.62}, {'text': 'here is where the fit is hidden and from', 'start': 117.99, 'duration': 9.839}, {'text': 'this side this window you can see the', 'start': 125.409, 'duration': 8.851}, {'text': 'the hand is hidden here and this is the', 'start': 127.829, 'duration': 10.72}, {'text': 'body parts so now we will proceed to the', 'start': 134.26, 'duration': 7.74}, {'text': 'transformation so for the transformation', 'start': 138.549, 'duration': 6.681}, {'text': 'first you can start with taking out a', 'start': 142.0, 'duration': 12.6}, {'text': 'arm first here and practice two pins so', 'start': 145.23, 'duration': 11.57}, {'text': 'you can put it a little bit up', 'start': 154.6, 'duration': 8.89}, {'text': 'and then you have the arms food and then', 'start': 156.8, 'duration': 10.46}, {'text': 'this part you need to put them together', 'start': 163.49, 'duration': 7.65}, {'text': ""so here's instead punch so the same on"", 'start': 167.26, 'duration': 14.35}, {'text': 'this side and then we need to make it', 'start': 171.14, 'duration': 19.91}, {'text': 'loose so and move this shoulder part out', 'start': 181.61, 'duration': 9.44}, {'text': 'like this you can move the arm in this', 'start': 191.23, 'duration': 9.24}, {'text': 'direction', 'start': 198.26, 'duration': 2.21}, {'text': 'and by pushing this hot and you will', 'start': 207.81, 'duration': 11.08}, {'text': 'have a hat pop out and for the lips you', 'start': 211.12, 'duration': 11.369}, {'text': 'just need to rotate this way and turn', 'start': 218.89, 'duration': 8.7}, {'text': 'out the feet move it in this direction', 'start': 222.489, 'duration': 9.271}, {'text': 'and locate it so the same on the other', 'start': 227.59, 'duration': 16.53}, {'text': ""side lastly is the g-spot it's a little"", 'start': 231.76, 'duration': 20.43}, {'text': 'bit tight here pause it out and this', 'start': 244.12, 'duration': 14.16}, {'text': 'part you can move this but this you can', 'start': 252.19, 'duration': 14.15}, {'text': 'pop out easy so lastly you just need to', 'start': 258.28, 'duration': 17.43}, {'text': 'put a shoulder part here so this is the', 'start': 266.34, 'duration': 13.71}, {'text': 'robot mode of Ironhide', 'start': 275.71, 'duration': 4.34}, {'text': ""so now let's have a look at the robot"", 'start': 282.93, 'duration': 7.389}, {'text': 'mode so because of the shoulder armor it', 'start': 285.639, 'duration': 10.291}, {'text': 'limits the articulation a little bit you', 'start': 290.319, 'duration': 9.63}, {'text': 'can turn here this so this is more than', 'start': 295.93, 'duration': 9.629}, {'text': '90 degrees a little bit hold the legs', 'start': 299.949, 'duration': 10.5}, {'text': 'you can move forward that work outward', 'start': 305.559, 'duration': 10.89}, {'text': 'rotate so for the feet you can cause it', 'start': 310.449, 'duration': 11.58}, {'text': 'this is for joints so you can turn you', 'start': 316.449, 'duration': 11.071}, {'text': 'can turn like this maybe you can use', 'start': 322.029, 'duration': 9.961}, {'text': 'this joint too so you can make a post', 'start': 327.52, 'duration': 6.509}, {'text': 'like this and the feet is still sticking', 'start': 331.99, 'duration': 8.699}, {'text': 'on the ground so this is the back with', 'start': 334.029, 'duration': 9.6}, {'text': 'this part is a little bit weird but you', 'start': 340.689, 'duration': 7.831}, {'text': 'can pop it out start again like this', 'start': 343.629, 'duration': 10.35}, {'text': 'that will make it looks better so this', 'start': 348.52, 'duration': 8.34}, {'text': 'is the review of the am 20 iron hi thank', 'start': 353.979, 'duration': 5.33}, {'text': 'you for watching', 'start': 356.86, 'duration': 2.449}, {'text': 'you', 'start': 361.289, 'duration': 2.06}]"
LheW,UL0I-mLznaY,[835],
kVeW,,"[0, 1, 27, 1487]",
vleW,S8xt2qFaaHc,"[3, 4, 13, 41, 54]",
