GQOf,bm-x2zlsd8o,"[21, 23, 2835]",
CQPG,,"[5, 516]",
YUPG,dYJkeJPRlQI,[14],
QMPG,dkQANKK4h7U,"[6, 8]",
7hPG,GQBKS_7LH40,[8],
kOPG,GgD0PlMUUiQ,"[46, 107, 109, 114, 138, 145, 602, 1883]",
NtPG,oqxyl0TTXzc,"[645, 741, 1143]","[{'text': ""okay I don't want to sound like excited"", 'start': 0.62, 'duration': 4.359}, {'text': 'or anything but this is kind of a first', 'start': 3.419, 'duration': 5.1}, {'text': 'for me this is my first completely from', 'start': 4.979, 'duration': 5.851}, {'text': 'scratch saber and it happens to be a', 'start': 8.519, 'duration': 5.551}, {'text': ""brass saber it's all shiny right now it"", 'start': 10.83, 'duration': 4.92}, {'text': 'takes about 20 minutes for it to get', 'start': 14.07, 'duration': 4.83}, {'text': 'tarnished from handling it but polished', 'start': 15.75, 'duration': 7.5}, {'text': 'her up for this little video and start', 'start': 18.9, 'duration': 6.78}, {'text': 'by saying that everything is fabricated', 'start': 23.25, 'duration': 4.38}, {'text': 'on it except of course the master', 'start': 25.68, 'duration': 4.26}, {'text': 'replicas soundboard and the speaker and', 'start': 27.63, 'duration': 4.589}, {'text': ""the switch and of course I didn't make"", 'start': 29.94, 'duration': 4.68}, {'text': 'the screws either but all of the the', 'start': 32.219, 'duration': 4.951}, {'text': 'brass and the emitter and the blade', 'start': 34.62, 'duration': 4.77}, {'text': ""holder and oh hey it didn't make the"", 'start': 37.17, 'duration': 5.13}, {'text': ""d-ring either but anyway we'll start"", 'start': 39.39, 'duration': 4.41}, {'text': ""I'll start by looking here there's a"", 'start': 42.3, 'duration': 3.329}, {'text': ""there's a grill it's kinda hard to see"", 'start': 43.8, 'duration': 3.689}, {'text': ""in the video but it's kind of a mesh"", 'start': 45.629, 'duration': 5.03}, {'text': 'grill covering the pommel here as a', 'start': 47.489, 'duration': 8.67}, {'text': 'd-ring holding the pommel on and the', 'start': 50.659, 'duration': 8.351}, {'text': ""emitter here there's an aluminum one"", 'start': 56.159, 'duration': 7.11}, {'text': 'inch 1.09 internal diameter emitter', 'start': 59.01, 'duration': 14.28}, {'text': 'there and this is 1.25 OD 1.03 79 I', 'start': 63.269, 'duration': 14.041}, {'text': 'think brass tube from online metals and', 'start': 73.29, 'duration': 10.79}, {'text': 'a brass switch it has a master replicas', 'start': 77.31, 'duration': 11.31}, {'text': 'Jedi board in it and a brass blade set', 'start': 84.08, 'duration': 9.46}, {'text': ""screw in there so we'll fire it up sorry"", 'start': 88.62, 'duration': 11.429}, {'text': 'graven the board is driving the', 'start': 93.54, 'duration': 9.49}, {'text': 'boards driving this led and this is a', 'start': 100.049, 'duration': 5.14}, {'text': 'bin once I an everybody I think figured', 'start': 103.03, 'duration': 4.729}, {'text': ""out by now that that's my favorite color"", 'start': 105.189, 'duration': 5.401}, {'text': 'actually been to really is that those', 'start': 107.759, 'duration': 4.72}, {'text': 'are left five than the efficient at', 'start': 110.59, 'duration': 8.58}, {'text': ""those yet all right there's not a whole"", 'start': 112.479, 'duration': 8.221}, {'text': ""lot of room in this sucker man i'll tell"", 'start': 119.17, 'duration': 3.839}, {'text': 'you the questions is right behind the', 'start': 120.7, 'duration': 8.13}, {'text': 'heatsink and anyway thanks for looking', 'start': 123.009, 'duration': 10.2}, {'text': ""and I'll get to work on more Sarge saber"", 'start': 128.83, 'duration': 6.65}, {'text': 'cane', 'start': 133.209, 'duration': 2.271}]"
lgPG,ouFMGc9JLAU,"[6, 8]",
mrPG,PSKkP3_7TBY,"[2, 7]",
anPG,PX8s2Q5xRFA,"[3, 4, 6, 10]",
PXPG,5xUUvEHl2fs,"[2, 45, 51, 56, 77, 137, 456, 721]",
DTPG,5yvxCEKqqkQ,"[141, 247, 255]",
mpPG,6-uUtmtqv6E,"[2, 7, 165, 373, 415, 566, 1689]","[{'text': ""hey guys I'm amber and we're just"", 'start': 5.58, 'duration': 4.389}, {'text': 'kicking off the 25th anniversary car', 'start': 8.049, 'duration': 4.231}, {'text': ""shows with BBK performance and there's a"", 'start': 9.969, 'duration': 4.021}, {'text': 'lot of really cool cars showing up so', 'start': 12.28, 'duration': 4.429}, {'text': ""let's go see what they've got"", 'start': 13.99, 'duration': 2.719}, {'text': ""I'm here talking to grant we're looking"", 'start': 43.25, 'duration': 4.15}, {'text': 'at his Camaro tell me what kind of work', 'start': 45.78, 'duration': 3.21}, {'text': ""you've done in your car it's had a"", 'start': 47.4, 'duration': 4.29}, {'text': 'complete body change full hood full', 'start': 48.99, 'duration': 5.01}, {'text': 'bumper all custom paint full sound', 'start': 51.69, 'duration': 4.94}, {'text': 'system has an iPad built into the dash', 'start': 54.0, 'duration': 5.13}, {'text': 'to twelve subs in the back and I', 'start': 56.63, 'duration': 4.18}, {'text': 'actually just bought a supercharger', 'start': 59.13, 'duration': 3.93}, {'text': ""should go in next week and you've only"", 'start': 60.81, 'duration': 4.02}, {'text': 'had it a little while right yeah ten', 'start': 63.06, 'duration': 4.89}, {'text': 'months now by end of November have you', 'start': 64.83, 'duration': 5.45}, {'text': 'ever owned any other Camaro yeah I had a', 'start': 67.95, 'duration': 6.93}, {'text': '2010 v6 and traded up one a little more', 'start': 70.28, 'duration': 7.089}, {'text': 'power well good well thanks for coming', 'start': 74.88, 'duration': 4.11}, {'text': 'out today one of the cool things about', 'start': 77.369, 'duration': 4.081}, {'text': ""today's car show is BBK is offering free"", 'start': 78.99, 'duration': 4.29}, {'text': 'dyno testing so pretty much anybody here', 'start': 81.45, 'duration': 3.57}, {'text': 'can throw their car on the dyno and see', 'start': 83.28, 'duration': 3.63}, {'text': ""what kind of power they're making so I"", 'start': 85.02, 'duration': 3.15}, {'text': 'were about to start the very first round', 'start': 86.91, 'duration': 4.52}, {'text': ""right now so let's check it out"", 'start': 88.17, 'duration': 3.26}, {'text': ""I'm hanging out with one we just"", 'start': 95.159, 'duration': 3.21}, {'text': 'strapped his car down to the dyno so', 'start': 96.54, 'duration': 4.679}, {'text': 'what are we happier that a 1980 Oh', 'start': 98.369, 'duration': 5.42}, {'text': 'Mustang a couple of few mods', 'start': 101.219, 'duration': 6.69}, {'text': 'hey if our heads 185 ProCharger and a', 'start': 103.789, 'duration': 6.43}, {'text': 'couple of more bolt on cam stuff like', 'start': 107.909, 'duration': 3.691}, {'text': 'that what kind of horsepower do you', 'start': 110.219, 'duration': 4.11}, {'text': ""think we're gonna see today around 380"", 'start': 111.6, 'duration': 5.339}, {'text': 'maybe a little bit more all right so', 'start': 114.329, 'duration': 3.811}, {'text': 'just wrapping it down right now as you', 'start': 116.939, 'duration': 4.401}, {'text': ""can see so let's see we can get"", 'start': 118.14, 'duration': 3.2}, {'text': 'whan your Mustang was pushing 420', 'start': 135.06, 'duration': 5.92}, {'text': 'horsepower would feel it a little bit', 'start': 138.61, 'duration': 6.09}, {'text': 'surprised running our regular castle I', 'start': 140.98, 'duration': 8.28}, {'text': ""think make something bit more let's see"", 'start': 144.7, 'duration': 6.119}, {'text': 'what the other cars can show us today', 'start': 149.26, 'duration': 3.24}, {'text': ""we're pretty surprised that's the first"", 'start': 150.819, 'duration': 2.31}, {'text': 'one of the day', 'start': 152.5, 'duration': 2.37}, {'text': ""but I think we're gonna see some pretty"", 'start': 153.129, 'duration': 3.901}, {'text': 'hefty competition so thanks for coming', 'start': 154.87, 'duration': 4.89}, {'text': 'out one of the coolest show cars that', 'start': 157.03, 'duration': 5.01}, {'text': 'got here today is right behind me and', 'start': 159.76, 'duration': 3.63}, {'text': ""we're about to go talk to the owner so"", 'start': 162.04, 'duration': 2.22}, {'text': ""let's go check it out"", 'start': 163.39, 'duration': 2.25}, {'text': 'so Larry where are you coming out from', 'start': 164.26, 'duration': 3.03}, {'text': ""today I'm coming up from El Cajon"", 'start': 165.64, 'duration': 3.78}, {'text': 'California down by San Diego down the', 'start': 167.29, 'duration': 4.08}, {'text': 'East County tell me what we got here', 'start': 169.42, 'duration': 5.27}, {'text': 'well what we got is a 2008 Mustang GT', 'start': 171.37, 'duration': 5.899}, {'text': ""it's been repainted originally was black"", 'start': 174.69, 'duration': 7.719}, {'text': 'what we got is a 4.6 v8 and I got a lot', 'start': 177.269, 'duration': 7.991}, {'text': 'of BBK products so between the polished', 'start': 182.409, 'duration': 4.651}, {'text': 'aluminum and the chrome we have the', 'start': 185.26, 'duration': 4.71}, {'text': 'engine a customized interior and', 'start': 187.06, 'duration': 4.92}, {'text': 'hopefully get to see that but I really', 'start': 189.97, 'duration': 2.43}, {'text': 'love it', 'start': 191.98, 'duration': 2.61}, {'text': ""today Magnus it's named after my"", 'start': 192.4, 'duration': 5.64}, {'text': ""grandfather and it's real personal to me"", 'start': 194.59, 'duration': 6.109}, {'text': 'and it shows really well and I', 'start': 198.04, 'duration': 4.89}, {'text': 'appreciate all this stuff that BBK is', 'start': 200.699, 'duration': 5.531}, {'text': ""provided to enhance my car and that's"", 'start': 202.93, 'duration': 4.44}, {'text': 'why I drove all the way up here you just', 'start': 206.23, 'duration': 3.569}, {'text': 'show my respect so we put a lot of cars', 'start': 207.37, 'duration': 3.81}, {'text': 'to the dyno test over there but now', 'start': 209.799, 'duration': 3.03}, {'text': ""we're over here across the street and"", 'start': 211.18, 'duration': 3.389}, {'text': ""we're gonna put some cars the DB meter"", 'start': 212.829, 'duration': 3.66}, {'text': 'tests to see which ones here can', 'start': 214.569, 'duration': 3.51}, {'text': 'actually be the loudest and the winner', 'start': 216.489, 'duration': 3.451}, {'text': 'will walk home with a lovely gift', 'start': 218.079, 'duration': 3.78}, {'text': 'certificate to get some new BBK parts', 'start': 219.94, 'duration': 4.579}, {'text': ""let's check it out"", 'start': 221.859, 'duration': 2.66}, {'text': 'all right a first-place winner hundred', 'start': 242.069, 'duration': 7.351}, {'text': 'dollar gift certificate goes to the 2013', 'start': 245.47, 'duration': 7.189}, {'text': '5.0 Mustang', 'start': 249.42, 'duration': 3.239}, {'text': 'I did', 'start': 259.57, 'duration': 27.41}, {'text': ""BBK have got everything today we've got"", 'start': 297.57, 'duration': 4.9}, {'text': ""music we thought amazing food and we're"", 'start': 300.1, 'duration': 4.11}, {'text': ""raffling off some fights today so let's"", 'start': 302.47, 'duration': 4.76}, {'text': ""see who's gonna walk away with something"", 'start': 304.21, 'duration': 3.02}, {'text': 'all right ladies and gentlemen here we', 'start': 308.16, 'duration': 10.39}, {'text': ""get a picture we have a two o'clock tour"", 'start': 314.35, 'duration': 6.78}, {'text': ""of the facilities that's always fun so"", 'start': 318.55, 'duration': 5.54}, {'text': 'be ready for that', 'start': 321.13, 'duration': 2.96}, {'text': 'another successful car show here at BBK', 'start': 355.83, 'duration': 4.589}, {'text': 'performance it was such a great day and', 'start': 358.409, 'duration': 3.63}, {'text': 'thank you so much to all of our loyal', 'start': 360.419, 'duration': 3.18}, {'text': ""customers and we can't wait to see you"", 'start': 362.039, 'duration': 3.861}, {'text': 'next year', 'start': 363.599, 'duration': 2.301}]"
GnPG,60fqP8H3ZYY,"[4, 9, 10, 34]",
kJPG,uSCtRrFqIZI,"[18, 43, 59, 101]",
7pPG,svsUmZSWP68,"[15, 18, 59, 178, 669]",
qtPG,v9VynfQA3Zw,"[2, 7, 174, 2835]",
45PG,6b0CmYthxvQ,"[15, 96, 146, 289, 363, 3346]",
g9PG,E445MxyQU3c,[14],
o3PG,eXBIXCObnTs,"[0, 52, 70]",
aWPG,z_qnVkqAcqg,"[311, 360, 705, 2596, 2786]",
aiPG,im9eb011ZHc,"[66, 2337]","[{'text': 'Color and Aggressiveness Which Color of Clothing\nMakes A Man Appear Most Aggressive', 'start': 0.179, 'duration': 1.0}, {'text': '[0:00:00]', 'start': 1.179, 'duration': 1.0}, {'text': 'Hi!', 'start': 2.179, 'duration': 1.0}, {'text': ""I'm Antonio Centeno."", 'start': 3.179, 'duration': 1.0}, {'text': ""I'm the founder of Real Men Real Style."", 'start': 4.179, 'duration': 1.0}, {'text': ""Today, gentlemen, we're going to be talking\nabout color and aggressiveness."", 'start': 5.179, 'duration': 2.981}, {'text': ""Which color do you think, when a man wears\nit, he's going to appear more aggressive?"", 'start': 8.16, 'duration': 6.58}, {'text': 'This is based off a 2013 study that was done\nover in the Czech Republic.', 'start': 14.74, 'duration': 4.08}, {'text': 'It appeared in the Studia Psychologica.', 'start': 18.82, 'duration': 3.59}, {'text': ""Sorry, it's one of those Italian journals."", 'start': 22.41, 'duration': 4.34}, {'text': 'The point is they went out there, they did\nthe research, and they came to a very clear', 'start': 26.75, 'duration': 5.15}, {'text': ""conclusion, and that is that there is a color\nthat you could wear and you're going to be"", 'start': 31.9, 'duration': 4.499}, {'text': 'perceived as more aggressive.', 'start': 36.399, 'duration': 1.701}, {'text': 'Why is this important?', 'start': 38.1, 'duration': 1.22}, {'text': ""Well, let's think that you're wanting to send\nthat message of aggression or you're wanting"", 'start': 39.32, 'duration': 5.08}, {'text': 'to minimize it.', 'start': 44.4, 'duration': 1.79}, {'text': 'The key is you want to be able to control\nyour presentation, your image in any situation,', 'start': 46.19, 'duration': 4.75}, {'text': 'and that’s what I shoot for here in Real\nMen Real Style.', 'start': 50.94, 'duration': 2.91}, {'text': ""Now, before we get into these, guys, I'm going\nto ask you to subscribe to my YouTube channel."", 'start': 53.85, 'duration': 3.82}, {'text': 'That way, these videos come right to you.', 'start': 57.67, 'duration': 1.61}, {'text': 'In addition, if you like this, if you find\nit useful, I\'d appreciate the ""like"" and let', 'start': 59.28, 'duration': 3.001}, {'text': 'me know in the comments down below.', 'start': 62.281, 'duration': 1.848}, {'text': 'Do you like these new types of videos?', 'start': 64.129, 'duration': 1.231}, {'text': ""I'm trying to bring in a bit more science,\ntrying to bring in a bit more history, and"", 'start': 65.36, 'duration': 3.97}, {'text': ""I'm bringing in my experience as a custom\nclothier having helped thousands of men craft"", 'start': 69.33, 'duration': 4.48}, {'text': 'their wardrobes so that I can give you better\nadvise so you can dress better and you can', 'start': 73.81, 'duration': 3.93}, {'text': 'use clothing to get what you want out of life.', 'start': 77.74, 'duration': 3.23}, {'text': 'Okay, guys, so getting back to that 2013 study,\nwhat color is it?', 'start': 80.97, 'duration': 4.73}, {'text': ""Straight up, it's black."", 'start': 85.7, 'duration': 1.68}, {'text': ""They found that the color black, whenever\na man wears it, he's almost always going to"", 'start': 87.38, 'duration': 5.04}, {'text': 'be perceived as aggressive -- in some cases,\nreally aggressive.', 'start': 92.42, 'duration': 5.75}, {'text': 'So what they did is they took a man and a\nwoman and they put them on -- they took about', 'start': 98.17, 'duration': 4.34}, {'text': '500 students.', 'start': 102.51, 'duration': 2.69}, {'text': 'They showed them these pictures and they gave\nthem a few things that they had to presume.', 'start': 105.2, 'duration': 4.43}, {'text': ""One of them, they said that you're looking\nat a violent criminal."", 'start': 109.63, 'duration': 2.84}, {'text': ""Another one, you're looking at a possible\napplicant for I think some type of law position"", 'start': 112.47, 'duration': 6.509}, {'text': 'with the state prosecutor.', 'start': 118.979, 'duration': 1.541}, {'text': 'Basically, one of them was a bit more prestigious,\nthe other one was considered to be aggressive.', 'start': 120.52, 'duration': 6.02}, {'text': 'They put them and they just manipulated this\nwith a computer, their outfits, and they went', 'start': 126.54, 'duration': 4.099}, {'text': 'from being black to being gray.', 'start': 130.639, 'duration': 1.91}, {'text': 'Now, the reason they had the different things\nthat they were saying is they wanted to see', 'start': 132.549, 'duration': 3.94}, {'text': 'does it affect how a person is respected.', 'start': 136.489, 'duration': 4.53}, {'text': ""I would naturally think that the darker color\nyou wear, the more respectable you're going"", 'start': 141.019, 'duration': 5.25}, {'text': 'to be.', 'start': 146.269, 'duration': 1.25}, {'text': ""I would have guessed that if you're wearing\na darker color, you're going to be perceived"", 'start': 147.519, 'duration': 3.44}, {'text': 'as being more aggressive.', 'start': 150.959, 'duration': 1.23}, {'text': 'Now, what they did find is yes, for men, the\ndarker color, the black, was consistently', 'start': 152.189, 'duration': 6.88}, {'text': 'perceived as being more aggressive.', 'start': 159.069, 'duration': 2.491}, {'text': 'Every time a guy was in black, he was always\nseen as more aggressive especially if we were', 'start': 161.56, 'duration': 6.009}, {'text': ""told that he's a violent criminal."", 'start': 167.569, 'duration': 3.21}, {'text': 'And even when they didn’t say anything,\nhe was slightly seen as more aggressive.', 'start': 170.779, 'duration': 4.02}, {'text': ""Now, what's interesting is the respect level."", 'start': 174.799, 'duration': 2.72}, {'text': ""It didn’t really change whether it's gray,\nwhether it's black."", 'start': 177.519, 'duration': 3.59}, {'text': ""It's the same level of respect."", 'start': 181.109, 'duration': 2.071}, {'text': 'So what can we pull from this information?', 'start': 183.18, 'duration': 2.069}, {'text': ""Well, I am going to say that be aware that\nif you're wearing a black sweater, wearing"", 'start': 185.249, 'duration': 4.71}, {'text': 'a black suit, you are going to be sending\noff a message, a signal especially as a man', 'start': 189.959, 'duration': 5.381}, {'text': ""that you are more aggressive, and that may\nnot be something -- if you're wanting to work"", 'start': 195.34, 'duration': 5.019}, {'text': ""with a group and you want them to open up\nto you, let's say you're a counselor or you're"", 'start': 200.359, 'duration': 3.69}, {'text': ""in the Court of Law and you're going to be\ngoing in and trying to plead your case, do"", 'start': 204.049, 'duration': 3.381}, {'text': ""you want to look aggressive especially if\nyou're being accused of being aggressive?"", 'start': 207.43, 'duration': 5.72}, {'text': ""So make sure that you're controlling the message."", 'start': 213.15, 'duration': 2.619}, {'text': 'Now, you may say, ""Antonio, I want to be respected.""', 'start': 215.769, 'duration': 2.89}, {'text': 'Then wear a gray suit.', 'start': 218.659, 'duration': 2.19}, {'text': 'Maybe wear a dark blue suit.', 'start': 220.849, 'duration': 2.07}, {'text': ""Wear something though that isn't going to\nsend that message of aggression."", 'start': 222.919, 'duration': 3.481}, {'text': ""Now, on the other hand, if you're a football\ncoach or you've got a sports team and you"", 'start': 226.4, 'duration': 5.741}, {'text': 'want them to be a bit more aggressive, well,\nmaybe you want to get a black color for the', 'start': 232.141, 'duration': 4.708}, {'text': ""team and they're going to come off as a bit\nmore aggressive."", 'start': 236.849, 'duration': 2.89}, {'text': 'If you think about it, the Oakland Raiders,\ndoesn’t that make sense?', 'start': 239.739, 'duration': 3.75}, {'text': ""They've always had this feeling of being a\nvery aggressive team."", 'start': 243.489, 'duration': 3.67}, {'text': ""I've always thought that it did have to do\nwith their colors and here we've got some"", 'start': 247.159, 'duration': 3.0}, {'text': 'science that backs that up.', 'start': 250.159, 'duration': 1.95}, {'text': 'So guys, let me know what you think of this\nvideo, if you enjoyed it.', 'start': 252.109, 'duration': 3.401}, {'text': 'Go check out the article over at Real Men\nReal Style.', 'start': 255.51, 'duration': 2.05}, {'text': ""I go into it a lot more over there and I'll\nlink over to the research."", 'start': 257.56, 'duration': 3.37}, {'text': 'Hopefully you enjoyed this.', 'start': 260.93, 'duration': 1.0}, {'text': 'See you in the next video.', 'start': 261.93, 'duration': 1.0}, {'text': 'Take care.', 'start': 262.93, 'duration': 1.0}, {'text': 'Bye.', 'start': 263.93, 'duration': 1.0}, {'text': '[0:04:34] End of Audio', 'start': 264.93, 'duration': 0.004}]"
IfPG,B5UAfQi9ER8,"[5, 1902]",
YwPG,,"[0, 12]",
jvPG,5Js0ZeMBZWw,"[68, 72, 1826, 2988]",
uFPG,5Pmq5cWx-es,"[53, 58, 163, 166, 228, 232, 333]",
1IPG,3Y7rp_Ha-qA,[9],"[{'text': ""what are you doing today we're in the"", 'start': 2.81, 'duration': 4.089}, {'text': ""woods we're gonna fight a bear I finally"", 'start': 4.799, 'duration': 6.081}, {'text': 'came to push the fight a bigger', 'start': 6.899, 'duration': 3.981}, {'text': 'ah', 'start': 37.8, 'duration': 2.029}, {'text': 'you', 'start': 45.36, 'duration': 2.06}, {'text': 'I', 'start': 54.52, 'duration': 2.03}, {'text': 'we', 'start': 58.76, 'duration': 3.0}, {'text': ""alright Chris are we doing today we're"", 'start': 171.95, 'duration': 5.5}, {'text': 'gonna go slumming oh come on man all', 'start': 174.75, 'duration': 7.89}, {'text': 'right Chris what we doing today haha yo', 'start': 177.45, 'duration': 10.2}, {'text': 'Chris what are we doing today hey', 'start': 182.64, 'duration': 6.3}, {'text': 'everyone I really hope you enjoyed the', 'start': 187.65, 'duration': 2.52}, {'text': 'video if you want to see more videos', 'start': 188.94, 'duration': 2.94}, {'text': 'like this please leave a like and share', 'start': 190.17, 'duration': 3.3}, {'text': 'this video with your friends and as', 'start': 191.88, 'duration': 5.45}, {'text': 'always guys thanks for watching peace', 'start': 193.47, 'duration': 3.86}]"
tYPG,T6cKHuqIQ6I,"[15, 18, 87, 2458]",
KAPG,,"[2, 30, 1083]",
abPG,TEjpMLINn80,[25],
