meJq,zQ0ojdDLIwQ,"[31, 40]",
I1Jq,YoOHEX_FlbA,"[2, 45]",
vwJq,YqdB3X2_07Y,"[6, 8, 206, 650]",
zAJq,ok9zPJmjv3k,"[71, 152]",
j2Jq,opWN7Dq8US0,"[5, 16, 25, 136]",
YyJq,kOJgFtTMpk8,"[0, 1, 1385]","[{'text': 'hi and welcome back to war free and', 'start': 4.91, 'duration': 5.44}, {'text': 'borrow the vibrator has returned and can', 'start': 7.5, 'duration': 5.55}, {'text': 'be found on the Orcas really this is', 'start': 10.35, 'duration': 5.789}, {'text': ""however on Pluto's as always it will"", 'start': 13.05, 'duration': 5.27}, {'text': 'spawn in the middle of the room here', 'start': 16.139, 'duration': 6.001}, {'text': 'there he is I am aware I am a little bit', 'start': 18.32, 'duration': 5.68}, {'text': 'late with this one I apologize for that', 'start': 22.14, 'duration': 4.74}, {'text': ""in advance and this week what he's"", 'start': 24.0, 'duration': 5.43}, {'text': 'brought is his broad shell-shocked this', 'start': 26.88, 'duration': 5.91}, {'text': ""was expected it's the shotgun damage mod"", 'start': 29.43, 'duration': 6.839}, {'text': 'M a sixty percent electrical damage and', 'start': 32.79, 'duration': 6.57}, {'text': 'sixty percent status chance increase for', 'start': 36.269, 'duration': 5.43}, {'text': 'the shock on still three hundred ducats', 'start': 39.36, 'duration': 6.629}, {'text': 'and 150,000 credits the Daedalus', 'start': 41.699, 'duration': 9.061}, {'text': 'shoulder pads the prisma Daedalus', 'start': 45.989, 'duration': 7.17}, {'text': ""shoulder pads i should say i still don't"", 'start': 50.76, 'duration': 3.509}, {'text': 'think they should have been separated', 'start': 53.159, 'duration': 3.871}, {'text': 'for an 85 ducats and ninety thousand', 'start': 54.269, 'duration': 4.911}, {'text': 'credits each they can be quite expensive', 'start': 57.03, 'duration': 5.76}, {'text': 'the biggie this week is the prisma', 'start': 59.18, 'duration': 8.38}, {'text': ""scanner it's basically just well the"", 'start': 62.79, 'duration': 6.78}, {'text': 'scanner was never really that good of a', 'start': 67.56, 'duration': 4.589}, {'text': 'weapon it was the starting merely a', 'start': 69.57, 'duration': 4.979}, {'text': 'weapon and at five hundred and ten', 'start': 72.149, 'duration': 7.621}, {'text': 'ducats and 175,000 credits that is', 'start': 74.549, 'duration': 8.521}, {'text': 'actually quite expensive the shoulder', 'start': 79.77, 'duration': 6.449}, {'text': 'piece the eos now sorry that this is the', 'start': 83.07, 'duration': 6.21}, {'text': 'dead listen at the eos actually looks', 'start': 86.219, 'duration': 5.551}, {'text': 'pretty nice there try and get a little', 'start': 89.28, 'duration': 7.019}, {'text': 'bit closer keyboard it really does look', 'start': 91.77, 'duration': 6.9}, {'text': 'nice especially in the standard color', 'start': 96.299, 'duration': 6.091}, {'text': 'they now i do like the fact that it has', 'start': 98.67, 'duration': 6.449}, {'text': ""a standard color now all you've got to"", 'start': 102.39, 'duration': 4.769}, {'text': 'do is when it comes to the colors just', 'start': 105.119, 'duration': 4.021}, {'text': 'hit default colors and it will take any', 'start': 107.159, 'duration': 6.541}, {'text': 'colors you put on it at 10 and it takes', 'start': 109.14, 'duration': 6.509}, {'text': 'them off and it goes back to the', 'start': 113.7, 'duration': 5.099}, {'text': 'whatever attachment you haves default', 'start': 115.649, 'duration': 5.881}, {'text': 'color which actually can go as well with', 'start': 118.799, 'duration': 7.35}, {'text': 'nixes nemesis skin here but i like the', 'start': 121.53, 'duration': 7.289}, {'text': 'way these things work and the melee', 'start': 126.149, 'duration': 9.361}, {'text': 'weapon wherever it may be', 'start': 128.819, 'duration': 9.541}, {'text': 'comparing the prisma scanner to the', 'start': 135.51, 'duration': 4.979}, {'text': ""normal scanner the they're exactly the"", 'start': 138.36, 'duration': 4.26}, {'text': 'same to be honest the the crit', 'start': 140.489, 'duration': 5.22}, {'text': 'multipliers to instead of 1.5 the crit', 'start': 142.62, 'duration': 4.949}, {'text': 'chance on the other hand is four times', 'start': 145.709, 'duration': 4.14}, {'text': 'as good and it does have a much better', 'start': 147.569, 'duration': 4.771}, {'text': 'fire rate that obviously being the', 'start': 149.849, 'duration': 5.461}, {'text': 'standard one that on the other hand', 'start': 152.34, 'duration': 7.77}, {'text': 'being the prisma that actually looks', 'start': 155.31, 'duration': 7.92}, {'text': 'really nice you can remember it is still', 'start': 160.11, 'duration': 5.579}, {'text': ""a scanner at the end of the deer so it's"", 'start': 163.23, 'duration': 4.83}, {'text': 'not going to be an overly impressive', 'start': 165.689, 'duration': 5.63}, {'text': 'weapon even though that has Grich a', 'start': 168.06, 'duration': 6.239}, {'text': 'choice time for this to come out because', 'start': 171.319, 'duration': 5.14}, {'text': 'the beginning of the week I actually did', 'start': 174.299, 'duration': 4.981}, {'text': 'a challenge using one of these and found', 'start': 176.459, 'duration': 4.831}, {'text': 'out that this the scanner is our much', 'start': 179.28, 'duration': 3.78}, {'text': 'neglected would actually pretty decent', 'start': 181.29, 'duration': 6.539}, {'text': 'merely weapon so if that is actually', 'start': 183.06, 'duration': 7.579}, {'text': ""kind of worth what they're asked okay"", 'start': 187.829, 'duration': 6.24}, {'text': 'that price is a bit overkill for a', 'start': 190.639, 'duration': 8.891}, {'text': 'scanner but that is actually it should', 'start': 194.069, 'duration': 8.161}, {'text': 'be a really nice weapon you will leave', 'start': 199.53, 'duration': 7.289}, {'text': 'in two days a Sunday afternoon ish so if', 'start': 202.23, 'duration': 6.479}, {'text': 'you want on getting here as quick as', 'start': 206.819, 'duration': 4.26}, {'text': 'possible and grab on the scanner looks', 'start': 208.709, 'duration': 5.551}, {'text': 'pretty nice to be honest and the', 'start': 211.079, 'duration': 6.12}, {'text': 'shoulder pads and it is still too may', 'start': 214.26, 'duration': 4.289}, {'text': 'seem like this should have came as a', 'start': 217.199, 'duration': 3.9}, {'text': 'pack not individual but I am glad that', 'start': 218.549, 'duration': 4.291}, {'text': 'came individually because obviously I', 'start': 221.099, 'duration': 5.07}, {'text': 'can buy them individually at which I', 'start': 222.84, 'duration': 5.28}, {'text': ""haven't done as i'm recording this bit"", 'start': 226.169, 'duration': 3.301}, {'text': ""but half for the bit you've just seen"", 'start': 228.12, 'duration': 4.38}, {'text': 'where i was wearing it but anyway we', 'start': 229.47, 'duration': 4.65}, {'text': 'leave this off yeah for now because i', 'start': 232.5, 'duration': 3.03}, {'text': 'really want to play with that prisma', 'start': 234.12, 'duration': 4.199}, {'text': ""thanks for watching and i'll catch is"", 'start': 235.53, 'duration': 5.87}, {'text': 'next time', 'start': 238.319, 'duration': 3.081}, {'text': 'you', 'start': 242.97, 'duration': 2.06}]"
xfJq,kPIkjRQj--Q,"[89, 2503]",
fdJq,cnmRp9SC1-Y,"[0, 12]",
5WJq,_DZvBhlKbzM,[12],
bDJq,_MldHkEmc50,"[0, 836, 3223]",
TuJq,kwCgCXL5laQ,[1277],
7OJq,Qa8oAC3Sk7g,"[2, 7]","[{'text': ""we're here at turbo nedick's PRI 2014"", 'start': 15.719, 'duration': 5.04}, {'text': ""and i'm with tina pierce how are you"", 'start': 18.869, 'duration': 3.991}, {'text': ""doing today thank you let's talk about"", 'start': 20.759, 'duration': 4.891}, {'text': 'this incredible cool s10 you are a real', 'start': 22.86, 'duration': 5.25}, {'text': 'car girl you go and just whoop up on the', 'start': 25.65, 'duration': 3.6}, {'text': ""boys well let's talk about your"", 'start': 28.11, 'duration': 2.79}, {'text': ""relationship with turbo nedick's and how"", 'start': 29.25, 'duration': 3.27}, {'text': 'important they are to making this little', 'start': 30.9, 'duration': 4.2}, {'text': ""car fast turbo nedick's has been great"", 'start': 32.52, 'duration': 4.559}, {'text': 'for us they have done so much thing', 'start': 35.1, 'duration': 4.68}, {'text': 'about a great product and they make my', 'start': 37.079, 'duration': 4.5}, {'text': 'truck go a lot faster than what it did', 'start': 39.78, 'duration': 4.11}, {'text': 'before our nitrous so we are very', 'start': 41.579, 'duration': 4.531}, {'text': 'thankful to have them as a sponsor now', 'start': 43.89, 'duration': 4.199}, {'text': 'what unit are you actually using on your', 'start': 46.11, 'duration': 7.53}, {'text': 'truck and approximately how much power', 'start': 48.089, 'duration': 6.81}, {'text': ""you're making these days or is that on a"", 'start': 53.64, 'duration': 4.59}, {'text': ""need-to-know basis it's me you can tell"", 'start': 54.899, 'duration': 8.221}, {'text': ""me since you won't tell me the"", 'start': 58.23, 'duration': 6.39}, {'text': ""horsepower numbers and I know it's not"", 'start': 63.12, 'duration': 2.85}, {'text': 'just about the turbos what other', 'start': 64.62, 'duration': 3.06}, {'text': 'products of turbine etics partnering up', 'start': 65.97, 'duration': 12.15}, {'text': 'with you on your truck talk about the', 'start': 67.68, 'duration': 11.85}, {'text': 'relationship a little bit more you know', 'start': 78.12, 'duration': 2.79}, {'text': 'what does it mean to have such a great', 'start': 79.53, 'duration': 3.42}, {'text': ""supplier behind you I mean it's one of"", 'start': 80.91, 'duration': 4.5}, {'text': 'those things partnerships in vehicles', 'start': 82.95, 'duration': 4.71}, {'text': 'that go fast are part of what makes this', 'start': 85.41, 'duration': 3.81}, {'text': 'industry our industry talk about', 'start': 87.66, 'duration': 3.23}, {'text': 'important that is to you', 'start': 89.22, 'duration': 5.19}, {'text': 'turbine exit from day one has always', 'start': 90.89, 'duration': 7.24}, {'text': 'been very nice and supportive and', 'start': 94.41, 'duration': 5.49}, {'text': ""they've always given us a great product"", 'start': 98.13, 'duration': 2.58}, {'text': 'you know we', 'start': 99.9, 'duration': 4.04}, {'text': 'we had this custom intercooler built and', 'start': 100.71, 'duration': 6.0}, {'text': 'it was what we needed and they did', 'start': 103.94, 'duration': 4.42}, {'text': 'whatever they needed to do to get it', 'start': 106.71, 'duration': 3.51}, {'text': ""done for us and it's just a good"", 'start': 108.36, 'duration': 5.06}, {'text': 'relationship we have with turbine etics', 'start': 110.22, 'duration': 6.3}, {'text': ""there's great company and they make my"", 'start': 113.42, 'duration': 5.11}, {'text': 'car go fast all of this coming from the', 'start': 116.52, 'duration': 3.87}, {'text': 'fastest girl in Oklahoma but if people', 'start': 118.53, 'duration': 3.24}, {'text': 'want to know more about the products and', 'start': 120.39, 'duration': 2.91}, {'text': ""get involved with turbo nedick's how do"", 'start': 121.77, 'duration': 3.599}, {'text': 'they do that on their website turbine', 'start': 123.3, 'duration': 4.95}, {'text': 'etics I&C comm coming from the fastest', 'start': 125.369, 'duration': 3.661}, {'text': 'growing oklahoma', 'start': 128.25, 'duration': 3.66}, {'text': ""pri 2014 power auto media we'll see you"", 'start': 129.03, 'duration': 5.09}, {'text': 'soon', 'start': 131.91, 'duration': 2.21}]"
fTJq,M5Dw-dDhSv4,[3],
lNJq,l_2xVvT7zRU,"[10, 2141]",
V8Jq,PkRXRtoBoWE,"[0, 1922, 2064]",
EVJq,Pub_bdsgyAg,[25],
pJJq,,"[5, 16]",
EJJq,al0cWLRgdxo,"[0, 12, 226]",
dbJq,hNPe30k5Vvo,"[8, 1400]",
7UJq,wgcGn0P1eXI,[14],
k8Jq,wiIeLi65YWM,"[39, 50, 65, 256]","[{'text': ""so today I'm going to show you guys how"", 'start': 0.359, 'duration': 4.411}, {'text': 'I do my easy messy bun on days that I', 'start': 2.22, 'duration': 3.78}, {'text': ""really don't feel like putting too much"", 'start': 4.77, 'duration': 9.06}, {'text': ""effort into my hair okay you're gonna"", 'start': 6.0, 'duration': 11.31}, {'text': 'need a water bottle a brush that will', 'start': 13.83, 'duration': 6.66}, {'text': 'get your hair really flat and some gel', 'start': 17.31, 'duration': 21.72}, {'text': ""I'm using eco styler gel okay I'm"", 'start': 20.49, 'duration': 20.31}, {'text': 'starting off with like fourth day curly', 'start': 39.03, 'duration': 2.97}, {'text': ""hair and I'm just gonna go ahead and"", 'start': 40.8, 'duration': 3.45}, {'text': 'spray the top part of my hair with water', 'start': 42.0, 'duration': 4.77}, {'text': 'and just really get that top part wet', 'start': 44.25, 'duration': 3.989}, {'text': 'because you really want it to be slicked', 'start': 46.77, 'duration': 4.17}, {'text': 'back and you can spray the rest of your', 'start': 48.239, 'duration': 4.171}, {'text': 'hair with a little tiny bit of water', 'start': 50.94, 'duration': 3.209}, {'text': ""it's going to help you you know work"", 'start': 52.41, 'duration': 5.149}, {'text': 'with your hair better but not alive', 'start': 54.149, 'duration': 3.41}, {'text': 'okay now what you want to do is start', 'start': 73.92, 'duration': 4.149}, {'text': 'pulling your hair up into a high', 'start': 76.359, 'duration': 3.781}, {'text': 'ponytail and you really want to like get', 'start': 78.069, 'duration': 4.321}, {'text': 'the front part slicked down and as', 'start': 80.14, 'duration': 3.6}, {'text': ""you're pulling your hair until you know"", 'start': 82.39, 'duration': 3.149}, {'text': 'you really wanna like fluff it up and', 'start': 83.74, 'duration': 3.78}, {'text': ""kinda just mess it up so it's not"", 'start': 85.539, 'duration': 4.491}, {'text': 'perfect', 'start': 87.52, 'duration': 2.51}, {'text': 'okay now you want to take your scrunchie', 'start': 98.44, 'duration': 3.52}, {'text': ""and act like you're putting your hair"", 'start': 100.79, 'duration': 3.93}, {'text': 'into a nice ponytail but as you do it', 'start': 101.96, 'duration': 4.29}, {'text': 'you want to leave some of your hair like', 'start': 104.72, 'duration': 3.93}, {'text': 'underneath the scrunchie and then go', 'start': 106.25, 'duration': 4.41}, {'text': 'ahead and take the other part and wrap', 'start': 108.65, 'duration': 4.2}, {'text': 'it around the rest of your hair into a', 'start': 110.66, 'duration': 6.06}, {'text': ""really messy bun as you can see that I'm"", 'start': 112.85, 'duration': 13.11}, {'text': ""doing and once it's up there you'll go"", 'start': 116.72, 'duration': 25.17}, {'text': 'ahead and fluff it out and pull up okay', 'start': 125.96, 'duration': 17.49}, {'text': 'this next part is optional if you want', 'start': 141.89, 'duration': 3.78}, {'text': 'you know a completely messy look you', 'start': 143.45, 'duration': 4.2}, {'text': ""cannot you can skip this part but I'm"", 'start': 145.67, 'duration': 3.63}, {'text': 'just gonna go ahead and take some eco', 'start': 147.65, 'duration': 3.6}, {'text': 'styler gel and put it on the front top', 'start': 149.3, 'duration': 4.23}, {'text': 'of my hair and brush it back because I', 'start': 151.25, 'duration': 5.54}, {'text': 'just really like my hair slicked down', 'start': 153.53, 'duration': 3.26}, {'text': 'and I like how it looks with my baby', 'start': 174.82, 'duration': 4.96}, {'text': ""hairs down so I'm just gonna go ahead"", 'start': 178.22, 'duration': 3.96}, {'text': 'and brush those out gently and then', 'start': 179.78, 'duration': 4.44}, {'text': 'stick them to the side how my mama used', 'start': 182.18, 'duration': 11.85}, {'text': 'to do when I was a baby if you want you', 'start': 184.22, 'duration': 11.82}, {'text': 'can add a flower to your hair 6/5 it up', 'start': 194.03, 'duration': 9.03}, {'text': 'a little bit or you can add a headband', 'start': 196.04, 'duration': 12.99}, {'text': ""to it yeah so that's how I get my messy"", 'start': 203.06, 'duration': 7.62}, {'text': ""bun like I said it's really simple I"", 'start': 209.03, 'duration': 3.03}, {'text': 'hope you guys enjoyed this video and', 'start': 210.68, 'duration': 3.029}, {'text': ""I'll see you guys on my next one love"", 'start': 212.06, 'duration': 4.49}, {'text': 'you guys bye', 'start': 213.709, 'duration': 2.841}]"
1NJq,wkQ3HXeAF-o,[14],
WSJq,XBubfOd0gHk,[14],
FGJq,3ex64GRv_ls,"[3, 4]",
lBJq,3pRkP1tWDx8,"[238, 274, 366]",
L7Jq,pLpCiGRFJ6k,"[5, 16, 3600]","[{'text': 'hello and welcome on board Virgin', 'start': 11.059, 'duration': 5.441}, {'text': ""Atlantic you're about 30 safety"", 'start': 13.8, 'duration': 5.01}, {'text': ""information video it's really important"", 'start': 16.5, 'duration': 4.23}, {'text': 'to give it your full attention even if', 'start': 18.81, 'duration': 5.19}, {'text': 'you are a seasoned traveler like me the', 'start': 20.73, 'duration': 5.34}, {'text': 'information can help reduce injury in an', 'start': 24.0, 'duration': 4.259}, {'text': 'emergency situation and can differ from', 'start': 26.07, 'duration': 6.18}, {'text': 'a craft to aircraft first all baggage', 'start': 28.259, 'duration': 6.271}, {'text': 'should be stored securely either in the', 'start': 32.25, 'duration': 4.38}, {'text': 'overhead lockers or under the seat in', 'start': 34.53, 'duration': 6.63}, {'text': 'front of you all aisles and exits should', 'start': 36.63, 'duration': 8.91}, {'text': 'be kept clear as we are about to leave', 'start': 41.16, 'duration': 7.05}, {'text': 'you need to fasten your seat belt too', 'start': 45.54, 'duration': 4.98}, {'text': 'far from the belt sister to measure ends', 'start': 48.21, 'duration': 4.83}, {'text': 'together until they click then pull the', 'start': 50.52, 'duration': 4.26}, {'text': 'strap until the belt is tightly fastened', 'start': 53.04, 'duration': 4.56}, {'text': 'around your head to release the belt', 'start': 54.78, 'duration': 6.27}, {'text': 'lift the buckle to loosen the belt on', 'start': 57.6, 'duration': 7.949}, {'text': 'both sides of us this is a non-smoking', 'start': 61.05, 'duration': 7.65}, {'text': ""flight and it's expressly forbidden to"", 'start': 65.549, 'duration': 6.601}, {'text': 'smoke anywhere on the aircraft including', 'start': 68.7, 'duration': 12.959}, {'text': 'the toilet feel it all fit is detected', 'start': 72.15, 'duration': 11.54}, {'text': 'itional oxygen suddenly be required', 'start': 81.659, 'duration': 4.851}, {'text': 'marks will drop down automatically', 'start': 83.69, 'duration': 5.95}, {'text': 'remain seated and / marks firmly towards', 'start': 86.51, 'duration': 6.24}, {'text': 'you this activates the oxygen supply', 'start': 89.64, 'duration': 5.43}, {'text': 'place the mask over your nose and mouth', 'start': 92.75, 'duration': 4.21}, {'text': 'breathe normally', 'start': 95.07, 'duration': 3.75}, {'text': 'you may need to adjust the elasticated', 'start': 96.96, 'duration': 4.74}, {'text': 'rather you should fit your own mask', 'start': 98.82, 'duration': 9.96}, {'text': 'before helping others your lifejackets', 'start': 101.7, 'duration': 9.48}, {'text': 'can be found either under or between', 'start': 108.78, 'duration': 5.25}, {'text': 'your seat please refer to your safety', 'start': 111.18, 'duration': 6.57}, {'text': 'guards the exact location break the seal', 'start': 114.03, 'duration': 6.15}, {'text': 'to remove it from the back take the slap', 'start': 117.75, 'duration': 6.0}, {'text': ""one type of jacket I'll see it slip it"", 'start': 120.18, 'duration': 6.96}, {'text': 'over your head has the straps around', 'start': 123.75, 'duration': 5.55}, {'text': 'your waist and tie securely with a', 'start': 127.14, 'duration': 5.01}, {'text': 'double knot at the side smaller life', 'start': 129.3, 'duration': 4.98}, {'text': 'jackets for children will be Vicky by', 'start': 132.15, 'duration': 4.83}, {'text': 'the caption location across the babies', 'start': 134.28, 'duration': 5.88}, {'text': ""will be distributed I don't like jackets"", 'start': 136.98, 'duration': 5.22}, {'text': 'must only be infected when you are', 'start': 140.16, 'duration': 5.46}, {'text': 'outside the aircraft pull down firmly on', 'start': 142.2, 'duration': 6.18}, {'text': 'the tag there is a light and the whistle', 'start': 145.62, 'duration': 5.07}, {'text': 'for attracting attention and jackets may', 'start': 148.38, 'duration': 4.139}, {'text': 'be inflated or chopped up by blowing', 'start': 150.69, 'duration': 4.829}, {'text': 'into the tube at the top in an emergency', 'start': 152.519, 'duration': 4.711}, {'text': 'landing you must use the brace position', 'start': 155.519, 'duration': 4.831}, {'text': 'to help prevent injury make sure your', 'start': 157.23, 'duration': 5.7}, {'text': ""seat belt isn't I be fastened place both"", 'start': 160.35, 'duration': 4.41}, {'text': 'feet firmly on the floor and slightly', 'start': 162.93, 'duration': 4.35}, {'text': 'under your own feed place one hand over', 'start': 164.76, 'duration': 4.949}, {'text': 'the other on the back of your head then', 'start': 167.28, 'duration': 4.5}, {'text': 'forward and cut your elbows outside the', 'start': 169.709, 'duration': 4.681}, {'text': 'knees if possible rest your head on the', 'start': 171.78, 'duration': 6.69}, {'text': 'beach in front in the event of reduced', 'start': 174.39, 'duration': 6.54}, {'text': 'visibility of the cabin all of the', 'start': 178.47, 'duration': 4.95}, {'text': 'lights along the aisle when this stop', 'start': 180.93, 'duration': 5.76}, {'text': ""you've reached Nexus should you have to"", 'start': 183.42, 'duration': 5.98}, {'text': 'open the door you will need to either', 'start': 186.69, 'duration': 5.27}, {'text': 'completely or rotate the hand in the', 'start': 189.4, 'duration': 5.02}, {'text': 'direction of the arrow yes the doors', 'start': 191.96, 'duration': 5.61}, {'text': 'open I could inflate automatically if', 'start': 194.42, 'duration': 5.55}, {'text': 'they fail to do so just pull the red', 'start': 197.57, 'duration': 5.19}, {'text': 'handle please effective cleaning up with', 'start': 199.97, 'duration': 5.1}, {'text': 'fun instructions of operational door and', 'start': 202.76, 'duration': 6.66}, {'text': 'slide as we to do vary when using the', 'start': 205.07, 'duration': 7.23}, {'text': 'slides please make sure you remove your', 'start': 209.42, 'duration': 7.56}, {'text': 'high-heeled shoes now please check that', 'start': 212.3, 'duration': 6.26}, {'text': 'your seat belts are tightly fastened', 'start': 216.98, 'duration': 3.78}, {'text': ""you'll sleep must in the upright"", 'start': 218.56, 'duration': 5.17}, {'text': 'position with the armrest down any tray', 'start': 220.76, 'duration': 5.61}, {'text': 'tables must be folded away where fitted', 'start': 223.73, 'duration': 5.28}, {'text': 'leg rest must be retracted and movable', 'start': 226.37, 'duration': 5.48}, {'text': 'TV monitors should be put away correctly', 'start': 229.01, 'duration': 5.52}, {'text': 'please ensure your mobile phone is', 'start': 231.85, 'duration': 4.81}, {'text': 'turned off for the duration of the', 'start': 234.53, 'duration': 5.25}, {'text': 'flight all other electronic equipment', 'start': 236.66, 'duration': 6.75}, {'text': 'should be switched off to take off your', 'start': 239.78, 'duration': 6.15}, {'text': 'nearest exits which may be behind you', 'start': 243.41, 'duration': 5.1}, {'text': 'are being pointed out now by your cabin', 'start': 245.93, 'duration': 6.3}, {'text': ""crew don't forget your safety is our"", 'start': 248.51, 'duration': 6.3}, {'text': 'number one priority and the crew are', 'start': 252.23, 'duration': 4.02}, {'text': 'there to help you if you do not', 'start': 254.81, 'duration': 4.47}, {'text': 'understand any of the procedures finally', 'start': 256.25, 'duration': 4.77}, {'text': 'we ask you all to please study the', 'start': 259.28, 'duration': 4.14}, {'text': 'safety card which is in your seat pocket', 'start': 261.02, 'duration': 4.5}, {'text': 'it gives full information on the', 'start': 263.42, 'duration': 4.59}, {'text': 'operation of the exits and the locations', 'start': 265.52, 'duration': 5.34}, {'text': 'of life jackets slides and rats on this', 'start': 268.01, 'duration': 7.68}, {'text': 'aircraft thank you for your attention we', 'start': 270.86, 'duration': 7.11}, {'text': 'hope you enjoy your flight with Virgin', 'start': 275.69, 'duration': 4.85}, {'text': 'Atlantic', 'start': 277.97, 'duration': 2.57}]"
ePJq,F7mH00M2FOM,"[0, 1]",
PXJq,FGc4poOSmXc,[1676],
h3Jq,qAgE_m7UZBw,"[31, 40, 57, 117]",
NNJq,B-BSugzqMRs,"[238, 274, 366]",
vfJq,ESiEcvd_J3I,"[2, 17, 30, 340]",
ekJq,EUI6Ho5JYRg,[8],
S9Jq,EdX6-UGqKH0,"[4, 28, 33, 38, 78, 86]",
WrJq,G66uZHkPKbE,[89],
PNJq,BtvPLlbAtoU,"[6, 8]",
LFJq,yXBH0QMO2wI,"[19, 318]",
fxJq,yYlFP4OvQDA,"[2, 45, 51, 56, 77, 137]",
5jJq,UIAn254vBfY,"[3, 6]",
rBJq,ULMmWh5Mal8,[3],
YLJq,UPkc9P3v3c4,[5],
fVJq,UTaD0bSQv0o,"[64, 113, 119, 284]",
YiJq,S-0m9AZc4jI,"[1, 1097]",
yBJq,SBxRgeYWKS0,"[2, 7, 1678]",
mNG7,,"[2, 7, 90, 165]",
64G7,I1zbM7cr_pI,[216],
y3G7,lGas_QCjhvA,"[0, 1, 5, 81, 108, 819]",
DeG7,MVNiCZZhMGE,"[2, 7, 165, 413, 1436]",
